Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:12:00-000;37.81;37.81;37.81;37.81;273;37.8479
29.11.2021;08:40:00-000;37.54;37.54;37.54;37.54;120;37.5383
29.11.2021;08:41:00-000;37.85;37.85;37.85;37.85;11228;37.85
29.11.2021;09:29:00-000;37.99;38;37.99;38;4322;37.9942
29.11.2021;09:30:00-000;38;38.1199;37.77;38.02;21792;37.98
29.11.2021;09:31:00-000;37.95;37.97;37.915;37.915;1333;37.943
29.11.2021;09:32:00-000;37.87;38.01;37.87;38.01;4207;37.941
29.11.2021;09:33:00-000;37.95;37.99;37.85;37.85;6888;37.9604
29.11.2021;09:34:00-000;37.78;37.83;37.6901;37.6901;501;37.7759
29.11.2021;09:35:00-000;37.8;37.85;37.79;37.85;2828;37.8393
29.11.2021;09:36:00-000;37.85;37.8835;37.75;37.76;3821;37.8319
29.11.2021;09:37:00-000;37.84;37.85;37.67;37.67;2240;37.7774
29.11.2021;09:38:00-000;37.67;37.67;37.67;37.67;387;37.6924
29.11.2021;09:39:00-000;37.75;37.82;37.75;37.79;5890;37.7837
29.11.2021;09:40:00-000;37.79;37.84;37.705;37.79;3684;37.8021
29.11.2021;09:41:00-000;37.79;37.79;37.76;37.77;735;37.7773
29.11.2021;09:42:00-000;37.72;37.72;37.6;37.6;1118;37.6591
29.11.2021;09:43:00-000;37.645;37.645;37.645;37.645;214;37.6482
29.11.2021;09:44:00-000;37.6;37.61;37.56;37.56;9507;37.5978
29.11.2021;09:45:00-000;37.531;37.55;37.53;37.55;1868;37.5378
29.11.2021;09:46:00-000;37.59;37.63;37.58;37.61;3770;37.5991
29.11.2021;09:47:00-000;37.585;37.585;37.585;37.585;156;37.5754
29.11.2021;09:48:00-000;37.54;37.655;37.495;37.655;2159;37.5289
29.11.2021;09:49:00-000;37.5137;37.5137;37.4987;37.4987;1755;37.5078
29.11.2021;09:50:00-000;37.64;37.67;37.64;37.67;1330;37.6337
29.11.2021;09:51:00-000;37.66;37.66;37.5;37.5;1183;37.5481
29.11.2021;09:52:00-000;37.48;37.48;37.42;37.42;939;37.4537
29.11.2021;09:53:00-000;37.47;37.54;37.46;37.54;1872;37.5124
29.11.2021;09:54:00-000;37.57;37.57;37.55;37.55;1006;37.5636
29.11.2021;09:55:00-000;37.5;37.53;37.5;37.53;770;37.5226
29.11.2021;09:56:00-000;37.53;37.62;37.53;37.59;2163;37.6084
29.11.2021;09:57:00-000;37.52;37.5225;37.473;37.473;1141;37.5123
29.11.2021;09:58:00-000;37.47;37.47;37.46;37.46;323;37.4664
29.11.2021;09:59:00-000;37.45;37.45;37.45;37.45;361;37.4701
29.11.2021;10:00:00-000;37.44;37.52;37.36;37.47;6699;37.4512
29.11.2021;10:01:00-000;37.5;37.53;37.46;37.53;1011;37.4983
29.11.2021;10:02:00-000;37.545;37.545;37.48;37.48;2046;37.5076
29.11.2021;10:03:00-000;37.48;37.48;37.48;37.48;339;37.47
29.11.2021;10:04:00-000;37.44;37.44;37.38;37.405;815;37.4205
29.11.2021;10:05:00-000;37.42;37.5;37.41;37.5;1305;37.4495
29.11.2021;10:06:00-000;37.48;37.53;37.45;37.5;1391;37.4868
29.11.2021;10:07:00-000;37.53;37.54;37.46;37.46;2338;37.4959
29.11.2021;10:08:00-000;37.47;37.47;37.47;37.47;103;37.4696
29.11.2021;10:09:00-000;37.5;37.5;37.4788;37.489;722;37.4896
29.11.2021;10:10:00-000;37.49;37.495;37.49;37.495;450;37.4919
29.11.2021;10:11:00-000;37.481;37.52;37.481;37.52;687;37.4981
29.11.2021;10:12:00-000;37.48;37.48;37.41;37.41;2540;37.4467
29.11.2021;10:14:00-000;37.44;37.45;37.42;37.42;1472;37.4327
29.11.2021;10:15:00-000;37.38;37.38;37.32;37.34;3870;37.3491
29.11.2021;10:16:00-000;37.305;37.305;37.24;37.24;1084;37.2761
29.11.2021;10:17:00-000;37.27;37.27;37.27;37.27;460;37.2719
29.11.2021;10:18:00-000;37.27;37.31;37.27;37.3;1046;37.2842
29.11.2021;10:19:00-000;37.31;37.35;37.31;37.32;2697;37.3294
29.11.2021;10:21:00-000;37.35;37.35;37.32;37.323;2681;37.3303
29.11.2021;10:22:00-000;37.34;37.34;37.3;37.3;1699;37.314
29.11.2021;10:23:00-000;37.33;37.3445;37.33;37.3445;246;37.3377
29.11.2021;10:24:00-000;37.3452;37.36;37.3452;37.355;693;37.3538
29.11.2021;10:25:00-000;37.39;37.39;37.355;37.38;4766;37.3873
29.11.2021;10:26:00-000;37.38;37.38;37.29;37.29;2795;37.3245
29.11.2021;10:27:00-000;37.26;37.26;37.2;37.2;1862;37.2347
29.11.2021;10:28:00-000;37.192;37.23;37.192;37.21;2133;37.218
29.11.2021;10:29:00-000;37.1854;37.19;37.1854;37.19;408;37.1876
29.11.2021;10:30:00-000;37.15;37.18;37.15;37.18;1169;37.1683
29.11.2021;10:31:00-000;37.1892;37.1892;37.08;37.08;1983;37.1236
29.11.2021;10:32:00-000;37.11;37.17;37.11;37.13;2126;37.1469
29.11.2021;10:33:00-000;37.1;37.12;37.07;37.12;1012;37.0932
29.11.2021;10:34:00-000;37.12;37.12;37.12;37.12;328;37.1252
29.11.2021;10:35:00-000;37.15;37.25;37.15;37.23;8707;37.226
29.11.2021;10:36:00-000;37.21;37.21;37.185;37.19;4731;37.2016
29.11.2021;10:37:00-000;37.19;37.19;37.15;37.15;1091;37.1721
29.11.2021;10:38:00-000;37.13;37.13;37.08;37.09;4188;37.0851
29.11.2021;10:39:00-000;37.08;37.12;37.08;37.12;1446;37.1074
29.11.2021;10:40:00-000;37.1095;37.1095;37.08;37.08;559;37.0937
29.11.2021;10:41:00-000;37.07;37.075;37.03;37.03;1251;37.059
29.11.2021;10:42:00-000;37.06;37.06;37.06;37.06;173;37.0483
29.11.2021;10:43:00-000;37.055;37.055;37.02;37.055;767;37.0439
29.11.2021;10:44:00-000;37.08;37.09;37.08;37.09;1042;37.0857
29.11.2021;10:45:00-000;37.1;37.1;37.085;37.085;1112;37.0916
29.11.2021;10:46:00-000;37.1;37.19;37.09;37.18;3534;37.1399
29.11.2021;10:47:00-000;37.16;37.16;37.13;37.135;1997;37.1445
29.11.2021;10:48:00-000;37.09;37.12;37.09;37.1;1326;37.1075
29.11.2021;10:50:00-000;37.09;37.12;37.09;37.09;867;37.1062
29.11.2021;10:51:00-000;37.12;37.12;37.101;37.1175;4237;37.1147
29.11.2021;10:52:00-000;37.115;37.12;37.1;37.1;1960;37.1119
29.11.2021;10:53:00-000;37.105;37.105;37.06;37.06;2233;37.092
29.11.2021;10:54:00-000;37.075;37.084;37.075;37.084;1122;37.0807
29.11.2021;10:55:00-000;37.1;37.12;37.09;37.12;2306;37.104
29.11.2021;10:56:00-000;37.1;37.1;37.08;37.08;668;37.078
29.11.2021;10:58:00-000;37.065;37.079;37.065;37.079;1449;37.0702
29.11.2021;10:59:00-000;37.07;37.13;37.07;37.1;2056;37.095
29.11.2021;11:00:00-000;37.12;37.23;37.12;37.23;1840;37.1656
29.11.2021;11:01:00-000;37.18;37.18;37.15;37.16;1171;37.1695
29.11.2021;11:02:00-000;37.17;37.2;37.17;37.19;2164;37.1838
29.11.2021;11:03:00-000;37.19;37.21;37.17;37.195;1186;37.1938
29.11.2021;11:04:00-000;37.2;37.2;37.2;37.2;273;37.196
29.11.2021;11:05:00-000;37.22;37.26;37.22;37.26;1344;37.2375
29.11.2021;11:06:00-000;37.26;37.26;37.26;37.26;120;37.2607
29.11.2021;11:07:00-000;37.26;37.26;37.23;37.24;1176;37.2443
29.11.2021;11:08:00-000;37.25;37.29;37.25;37.27;1519;37.2648
29.11.2021;11:09:00-000;37.28;37.28;37.28;37.28;827;37.2725
29.11.2021;11:10:00-000;37.28;37.299;37.26;37.299;883;37.2776
29.11.2021;11:11:00-000;37.26;37.295;37.245;37.27;3208;37.2627
29.11.2021;11:12:00-000;37.27;37.3;37.27;37.29;1236;37.2877
29.11.2021;11:13:00-000;37.3;37.31;37.3;37.305;1497;37.3081
29.11.2021;11:14:00-000;37.3;37.3;37.26;37.2605;1396;37.2742
29.11.2021;11:15:00-000;37.275;37.295;37.275;37.295;545;37.2839
29.11.2021;11:16:00-000;37.3;37.305;37.29;37.3;904;37.3022
29.11.2021;11:17:00-000;37.3;37.3;37.27;37.29;1991;37.2839
29.11.2021;11:18:00-000;37.28;37.3;37.28;37.28;778;37.2864
29.11.2021;11:19:00-000;37.28;37.28;37.25;37.265;1475;37.258
29.11.2021;11:20:00-000;37.28;37.28;37.28;37.28;139;37.2778
29.11.2021;11:21:00-000;37.3;37.3;37.26;37.27;564;37.2867
29.11.2021;11:22:00-000;37.26;37.26;37.25;37.25;998;37.256
29.11.2021;11:23:00-000;37.25;37.25;37.25;37.25;119;37.2507
29.11.2021;11:24:00-000;37.23;37.23;37.21;37.22;2395;37.219
29.11.2021;11:25:00-000;37.19;37.24;37.19;37.24;3369;37.2065
29.11.2021;11:26:00-000;37.25;37.2777;37.24;37.26;1706;37.2554
29.11.2021;11:27:00-000;37.26;37.26;37.26;37.26;221;37.2618
29.11.2021;11:28:00-000;37.26;37.26;37.2;37.22;1695;37.2333
29.11.2021;11:29:00-000;37.17;37.19;37.17;37.18;949;37.1724
29.11.2021;11:30:00-000;37.18;37.18;37.18;37.18;721;37.1789
29.11.2021;11:31:00-000;37.21;37.21;37.16;37.16;1129;37.1883
29.11.2021;11:32:00-000;37.175;37.175;37.175;37.175;260;37.1817
29.11.2021;11:33:00-000;37.16;37.16;37.1393;37.145;739;37.15
29.11.2021;11:34:00-000;37.13;37.13;37.09;37.095;2548;37.1016
29.11.2021;11:35:00-000;37.13;37.14;37.13;37.14;433;37.1364
29.11.2021;11:36:00-000;37.14;37.14;37.09;37.09;1102;37.1179
29.11.2021;11:37:00-000;37.13;37.13;37.1;37.12;1545;37.1131
29.11.2021;11:38:00-000;37.11;37.12;37.08;37.12;1551;37.1086
29.11.2021;11:39:00-000;37.14;37.14;37.12;37.12;852;37.1304
29.11.2021;11:40:00-000;37.19;37.19;37.19;37.19;444;37.1837
29.11.2021;11:41:00-000;37.2;37.2;37.2;37.2;363;37.1999
29.11.2021;11:42:00-000;37.18;37.21;37.17;37.21;1013;37.1829
29.11.2021;11:43:00-000;37.21;37.279;37.21;37.279;5704;37.2536
29.11.2021;11:44:00-000;37.29;37.31;37.28;37.3;2734;37.2935
29.11.2021;11:45:00-000;37.3;37.3;37.3;37.3;236;37.3064
29.11.2021;11:46:00-000;37.3;37.325;37.3;37.325;853;37.3131
29.11.2021;11:47:00-000;37.34;37.36;37.34;37.36;583;37.3483
29.11.2021;11:48:00-000;37.365;37.365;37.35;37.365;544;37.3572
29.11.2021;11:49:00-000;37.37;37.39;37.35;37.36;2260;37.3675
29.11.2021;11:50:00-000;37.38;37.38;37.36;37.36;566;37.3649
29.11.2021;11:51:00-000;37.39;37.39;37.39;37.39;925;37.3795
29.11.2021;11:52:00-000;37.39;37.39;37.39;37.39;116;37.3892
29.11.2021;11:53:00-000;37.385;37.4;37.37;37.4;4439;37.3854
29.11.2021;11:54:00-000;37.39;37.39;37.39;37.39;589;37.3893
29.11.2021;11:55:00-000;37.402;37.41;37.4;37.4;1014;37.4053
29.11.2021;11:56:00-000;37.41;37.42;37.41;37.41;1801;37.4134
29.11.2021;11:57:00-000;37.4;37.4;37.37;37.37;888;37.387
29.11.2021;11:59:00-000;37.3668;37.375;37.365;37.375;560;37.3742
29.11.2021;12:00:00-000;37.37;37.37;37.37;37.37;161;37.3637
29.11.2021;12:01:00-000;37.37;37.4;37.37;37.4;1608;37.3912
29.11.2021;12:02:00-000;37.4;37.4;37.4;37.4;305;37.4067
29.11.2021;12:03:00-000;37.405;37.43;37.405;37.43;1319;37.416
29.11.2021;12:04:00-000;37.44;37.48;37.44;37.48;1948;37.4606
29.11.2021;12:05:00-000;37.49;37.51;37.45;37.451;9563;37.4822
29.11.2021;12:07:00-000;37.4699;37.51;37.4699;37.509;3528;37.4818
29.11.2021;12:09:00-000;37.51;37.53;37.49;37.53;1063;37.5132
29.11.2021;12:10:00-000;37.54;37.54;37.54;37.54;543;37.5373
29.11.2021;12:11:00-000;37.5423;37.57;37.5423;37.57;2174;37.5527
29.11.2021;12:12:00-000;37.57;37.57;37.54;37.54;2169;37.5498
29.11.2021;12:13:00-000;37.55;37.55;37.55;37.55;124;37.5496
29.11.2021;12:14:00-000;37.56;37.56;37.534;37.534;1499;37.5418
29.11.2021;12:15:00-000;37.55;37.579;37.55;37.579;1431;37.5582
29.11.2021;12:16:00-000;37.555;37.58;37.55;37.58;1168;37.5534
29.11.2021;12:17:00-000;37.58;37.59;37.58;37.59;898;37.5804
29.11.2021;12:18:00-000;37.591;37.605;37.591;37.605;1351;37.6011
29.11.2021;12:19:00-000;37.6;37.64;37.58;37.64;5011;37.6004
29.11.2021;12:20:00-000;37.66;37.66;37.63;37.63;2178;37.6479
29.11.2021;12:21:00-000;37.64;37.68;37.64;37.67;1890;37.6636
29.11.2021;12:22:00-000;37.67;37.68;37.65;37.65;2512;37.6626
29.11.2021;12:23:00-000;37.65;37.65;37.65;37.65;216;37.6494
29.11.2021;12:24:00-000;37.655;37.705;37.655;37.7;1552;37.6812
29.11.2021;12:25:00-000;37.71;37.71;37.7;37.7;1480;37.696
