Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;39.32;39.32;39.295;39.31;60540;39.309
29.11.2021;09:31:00-000;39.31;39.335;39.31;39.33;93226;39.3251
29.11.2021;09:32:00-000;39.33;39.34;39.305;39.305;37210;39.3369
29.11.2021;09:33:00-000;39.3;39.3;39.29;39.29;1034;39.2973
29.11.2021;09:34:00-000;39.29;39.29;39.29;39.29;651;39.2905
29.11.2021;09:35:00-000;39.29;39.29;39.28;39.28;1182;39.2821
29.11.2021;09:36:00-000;39.29;39.29;39.28;39.28;1500;39.2873
29.11.2021;09:37:00-000;39.28;39.28;39.28;39.28;1074;39.2802
29.11.2021;09:38:00-000;39.28;39.28;39.27;39.27;1224;39.2753
29.11.2021;09:40:00-000;39.28;39.29;39.28;39.29;678;39.2877
29.11.2021;09:41:00-000;39.29;39.3;39.29;39.295;2328;39.2952
29.11.2021;09:42:00-000;39.3;39.3;39.3;39.3;1999;39.2999
29.11.2021;09:43:00-000;39.3;39.3;39.3;39.3;914;39.2999
29.11.2021;09:44:00-000;39.3;39.3;39.3;39.3;244;39.2941
29.11.2021;09:45:00-000;39.29;39.29;39.29;39.29;10643;39.29
29.11.2021;09:46:00-000;39.29;39.29;39.29;39.29;141;39.29
29.11.2021;09:47:00-000;39.29;39.29;39.29;39.29;2646;39.29
29.11.2021;09:48:00-000;39.3;39.3;39.29;39.29;2241;39.2986
29.11.2021;09:49:00-000;39.29;39.29;39.29;39.29;2853;39.29
29.11.2021;09:50:00-000;39.28;39.28;39.2771;39.28;2185;39.2788
29.11.2021;09:51:00-000;39.29;39.29;39.29;39.29;100;39.29
29.11.2021;09:52:00-000;39.29;39.29;39.285;39.29;1209;39.2889
29.11.2021;09:53:00-000;39.29;39.3;39.285;39.29;12461;39.2906
29.11.2021;09:54:00-000;39.29;39.295;39.29;39.295;545;39.2909
29.11.2021;09:55:00-000;39.29;39.29;39.28;39.2803;1599;39.2863
29.11.2021;09:56:00-000;39.29;39.295;39.285;39.295;1871;39.29
29.11.2021;09:57:00-000;39.29;39.295;39.29;39.295;835;39.2934
29.11.2021;09:58:00-000;39.29;39.29;39.285;39.29;1330;39.2888
29.11.2021;09:59:00-000;39.29;39.29;39.285;39.285;250;39.288
29.11.2021;10:00:00-000;39.29;39.295;39.29;39.2905;1194;39.2908
29.11.2021;10:01:00-000;39.29;39.29;39.285;39.285;1608;39.2871
29.11.2021;10:02:00-000;39.285;39.295;39.285;39.29;40257;39.2859
29.11.2021;10:03:00-000;39.29;39.29;39.285;39.285;1865;39.2871
29.11.2021;10:04:00-000;39.2801;39.2801;39.28;39.28;580;39.2801
29.11.2021;10:05:00-000;39.285;39.29;39.285;39.29;7165;39.287
29.11.2021;10:06:00-000;39.2891;39.29;39.285;39.285;3795;39.2876
29.11.2021;10:07:00-000;39.29;39.29;39.285;39.285;621;39.2858
29.11.2021;10:08:00-000;39.285;39.285;39.285;39.285;135;39.2863
29.11.2021;10:09:00-000;39.285;39.29;39.285;39.29;1911;39.2856
29.11.2021;10:10:00-000;39.285;39.29;39.285;39.285;14617;39.2861
29.11.2021;10:11:00-000;39.285;39.29;39.2801;39.2801;7981;39.2873
29.11.2021;10:12:00-000;39.285;39.29;39.285;39.285;848;39.2867
29.11.2021;10:13:00-000;39.29;39.29;39.28;39.2899;2685;39.2842
29.11.2021;10:14:00-000;39.285;39.285;39.28;39.28;615;39.2835
29.11.2021;10:15:00-000;39.285;39.285;39.28;39.285;621;39.2842
29.11.2021;10:16:00-000;39.285;39.285;39.285;39.285;790;39.2853
29.11.2021;10:17:00-000;39.285;39.285;39.285;39.285;704;39.285
29.11.2021;10:18:00-000;39.2893;39.29;39.285;39.285;6369;39.2874
29.11.2021;10:19:00-000;39.29;39.29;39.285;39.285;2054;39.2876
29.11.2021;10:21:00-000;39.28;39.28;39.28;39.28;194;39.2827
29.11.2021;10:22:00-000;39.285;39.289;39.28;39.28;3211;39.285
29.11.2021;10:23:00-000;39.28;39.285;39.28;39.285;740;39.2826
29.11.2021;10:24:00-000;39.285;39.285;39.285;39.285;703;39.285
29.11.2021;10:25:00-000;39.285;39.295;39.285;39.295;57455;39.2902
29.11.2021;10:26:00-000;39.295;39.295;39.29;39.29;4619;39.2946
29.11.2021;10:27:00-000;39.29;39.29;39.285;39.285;35796;39.2897
29.11.2021;10:28:00-000;39.2842;39.2879;39.2842;39.2879;1666;39.2847
29.11.2021;10:29:00-000;39.28;39.285;39.28;39.28;9794;39.2801
29.11.2021;10:30:00-000;39.275;39.28;39.275;39.275;17942;39.2759
29.11.2021;10:31:00-000;39.275;39.275;39.27;39.27;2458;39.2724
29.11.2021;10:32:00-000;39.27;39.27;39.27;39.27;321;39.2707
29.11.2021;10:33:00-000;39.27;39.27;39.27;39.27;281;39.2717
29.11.2021;10:34:00-000;39.275;39.28;39.275;39.275;3155;39.2773
29.11.2021;10:35:00-000;39.275;39.28;39.275;39.275;4371;39.2762
29.11.2021;10:36:00-000;39.28;39.28;39.275;39.28;1672;39.2795
29.11.2021;10:37:00-000;39.275;39.275;39.27;39.27;1463;39.2714
29.11.2021;10:38:00-000;39.275;39.275;39.27;39.275;429;39.2741
29.11.2021;10:39:00-000;39.275;39.275;39.275;39.275;363;39.275
29.11.2021;10:40:00-000;39.275;39.275;39.275;39.275;165;39.275
29.11.2021;10:41:00-000;39.27;39.2755;39.27;39.27;470;39.2732
29.11.2021;10:42:00-000;39.27;39.27;39.27;39.27;2540;39.2701
29.11.2021;10:43:00-000;39.275;39.2767;39.27;39.27;2340;39.2745
29.11.2021;10:44:00-000;39.275;39.275;39.275;39.275;1001;39.275
29.11.2021;10:45:00-000;39.28;39.28;39.28;39.28;263;39.2799
29.11.2021;10:46:00-000;39.28;39.28;39.28;39.28;1039;39.28
29.11.2021;10:47:00-000;39.28;39.28;39.28;39.28;110;39.2791
29.11.2021;10:48:00-000;39.28;39.28;39.28;39.28;1512;39.28
29.11.2021;10:49:00-000;39.28;39.28;39.28;39.28;1684;39.2799
29.11.2021;10:50:00-000;39.2799;39.28;39.2799;39.28;334;39.2794
29.11.2021;10:51:00-000;39.28;39.28;39.28;39.28;888;39.28
29.11.2021;10:52:00-000;39.28;39.28;39.28;39.28;494;39.2797
29.11.2021;10:53:00-000;39.2701;39.2701;39.2701;39.2701;1526;39.2704
29.11.2021;10:55:00-000;39.275;39.28;39.2745;39.28;2349;39.275
29.11.2021;10:56:00-000;39.271;39.271;39.271;39.271;300;39.2716
29.11.2021;10:57:00-000;39.28;39.28;39.28;39.28;2002;39.28
29.11.2021;10:58:00-000;39.2792;39.29;39.2792;39.29;4788;39.2843
29.11.2021;11:00:00-000;39.285;39.285;39.28;39.28;304;39.2834
29.11.2021;11:02:00-000;39.29;39.29;39.29;39.29;162;39.2894
29.11.2021;11:04:00-000;39.285;39.285;39.285;39.285;259;39.285
29.11.2021;11:05:00-000;39.285;39.285;39.285;39.285;124;39.285
29.11.2021;11:06:00-000;39.29;39.29;39.29;39.29;109;39.29
29.11.2021;11:07:00-000;39.2801;39.2838;39.2801;39.2838;2000;39.282
29.11.2021;11:08:00-000;39.2899;39.295;39.285;39.295;4465;39.2893
29.11.2021;11:10:00-000;39.29;39.295;39.29;39.29;2975;39.2927
29.11.2021;11:11:00-000;39.291;39.291;39.285;39.285;8160;39.2899
