Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;97.89;97.92;97.77;97.92;3511;97.8892
29.11.2021;09:33:00-000;97.98;97.98;97.98;97.98;101;97.9791
29.11.2021;09:35:00-000;97.99;97.99;97.972;97.972;600;97.987
29.11.2021;09:36:00-000;97.99;98.01;97.99;97.992;3273;97.9976
29.11.2021;09:37:00-000;97.995;97.995;97.99;97.99;1100;97.9913
29.11.2021;09:40:00-000;97.98;97.99;97.97;97.99;2102;97.9791
29.11.2021;09:43:00-000;98.01;98.015;97.98;97.98;2754;98.01
29.11.2021;09:44:00-000;98;98;98;98;776;98
29.11.2021;09:45:00-000;97.98;97.98;97.98;97.98;403;97.9801
29.11.2021;09:46:00-000;97.97;97.98;97.97;97.98;760;97.9751
29.11.2021;09:47:00-000;97.965;97.98;97.965;97.98;5671;97.9711
29.11.2021;09:48:00-000;98;98;98;98;100;98
29.11.2021;09:49:00-000;98;98;98;98;503;98.0001
29.11.2021;09:53:00-000;98.0399;98.0399;98.0399;98.0399;551;98.0398
29.11.2021;10:02:00-000;97.99;97.99;97.99;97.99;200;97.99
29.11.2021;10:05:00-000;97.98;98;97.98;97.99;2200;97.9959
29.11.2021;10:06:00-000;98.0099;98.0099;97.98;97.98;576;97.9904
29.11.2021;10:11:00-000;97.995;97.995;97.995;97.995;237;97.995
29.11.2021;10:19:00-000;98;98;98;98;261;97.9989
29.11.2021;10:21:00-000;98.0073;98.0073;98.0073;98.0073;733;98.0073
29.11.2021;10:27:00-000;97.99;97.99;97.98;97.9884;2855;97.9881
29.11.2021;10:28:00-000;97.98;97.985;97.98;97.98;432;97.9812
29.11.2021;10:29:00-000;97.98;97.98;97.976;97.976;525;97.9775
29.11.2021;10:30:00-000;97.96;97.96;97.96;97.96;467;97.9617
29.11.2021;10:31:00-000;97.95;97.95;97.94;97.94;3473;97.949
29.11.2021;10:32:00-000;97.96;97.96;97.96;97.96;476;97.96
29.11.2021;10:36:00-000;97.96;97.96;97.93;97.93;4100;97.9528
29.11.2021;10:37:00-000;97.93;97.96;97.93;97.96;1150;97.9389
29.11.2021;10:42:00-000;97.95;97.95;97.95;97.95;100;97.95
29.11.2021;10:45:00-000;97.96;97.96;97.96;97.96;3879;97.9599
29.11.2021;10:49:00-000;97.9537;97.9537;97.9537;97.9537;377;97.9544
29.11.2021;10:50:00-000;97.965;97.965;97.965;97.965;322;97.9643
29.11.2021;10:51:00-000;97.96;97.96;97.96;97.96;1102;97.96
29.11.2021;10:56:00-000;97.97;97.97;97.97;97.97;282;97.9685
29.11.2021;10:57:00-000;97.97;97.97;97.97;97.97;102;97.9699
29.11.2021;10:59:00-000;97.97;97.97;97.97;97.97;428;97.97
29.11.2021;11:00:00-000;97.98;97.98;97.97;97.97;2305;97.9778
29.11.2021;11:01:00-000;97.985;97.985;97.98;97.985;612;97.9825
29.11.2021;11:02:00-000;97.985;97.985;97.985;97.985;100;97.985
29.11.2021;11:04:00-000;97.9888;97.9888;97.9888;97.9888;108;97.9888
29.11.2021;11:05:00-000;97.985;97.985;97.98;97.98;701;97.9829
29.11.2021;11:06:00-000;97.98;97.98;97.98;97.98;233;97.98
29.11.2021;11:07:00-000;97.985;97.985;97.985;97.985;312;97.9832
29.11.2021;11:09:00-000;97.9896;97.99;97.9896;97.99;662;97.9898
29.11.2021;11:10:00-000;98;98;97.99;97.995;1658;97.9957
29.11.2021;11:12:00-000;98;98;97.99;98;3609;97.9993
29.11.2021;11:14:00-000;97.995;97.995;97.995;97.995;100;97.995
29.11.2021;11:15:00-000;97.99;97.995;97.965;97.98;4208;97.9899
29.11.2021;11:16:00-000;98;98.002;98;98;8224;98.0005
29.11.2021;11:20:00-000;97.98;97.98;97.96;97.96;866;97.9633
29.11.2021;11:22:00-000;97.98;97.98;97.98;97.98;352;97.978
29.11.2021;11:25:00-000;97.9601;97.9805;97.9601;97.9805;402;97.9703
29.11.2021;11:26:00-000;97.98;97.98;97.97;97.98;365;97.9773
29.11.2021;11:27:00-000;97.975;97.975;97.975;97.975;194;97.9741
29.11.2021;11:28:00-000;97.975;97.975;97.97;97.97;2900;97.9714
29.11.2021;11:29:00-000;97.96;97.96;97.96;97.96;103;97.96
29.11.2021;11:30:00-000;97.97;97.97;97.97;97.97;2406;97.97
29.11.2021;11:31:00-000;97.98;97.98;97.97;97.97;439;97.9776
29.11.2021;11:35:00-000;97.98;97.99;97.98;97.99;1032;97.9848
29.11.2021;11:40:00-000;97.9701;97.9701;97.9701;97.9701;406;97.9702
29.11.2021;11:41:00-000;97.99;97.99;97.9707;97.9707;504;97.9745
29.11.2021;11:45:00-000;97.98;97.98;97.98;97.98;100;97.98
29.11.2021;11:55:00-000;97.995;97.995;97.995;97.995;208;97.995
29.11.2021;12:06:00-000;98.02;98.02;98.02;98.02;417;98.0161
29.11.2021;12:15:00-000;98.0257;98.0257;98.0257;98.0257;430;98.0257
29.11.2021;12:16:00-000;98.03;98.03;98.03;98.03;208;98.03
29.11.2021;12:24:00-000;98.0355;98.0355;98.0355;98.0355;2422;98.0355
29.11.2021;12:34:00-000;98.06;98.06;98.06;98.06;163;98.0561
29.11.2021;12:35:00-000;98.06;98.06;98.06;98.06;110;98.0608
29.11.2021;12:37:00-000;98.084;98.084;98.084;98.084;173;98.0829
29.11.2021;12:41:00-000;98.08;98.08;98.08;98.08;112;98.08
29.11.2021;12:50:00-000;98.1;98.1;98.1;98.1;429;98.099
29.11.2021;13:05:00-000;98.0831;98.0831;98.0746;98.0746;454;98.0772
29.11.2021;13:08:00-000;98.09;98.09;98.08;98.08;1142;98.0805
29.11.2021;13:10:00-000;98.08;98.08;98.08;98.08;200;98.08
29.11.2021;13:12:00-000;98.0733;98.0733;98.0722;98.0722;660;98.0725
29.11.2021;13:13:00-000;98.1;98.1;98.1;98.1;763;98.1009
29.11.2021;13:15:00-000;98.1;98.1;98.1;98.1;101;98.1
29.11.2021;13:22:00-000;98.1;98.1;98.1;98.1;100;98.1
29.11.2021;13:25:00-000;98.0839;98.0839;98.0839;98.0839;600;98.0839
29.11.2021;13:29:00-000;98.1;98.1;98.1;98.1;100;98.1
29.11.2021;13:35:00-000;98.1;98.1;98.1;98.1;100;98.1
29.11.2021;13:41:00-000;98.1;98.1;98.1;98.1;988;98.0997
29.11.2021;13:46:00-000;98.11;98.11;98.11;98.11;113;98.1089
29.11.2021;13:54:00-000;98.12;98.14;98.11;98.14;1017;98.1312
29.11.2021;13:56:00-000;98.13;98.13;98.13;98.13;197;98.13
29.11.2021;13:57:00-000;98.15;98.15;98.15;98.15;2024;98.15
29.11.2021;13:59:00-000;98.16;98.17;98.16;98.17;3468;98.1682
29.11.2021;14:01:00-000;98.16;98.16;98.16;98.16;100;98.16
29.11.2021;14:04:00-000;98.17;98.17;98.17;98.17;4210;98.17
29.11.2021;14:05:00-000;98.17;98.17;98.17;98.17;1600;98.17
29.11.2021;14:10:00-000;98.1801;98.1801;98.1801;98.1801;204;98.1787
29.11.2021;14:19:00-000;98.17;98.17;98.17;98.17;5820;98.17
29.11.2021;14:24:00-000;98.165;98.165;98.165;98.165;129;98.1648
29.11.2021;14:26:00-000;98.15;98.15;98.15;98.15;250;98.15
29.11.2021;14:30:00-000;98.18;98.18;98.18;98.18;100;98.18
29.11.2021;14:32:00-000;98.1501;98.1501;98.1501;98.1501;130;98.1506
29.11.2021;14:33:00-000;98.1754;98.1754;98.175;98.175;213;98.1748
29.11.2021;14:34:00-000;98.16;98.16;98.16;98.16;200;98.16
29.11.2021;14:36:00-000;98.15;98.15;98.15;98.15;104;98.15
29.11.2021;14:37:00-000;98.16;98.16;98.16;98.16;408;98.1599
29.11.2021;14:42:00-000;98.16;98.16;98.16;98.16;118;98.1608
29.11.2021;14:43:00-000;98.17;98.17;98.17;98.17;626;98.1698
29.11.2021;14:46:00-000;98.1566;98.1566;98.1566;98.1566;103;98.1564
29.11.2021;14:47:00-000;98.16;98.16;98.16;98.16;139;98.1579
29.11.2021;14:52:00-000;98.16;98.16;98.16;98.16;135;98.1578
29.11.2021;14:56:00-000;98.16;98.16;98.16;98.16;104;98.1596
29.11.2021;14:58:00-000;98.1641;98.1641;98.1641;98.1641;253;98.1638
29.11.2021;15:01:00-000;98.16;98.16;98.16;98.16;106;98.1594
29.11.2021;15:03:00-000;98.16;98.16;98.16;98.16;123;98.1597
29.11.2021;15:06:00-000;98.16;98.16;98.16;98.16;166;98.1623
29.11.2021;15:08:00-000;98.1681;98.1681;98.1681;98.1681;306;98.1678
29.11.2021;15:09:00-000;98.16;98.17;98.16;98.17;394;98.1656
29.11.2021;15:10:00-000;98.16;98.16;98.16;98.16;107;98.1593
29.11.2021;15:14:00-000;98.16;98.16;98.16;98.16;160;98.1563
29.11.2021;15:15:00-000;98.1693;98.17;98.1693;98.17;609;98.1694
29.11.2021;15:17:00-000;98.19;98.19;98.19;98.19;100;98.19
29.11.2021;15:19:00-000;98.18;98.18;98.18;98.18;153;98.1766
29.11.2021;15:20:00-000;98.18;98.18;98.18;98.18;200;98.18
29.11.2021;15:22:00-000;98.18;98.18;98.18;98.18;100;98.18
29.11.2021;15:24:00-000;98.17;98.17;98.17;98.17;270;98.172
29.11.2021;15:27:00-000;98.17;98.17;98.17;98.17;351;98.1726
29.11.2021;15:28:00-000;98.17;98.17;98.17;98.17;100;98.17
29.11.2021;15:30:00-000;98.16;98.16;98.14;98.14;1114;98.1546
29.11.2021;15:35:00-000;98.1636;98.1636;98.1636;98.1636;241;98.1615
29.11.2021;15:42:00-000;98.15;98.15;98.15;98.15;159;98.1489
