Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;28.23;28.23;28.23;28.23;1058;28.23
29.11.2021;09:35:00-000;28.31;28.31;28.31;28.31;100;28.31
29.11.2021;09:42:00-000;28.28;28.28;28.28;28.28;450;28.28
29.11.2021;09:46:00-000;28.28;28.28;28.28;28.28;300;28.28
29.11.2021;09:48:00-000;28.29;28.29;28.29;28.29;100;28.29
29.11.2021;09:50:00-000;28.28;28.28;28.28;28.28;1001;28.28
29.11.2021;10:24:00-000;28.3;28.3;28.3;28.3;100;28.3
29.11.2021;10:55:00-000;28.305;28.305;28.305;28.305;234;28.305
29.11.2021;10:57:00-000;28.2965;28.3199;28.2965;28.3199;990;28.3175
29.11.2021;11:04:00-000;28.32;28.32;28.32;28.32;352;28.32
29.11.2021;11:20:00-000;28.32;28.37;28.31;28.37;2128;28.3592
29.11.2021;11:38:00-000;28.33;28.33;28.33;28.33;170;28.33
29.11.2021;11:45:00-000;28.3484;28.3484;28.3484;28.3484;781;28.3484
29.11.2021;11:47:00-000;28.345;28.345;28.345;28.345;129;28.345
29.11.2021;11:49:00-000;28.3509;28.3509;28.3509;28.3509;261;28.3509
29.11.2021;12:24:00-000;28.3312;28.3312;28.3312;28.3312;867;28.3312
29.11.2021;12:31:00-000;28.3496;28.3496;28.3496;28.3496;1239;28.349
29.11.2021;12:50:00-000;28.339;28.339;28.339;28.339;178;28.339
29.11.2021;13:28:00-000;28.34;28.34;28.34;28.34;367;28.34
29.11.2021;13:48:00-000;28.3373;28.3373;28.3373;28.3373;655;28.3373
29.11.2021;13:57:00-000;28.335;28.3394;28.335;28.3394;3307;28.339
29.11.2021;14:32:00-000;28.325;28.34;28.325;28.34;3555;28.3387
29.11.2021;14:56:00-000;28.3441;28.3441;28.3441;28.3441;297;28.3441
29.11.2021;15:16:00-000;28.34;28.34;28.34;28.34;100;28.34
29.11.2021;15:27:00-000;28.35;28.35;28.35;28.35;100;28.35
29.11.2021;15:30:00-000;28.3411;28.35;28.3411;28.35;364;28.3458
29.11.2021;15:33:00-000;28.345;28.35;28.345;28.35;316;28.3484
29.11.2021;16:10:00-000;28.351;28.351;28.351;28.351;0;0
29.11.2021;18:30:00-000;28.351;28.351;28.351;28.351;0;0
29.11.2021;20:00:00-000;28.351;28.351;28.351;28.351;0;0
