Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:41:00-000;5.11;5.11;5.11;5.11;793;5.11
29.11.2021;09:30:00-000;5.02;5.02;5.02;5.02;1091;5.02
29.11.2021;09:32:00-000;5;5;5;5;560;5
29.11.2021;09:33:00-000;5;5.0583;5;5.0583;711;5.041
29.11.2021;09:36:00-000;4.9931;4.9931;4.9931;4.9931;462;4.9957
29.11.2021;09:39:00-000;5.01;5.01;5;5;454;5.0022
29.11.2021;09:40:00-000;5.035;5.035;5;5;2516;5.0018
29.11.2021;09:45:00-000;5;5;5;5;7330;5
29.11.2021;09:48:00-000;4.91;4.91;4.89;4.9;5000;4.8956
29.11.2021;09:55:00-000;4.87;4.9;4.87;4.9;513;4.8942
29.11.2021;09:56:00-000;4.81;4.81;4.81;4.81;2250;4.81
29.11.2021;10:07:00-000;4.84;4.86;4.83;4.86;300;4.8433
29.11.2021;10:12:00-000;4.83;4.83;4.81;4.82;2447;4.8258
29.11.2021;10:14:00-000;4.828;4.828;4.828;4.828;500;4.828
29.11.2021;10:17:00-000;4.75;4.75;4.75;4.75;110;4.75
29.11.2021;10:18:00-000;4.68;4.68;4.67;4.67;700;4.6743
29.11.2021;10:19:00-000;4.67;4.67;4.67;4.67;500;4.67
29.11.2021;10:23:00-000;4.66;4.7;4.65;4.65;3200;4.6697
29.11.2021;10:24:00-000;4.67;4.71;4.67;4.67;2600;4.6746
29.11.2021;10:25:00-000;4.63;4.63;4.63;4.63;300;4.63
29.11.2021;10:32:00-000;4.64;4.67;4.64;4.67;2017;4.648
29.11.2021;10:55:00-000;4.66;4.66;4.62;4.65;1499;4.6486
29.11.2021;11:23:00-000;4.6763;4.6763;4.6763;4.6763;529;4.6763
29.11.2021;11:35:00-000;4.65;4.65;4.65;4.65;2861;4.65
29.11.2021;11:37:00-000;4.62;4.62;4.62;4.62;500;4.62
29.11.2021;11:43:00-000;4.83;4.83;4.83;4.83;1000;4.83
29.11.2021;11:52:00-000;4.83;4.83;4.83;4.83;130;4.83
29.11.2021;11:58:00-000;4.8;4.8;4.8;4.8;300;4.8
29.11.2021;12:31:00-000;4.79;4.79;4.79;4.79;200;4.79
29.11.2021;12:42:00-000;4.7746;4.7746;4.7746;4.7746;1250;4.7746
29.11.2021;12:53:00-000;4.75;4.7501;4.75;4.7501;1500;4.7501
29.11.2021;13:05:00-000;4.7301;4.7301;4.7301;4.7301;1000;4.7301
29.11.2021;13:23:00-000;4.74;4.74;4.74;4.74;510;4.74
29.11.2021;13:47:00-000;4.74;4.74;4.73;4.74;2656;4.7392
29.11.2021;13:48:00-000;4.71;4.71;4.71;4.71;300;4.71
29.11.2021;13:51:00-000;4.65;4.65;4.58;4.58;2322;4.6117
29.11.2021;13:52:00-000;4.58;4.58;4.58;4.58;528;4.58
29.11.2021;14:00:00-000;4.69;4.69;4.69;4.69;333;4.69
29.11.2021;14:27:00-000;4.6336;4.6336;4.6336;4.6336;200;4.6336
29.11.2021;14:28:00-000;4.695;4.695;4.695;4.695;133;4.695
29.11.2021;15:22:00-000;4.69;4.7;4.69;4.7;200;4.695
29.11.2021;15:37:00-000;4.7501;4.7501;4.7501;4.7501;333;4.7501
29.11.2021;15:44:00-000;4.7383;4.7383;4.7383;4.7383;640;4.7383
29.11.2021;15:59:00-000;4.63;4.63;4.63;4.63;394;4.63
29.11.2021;16:00:00-000;4.7;4.7;4.7;4.7;395;4.7
