Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;234.6;238.265;234.6;238.265;2401;237.491
29.11.2021;09:33:00-000;232.13;236;232.13;234.65;612;235.012
29.11.2021;09:36:00-000;232.22;234;232.22;234;651;233.364
29.11.2021;09:37:00-000;233.8;233.8;233.11;233.11;408;233.637
29.11.2021;09:41:00-000;234.645;234.645;234.645;234.645;101;234.635
29.11.2021;09:44:00-000;234.715;234.735;234.715;234.735;1449;234.748
29.11.2021;09:46:00-000;234.64;234.64;234.64;234.64;116;234.654
29.11.2021;09:53:00-000;235.43;235.445;235.43;235.445;783;235.06
29.11.2021;09:54:00-000;235.75;235.77;235.75;235.77;242;235.653
29.11.2021;10:04:00-000;236.64;236.64;236.64;236.64;214;236.665
29.11.2021;10:07:00-000;236;236;236;236;422;235.999
29.11.2021;10:09:00-000;235.96;235.96;235.96;235.96;207;235.954
29.11.2021;10:19:00-000;235.355;235.85;234.67;234.82;10368;235.445
29.11.2021;10:20:00-000;234.895;234.895;234.895;234.895;141;234.726
29.11.2021;10:22:00-000;234.08;234.1;234.08;234.1;253;234.169
29.11.2021;10:23:00-000;234.13;234.31;234.09;234.1;501;234.147
29.11.2021;10:25:00-000;233.95;233.95;233.95;233.95;178;234.174
29.11.2021;10:26:00-000;233.56;233.56;233.56;233.56;493;233.58
29.11.2021;10:27:00-000;233.19;233.19;233.19;233.19;185;233.126
29.11.2021;10:30:00-000;232.985;232.985;232.44;232.44;691;232.874
29.11.2021;10:31:00-000;232.51;232.87;231.92;231.92;876;232.571
29.11.2021;10:32:00-000;231.93;232.01;231.93;232.01;227;232.027
29.11.2021;10:34:00-000;232.4;232.75;232.27;232.595;1205;232.593
29.11.2021;10:35:00-000;232.9;232.9;232.625;232.63;1231;232.726
29.11.2021;10:37:00-000;232.37;232.37;232.37;232.37;364;232.367
29.11.2021;10:39:00-000;232.01;232.01;231.62;231.62;308;231.881
29.11.2021;10:43:00-000;231.755;231.755;231.52;231.52;785;231.461
29.11.2021;10:44:00-000;230.87;230.92;230.87;230.92;700;230.906
29.11.2021;10:45:00-000;231.58;231.58;230.89;231.345;528;231.271
29.11.2021;10:50:00-000;231.12;231.12;230.51;230.51;567;230.939
29.11.2021;10:52:00-000;230.885;230.95;230.57;230.57;434;230.761
29.11.2021;10:53:00-000;231.33;231.33;231.065;231.065;613;231.284
29.11.2021;10:54:00-000;231.135;231.135;231.135;231.135;131;231.135
29.11.2021;11:01:00-000;231.46;231.48;231.21;231.21;562;231.422
