Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;68.5;68.5;68.5;68.5;926;68.4693
29.11.2021;09:33:00-000;68;68;67.88;67.88;308;67.9971
29.11.2021;09:35:00-000;68.28;68.28;68.28;68.28;129;68.2456
29.11.2021;09:44:00-000;68.45;68.45;68.33;68.33;331;68.4137
29.11.2021;09:45:00-000;68.26;68.29;68.26;68.26;374;68.2729
29.11.2021;09:48:00-000;68.6;68.6;68.6;68.6;361;68.4615
29.11.2021;09:52:00-000;68.25;68.25;68.25;68.25;278;68.2568
29.11.2021;09:56:00-000;68.38;68.38;68.38;68.38;289;68.3788
29.11.2021;09:57:00-000;68.62;68.62;68.62;68.62;105;68.6173
29.11.2021;10:07:00-000;68.06;68.07;67.82;67.82;1091;68.0091
29.11.2021;10:11:00-000;67.8962;67.8962;67.8962;67.8962;259;67.9596
29.11.2021;10:12:00-000;68.01;68.01;68.01;68.01;251;67.9517
29.11.2021;10:14:00-000;67.85;67.85;67.85;67.85;323;67.8838
29.11.2021;10:15:00-000;67.7815;67.7815;67.755;67.755;346;67.779
29.11.2021;10:16:00-000;67.95;67.95;67.74;67.74;1546;67.8606
29.11.2021;10:18:00-000;67.81;67.81;67.81;67.81;441;67.8077
29.11.2021;10:26:00-000;67.63;67.63;67.63;67.63;430;67.7097
29.11.2021;10:30:00-000;67.52;67.52;67.52;67.52;525;67.5517
29.11.2021;10:31:00-000;67.51;67.51;67.51;67.51;221;67.4858
29.11.2021;10:35:00-000;67.49;67.515;67.49;67.515;611;67.4931
29.11.2021;10:37:00-000;67.32;67.32;67.26;67.26;304;67.2934
29.11.2021;10:38:00-000;67.14;67.14;67.08;67.08;420;67.101
29.11.2021;10:39:00-000;67.19;67.19;67.19;67.19;332;67.1927
29.11.2021;10:40:00-000;67.2;67.2;67.045;67.045;296;67.1465
29.11.2021;10:41:00-000;67.17;67.17;67.17;67.17;238;67.1698
29.11.2021;10:42:00-000;67.26;67.275;67.26;67.275;438;67.2632
29.11.2021;10:51:00-000;67.34;67.34;67.34;67.34;457;67.337
29.11.2021;10:57:00-000;67.31;67.31;67.31;67.31;181;67.3102
29.11.2021;10:58:00-000;67.365;67.365;67.365;67.365;512;67.365
29.11.2021;10:59:00-000;67.39;67.39;67.39;67.39;145;67.3869
29.11.2021;11:00:00-000;67.46;67.46;67.43;67.43;408;67.4542
29.11.2021;11:02:00-000;67.56;67.56;67.56;67.56;107;67.5585
