Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;9.91;9.91;9.91;9.91;847;9.9102
29.11.2021;09:41:00-000;9.91;9.91;9.909;9.909;510;9.9084
29.11.2021;09:43:00-000;9.8836;9.8836;9.8836;9.8836;865;9.8836
29.11.2021;09:56:00-000;9.9;9.9;9.9;9.9;101;9.9
29.11.2021;10:04:00-000;9.831;9.831;9.831;9.831;300;9.834
29.11.2021;10:12:00-000;9.875;9.875;9.875;9.875;125;9.875
29.11.2021;10:20:00-000;9.8601;9.8601;9.8601;9.8601;123;9.8604
29.11.2021;10:21:00-000;9.86;9.861;9.86;9.861;850;9.8605
29.11.2021;10:22:00-000;9.8;9.8015;9.74;9.74;1082;9.7728
29.11.2021;10:23:00-000;9.73;9.7318;9.73;9.7302;780;9.7308
29.11.2021;11:19:00-000;9.76;9.76;9.75;9.75;595;9.7535
29.11.2021;11:46:00-000;9.7806;9.7806;9.7806;9.7806;450;9.7806
29.11.2021;11:51:00-000;9.78;9.78;9.78;9.78;100;9.78
29.11.2021;12:16:00-000;9.82;9.82;9.82;9.82;207;9.8214
29.11.2021;12:24:00-000;9.87;9.87;9.87;9.87;1225;9.87
29.11.2021;12:40:00-000;9.855;9.855;9.855;9.855;100;9.855
29.11.2021;13:55:00-000;9.86;9.86;9.86;9.86;100;9.86
29.11.2021;13:57:00-000;9.9;9.9;9.9;9.9;507;9.9
29.11.2021;14:01:00-000;9.88;9.88;9.88;9.88;101;9.88
29.11.2021;15:13:00-000;9.86;9.86;9.85;9.85;1000;9.8563
29.11.2021;15:30:00-000;9.87;9.87;9.76;9.76;2348;9.854
29.11.2021;15:32:00-000;9.7901;9.7901;9.7901;9.7901;316;9.7901
29.11.2021;16:00:00-000;9.88;9.88;9.88;9.88;310;9.88
29.11.2021;16:10:00-000;9.88;9.88;9.88;9.88;0;0
29.11.2021;18:30:00-000;9.88;9.88;9.88;9.88;0;0
29.11.2021;20:00:00-000;9.88;9.88;9.88;9.88;0;0
