Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;07:00:00-000;14.4;14.4;14.4;14.4;100;14.4
29.11.2021;07:35:00-000;14.4;14.4;14.4;14.4;400;14.4
29.11.2021;08:00:00-000;14.4;14.4;14.4;14.4;200;14.4
29.11.2021;09:31:00-000;14.5;14.55;14.5;14.5;4720;14.5114
29.11.2021;09:32:00-000;14.525;14.525;14.51;14.51;1000;14.513
29.11.2021;09:34:00-000;14.5;14.5;14.49;14.49;432;14.4749
29.11.2021;09:37:00-000;14.4006;14.44;14.36;14.44;12701;14.4086
29.11.2021;09:38:00-000;14.33;14.35;14.33;14.35;319;14.3588
29.11.2021;09:41:00-000;14.35;14.35;14.35;14.35;630;14.3497
29.11.2021;09:44:00-000;14.35;14.4354;14.35;14.4354;1201;14.421
29.11.2021;09:46:00-000;14.26;14.35;14.17;14.17;7444;14.338
29.11.2021;09:48:00-000;14.16;14.245;14.07;14.07;902;14.1594
29.11.2021;09:50:00-000;14.2716;14.2716;14.16;14.16;1311;14.2425
29.11.2021;09:51:00-000;14.135;14.1398;14.07;14.07;1157;14.1215
29.11.2021;09:52:00-000;14.05;14.1;14.05;14.1;858;14.0766
29.11.2021;09:53:00-000;14.02;14.2159;14.02;14.02;10003;14.0611
29.11.2021;09:54:00-000;14.09;14.09;14.09;14.09;100;14.09
29.11.2021;09:56:00-000;14.1534;14.1534;14.03;14.03;1201;14.1348
29.11.2021;09:57:00-000;14.09;14.09;14.09;14.09;200;14.09
29.11.2021;10:00:00-000;14.09;14.09;14.09;14.09;301;14.0898
29.11.2021;10:01:00-000;14.02;14.02;14.02;14.02;101;14.02
29.11.2021;10:02:00-000;14.09;14.09;14.09;14.09;103;14.088
29.11.2021;10:03:00-000;14.09;14.09;14.09;14.09;342;14.0841
29.11.2021;10:04:00-000;14.1;14.1;14.06;14.06;201;14.0804
29.11.2021;10:05:00-000;14.02;14.08;14.02;14.06;2599;14.0548
29.11.2021;10:06:00-000;14.06;14.07;14.05;14.065;2240;14.0573
29.11.2021;10:07:00-000;14.05;14.155;14.05;14.155;8311;14.0793
29.11.2021;10:08:00-000;14.12;14.195;14.12;14.195;2267;14.1371
29.11.2021;10:11:00-000;14.2;14.2;14.2;14.2;103;14.1985
29.11.2021;10:12:00-000;14.24;14.31;14.16;14.31;4779;14.2318
29.11.2021;10:13:00-000;14.33;14.33;14.33;14.33;101;14.3303
29.11.2021;10:14:00-000;14.2722;14.2722;14.2722;14.2722;148;14.274
29.11.2021;10:15:00-000;14.29;14.29;14.19;14.19;14484;14.2456
29.11.2021;10:16:00-000;14.17;14.17;14.16;14.16;850;14.1714
29.11.2021;10:18:00-000;14.19;14.19;14.19;14.19;200;14.19
29.11.2021;10:19:00-000;14.19;14.27;14.19;14.27;2718;14.2356
29.11.2021;10:20:00-000;14.2501;14.26;14.2;14.2;6371;14.2467
29.11.2021;10:24:00-000;14.195;14.195;14.195;14.195;100;14.195
29.11.2021;10:25:00-000;14.195;14.195;14.195;14.195;201;14.1947
29.11.2021;10:26:00-000;14.2;14.2;14.15;14.15;500;14.2108
29.11.2021;10:28:00-000;14.195;14.195;14.195;14.195;100;14.195
29.11.2021;10:30:00-000;14.195;14.195;14.195;14.195;300;14.1947
29.11.2021;10:31:00-000;14.2167;14.2167;14.09;14.14;1502;14.129
29.11.2021;10:32:00-000;14.13;14.13;14.13;14.13;100;14.13
29.11.2021;10:34:00-000;14.13;14.13;14.13;14.13;100;14.13
29.11.2021;10:35:00-000;14.13;14.13;14.13;14.13;325;14.132
29.11.2021;10:36:00-000;14.07;14.14;14.07;14.14;2141;14.0985
29.11.2021;10:38:00-000;14.195;14.25;14.195;14.25;2604;14.2477
29.11.2021;10:39:00-000;14.195;14.195;14.195;14.195;100;14.195
29.11.2021;10:41:00-000;14.15;14.15;14.15;14.15;306;14.15
29.11.2021;10:42:00-000;14.195;14.195;14.195;14.195;200;14.195
29.11.2021;10:43:00-000;14.2;14.2;14.14;14.165;2515;14.1887
29.11.2021;10:45:00-000;14.165;14.165;14.165;14.165;100;14.165
29.11.2021;10:47:00-000;14.2;14.25;14.2;14.25;409;14.2382
29.11.2021;10:48:00-000;14.24;14.24;14.24;14.24;100;14.24
29.11.2021;10:49:00-000;14.24;14.255;14.24;14.255;400;14.2475
29.11.2021;10:51:00-000;14.255;14.255;14.255;14.255;103;14.2566
29.11.2021;10:52:00-000;14.275;14.275;14.275;14.275;260;14.275
29.11.2021;10:54:00-000;14.275;14.275;14.275;14.275;203;14.2761
29.11.2021;10:55:00-000;14.2125;14.2662;14.2125;14.26;2200;14.2412
29.11.2021;10:56:00-000;14.35;14.35;14.27;14.315;1403;14.3073
29.11.2021;10:57:00-000;14.2601;14.27;14.2;14.2;2593;14.2462
29.11.2021;10:59:00-000;14.245;14.245;14.245;14.245;239;14.2345
29.11.2021;11:00:00-000;14.245;14.245;14.245;14.245;200;14.245
29.11.2021;11:04:00-000;14.18;14.2953;14.18;14.245;477;14.2499
29.11.2021;11:07:00-000;14.245;14.245;14.11;14.155;3603;14.1738
29.11.2021;11:11:00-000;14.13;14.13;14.13;14.13;200;14.13
29.11.2021;11:12:00-000;14.1;14.13;14.05;14.1;14047;14.102
29.11.2021;11:13:00-000;14.14;14.16;14.1;14.16;11010;14.112
29.11.2021;11:14:00-000;14.16;14.17;14.11;14.17;2210;14.1381
29.11.2021;11:15:00-000;14.155;14.19;14.155;14.17;1386;14.1691
29.11.2021;11:16:00-000;14.175;14.19;14.175;14.19;400;14.1825
29.11.2021;11:19:00-000;14.175;14.175;14.175;14.175;100;14.175
29.11.2021;11:20:00-000;14.175;14.19;14.17;14.19;2203;14.1813
29.11.2021;11:21:00-000;14.16;14.16;14.15;14.15;1228;14.1557
29.11.2021;11:22:00-000;14.14;14.15;14.13;14.13;3126;14.1448
29.11.2021;11:23:00-000;14.135;14.15;14.11;14.1196;7526;14.1447
29.11.2021;11:24:00-000;14.1247;14.1247;14.1175;14.12;517;14.1214
29.11.2021;11:25:00-000;14.115;14.13;14.115;14.13;1522;14.1188
29.11.2021;11:27:00-000;14.13;14.15;14.11;14.12;600;14.1217
29.11.2021;11:28:00-000;14.15;14.15;14.15;14.15;100;14.15
29.11.2021;11:29:00-000;14.15;14.15;14.15;14.15;112;14.15
29.11.2021;11:30:00-000;14.15;14.1975;14.1364;14.1364;1020;14.1437
29.11.2021;11:31:00-000;14.15;14.15;14.15;14.15;200;14.15
29.11.2021;11:32:00-000;14.15;14.2;14.15;14.2;300;14.1667
29.11.2021;11:33:00-000;14.15;14.2;14.095;14.11;11745;14.134
29.11.2021;11:34:00-000;14.13;14.16;14.12;14.16;3074;14.1296
29.11.2021;11:36:00-000;14.16;14.16;14.1;14.11;1638;14.1321
29.11.2021;11:37:00-000;14.09;14.1;14.07;14.07;3199;14.0959
29.11.2021;11:38:00-000;14.11;14.11;14.11;14.11;300;14.11
29.11.2021;11:39:00-000;14.11;14.11;14.11;14.11;300;14.11
29.11.2021;11:44:00-000;14.07;14.11;14.07;14.07;300;14.0833
29.11.2021;11:45:00-000;14.105;14.105;14.105;14.105;200;14.105
29.11.2021;11:48:00-000;14.105;14.105;14.105;14.105;202;14.1053
29.11.2021;11:49:00-000;14.105;14.105;14.105;14.105;100;14.105
29.11.2021;11:50:00-000;14.105;14.105;14.105;14.105;100;14.105
29.11.2021;11:55:00-000;14.105;14.105;14.105;14.105;100;14.105
29.11.2021;11:57:00-000;14.105;14.105;14.0654;14.0654;600;14.072
29.11.2021;12:01:00-000;14.105;14.11;14.06;14.11;604;14.0802
29.11.2021;12:02:00-000;14.0601;14.0601;14.0601;14.0601;1000;14.0601
29.11.2021;12:05:00-000;14.105;14.105;14.105;14.105;100;14.105
29.11.2021;12:06:00-000;14.1499;14.1499;14.1499;14.1499;1300;14.1499
29.11.2021;12:09:00-000;14.105;14.105;14.105;14.105;100;14.105
29.11.2021;12:10:00-000;14.105;14.105;14.105;14.105;300;14.105
29.11.2021;12:12:00-000;14.105;14.105;14.105;14.105;102;14.105
29.11.2021;12:14:00-000;14.115;14.115;14.115;14.115;100;14.115
29.11.2021;12:15:00-000;14.105;14.105;14.105;14.105;100;14.105
29.11.2021;12:19:00-000;14.06;14.15;14.06;14.14;1200;14.122
29.11.2021;12:20:00-000;14.11;14.11;14.04;14.06;2311;14.0613
29.11.2021;12:21:00-000;14.04;14.04;14.04;14.04;1054;14.04
29.11.2021;12:22:00-000;14.06;14.06;14.06;14.06;200;14.06
29.11.2021;12:23:00-000;14.1123;14.1123;14.1123;14.1123;1001;14.1123
29.11.2021;12:25:00-000;14.085;14.09;14.03;14.03;700;14.0636
29.11.2021;12:27:00-000;14.055;14.055;14.02;14.02;1200;14.0492
29.11.2021;12:30:00-000;14.06;14.06;14.06;14.06;302;14.0599
29.11.2021;12:31:00-000;14.03;14.04;14.02;14.02;406;14.0299
29.11.2021;12:35:00-000;14.03;14.03;13.96;13.96;4865;13.9937
29.11.2021;12:37:00-000;13.95;13.99;13.95;13.99;400;13.96
29.11.2021;12:38:00-000;13.9883;13.9883;13.9883;13.9883;1002;13.9883
29.11.2021;12:40:00-000;13.97;13.97;13.97;13.97;300;13.97
29.11.2021;12:41:00-000;13.95;13.95;13.95;13.95;100;13.95
29.11.2021;12:42:00-000;13.95;13.95;13.92;13.92;322;13.9403
29.11.2021;12:43:00-000;13.91;13.91;13.91;13.91;100;13.91
29.11.2021;12:45:00-000;13.94;13.94;13.94;13.94;100;13.94
29.11.2021;12:48:00-000;13.9497;13.9497;13.9497;13.9497;1000;13.9497
29.11.2021;12:50:00-000;13.94;13.94;13.9;13.9006;1529;13.9066
29.11.2021;12:51:00-000;13.91;13.91;13.87;13.87;1450;13.9014
29.11.2021;12:55:00-000;13.88;13.91;13.78;13.78;13574;13.8745
29.11.2021;12:56:00-000;13.8;13.84;13.76;13.84;15206;13.7996
29.11.2021;12:57:00-000;13.89;13.95;13.89;13.95;2328;13.9179
29.11.2021;13:00:00-000;13.95;13.975;13.95;13.975;412;13.9623
29.11.2021;13:01:00-000;13.95;13.95;13.95;13.95;100;13.95
29.11.2021;13:03:00-000;13.94;13.94;13.94;13.94;200;13.94
29.11.2021;13:04:00-000;13.975;13.975;13.975;13.975;194;13.975
29.11.2021;13:05:00-000;13.98;13.98;13.94;13.98;700;13.9571
29.11.2021;13:10:00-000;14.01;14.01;13.97;14.005;405;13.9896
29.11.2021;13:11:00-000;13.975;13.975;13.975;13.975;100;13.975
29.11.2021;13:12:00-000;14;14;14;14;100;14
29.11.2021;13:13:00-000;14.015;14.0386;14.015;14.0386;400;14.0209
29.11.2021;13:14:00-000;14.0531;14.0531;14.045;14.045;500;14.0482
29.11.2021;13:15:00-000;14.045;14.045;14.045;14.045;149;14.0584
29.11.2021;13:16:00-000;14.0376;14.0376;14.0371;14.0371;400;14.0374
29.11.2021;13:17:00-000;14.045;14.045;14.027;14.0359;700;14.036
29.11.2021;13:18:00-000;13.9911;14.0374;13.9911;14.0374;1200;13.9988
29.11.2021;13:19:00-000;13.99;13.9911;13.99;13.9911;800;13.9908
29.11.2021;13:20:00-000;14.045;14.045;13.9975;13.9975;2100;14.0119
29.11.2021;13:21:00-000;14.0164;14.0164;13.93;13.975;4015;13.976
29.11.2021;13:24:00-000;13.975;13.975;13.975;13.975;200;13.975
29.11.2021;13:25:00-000;13.975;13.975;13.965;13.965;1100;13.9659
29.11.2021;13:26:00-000;13.93;13.93;13.93;13.93;100;13.93
29.11.2021;13:27:00-000;14.0075;14.0075;14.0075;14.0075;100;14.0075
29.11.2021;13:28:00-000;13.975;13.975;13.975;13.975;100;13.975
29.11.2021;13:29:00-000;13.9536;13.9536;13.92;13.92;1601;13.9448
29.11.2021;13:30:00-000;13.95;13.95;13.95;13.95;100;13.95
29.11.2021;13:31:00-000;13.92;13.92;13.92;13.92;208;13.9344
29.11.2021;13:33:00-000;13.95;13.95;13.95;13.95;200;13.95
29.11.2021;13:35:00-000;13.95;13.95;13.95;13.95;109;13.9475
29.11.2021;13:36:00-000;13.94;13.94;13.9;13.9;1814;13.9256
29.11.2021;13:37:00-000;13.89;13.89;13.85;13.88;1423;13.8785
29.11.2021;13:38:00-000;13.94;13.94;13.94;13.94;101;13.94
29.11.2021;13:40:00-000;13.94;13.94;13.94;13.94;305;13.9396
29.11.2021;13:43:00-000;13.85;13.85;13.82;13.82;2120;13.8373
29.11.2021;13:44:00-000;13.835;13.8594;13.825;13.8594;2896;13.8484
29.11.2021;13:45:00-000;13.87;13.8894;13.87;13.8794;3436;13.882
29.11.2021;13:46:00-000;13.88;13.95;13.88;13.95;844;13.9093
29.11.2021;13:47:00-000;13.94;13.94;13.94;13.94;203;13.9394
29.11.2021;13:48:00-000;13.94;13.94;13.92;13.92;310;13.9335
29.11.2021;13:49:00-000;13.88;13.88;13.87;13.88;1072;13.8811
29.11.2021;13:50:00-000;13.86;13.86;13.82;13.82;700;13.8371
29.11.2021;13:51:00-000;13.82;13.85;13.82;13.84;734;13.8312
29.11.2021;13:52:00-000;13.87;13.89;13.87;13.89;316;13.8846
29.11.2021;13:53:00-000;13.875;13.875;13.875;13.875;204;13.8752
29.11.2021;13:56:00-000;13.9;13.9;13.87;13.87;1211;13.894
29.11.2021;13:57:00-000;13.91;13.91;13.85;13.85;1628;13.8657
29.11.2021;14:00:00-000;13.915;13.9202;13.915;13.9202;200;13.9176
29.11.2021;14:02:00-000;13.915;13.915;13.915;13.915;200;13.915
29.11.2021;14:05:00-000;13.915;13.915;13.915;13.915;100;13.915
29.11.2021;14:06:00-000;13.915;13.915;13.915;13.915;200;13.915
29.11.2021;14:07:00-000;13.87;13.87;13.79;13.79;4384;13.8184
29.11.2021;14:10:00-000;13.855;13.855;13.855;13.855;300;13.855
29.11.2021;14:11:00-000;13.81;13.855;13.81;13.855;510;13.8285
29.11.2021;14:12:00-000;13.89;13.89;13.89;13.89;100;13.89
29.11.2021;14:13:00-000;13.86;13.86;13.86;13.86;100;13.86
29.11.2021;14:15:00-000;13.86;13.86;13.86;13.86;300;13.86
29.11.2021;14:20:00-000;13.86;13.86;13.86;13.86;110;13.86
29.11.2021;14:21:00-000;13.86;13.86;13.86;13.86;200;13.86
29.11.2021;14:24:00-000;13.9;13.91;13.9;13.91;510;13.9031
29.11.2021;14:25:00-000;13.95;13.95;13.9;13.915;830;13.9093
29.11.2021;14:26:00-000;13.915;13.915;13.9;13.9;248;13.8979
29.11.2021;14:29:00-000;13.9;13.91;13.8;13.8;3284;13.8486
29.11.2021;14:30:00-000;13.84;13.885;13.84;13.885;243;13.8603
29.11.2021;14:31:00-000;13.885;13.885;13.83;13.84;300;13.8517
29.11.2021;14:35:00-000;13.87;13.87;13.87;13.87;302;13.8704
29.11.2021;14:36:00-000;13.86;13.86;13.86;13.86;100;13.86
29.11.2021;14:38:00-000;13.86;13.86;13.86;13.86;100;13.86
