Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;05:09:00-000;3.79;3.79;3.79;3.79;205;3.79
29.11.2021;05:10:00-000;3.79;3.79;3.79;3.79;500;3.79
29.11.2021;07:20:00-000;3.79;3.79;3.79;3.79;636;3.79
29.11.2021;07:47:00-000;3.79;3.79;3.79;3.79;516;3.79
29.11.2021;08:00:00-000;3.89;3.89;3.89;3.89;209;3.8856
29.11.2021;08:25:00-000;3.84;3.84;3.84;3.84;100;3.84
29.11.2021;08:53:00-000;3.79;3.79;3.78;3.78;478;3.7863
29.11.2021;09:15:00-000;3.8;3.8;3.8;3.8;2650;3.8
29.11.2021;09:16:00-000;3.8;3.8;3.8;3.8;101;3.8005
29.11.2021;09:22:00-000;3.84;3.84;3.84;3.84;546;3.8437
29.11.2021;09:30:00-000;3.8;3.9;3.76;3.84;9330;3.8853
29.11.2021;09:31:00-000;3.8;3.8;3.79;3.8;1797;3.7932
29.11.2021;09:32:00-000;3.78;3.78;3.75;3.75;7055;3.7569
29.11.2021;09:33:00-000;3.75;3.7504;3.75;3.7504;271;3.7507
29.11.2021;09:34:00-000;3.75;3.75;3.7;3.7;5270;3.7396
29.11.2021;09:35:00-000;3.76;3.76;3.76;3.76;194;3.7579
29.11.2021;09:36:00-000;3.74;3.74;3.74;3.74;338;3.7401
29.11.2021;09:37:00-000;3.71;3.71;3.71;3.71;102;3.711
29.11.2021;09:38:00-000;3.7093;3.76;3.7001;3.76;8033;3.7182
29.11.2021;09:39:00-000;3.75;3.75;3.75;3.75;499;3.753
29.11.2021;09:40:00-000;3.77;3.77;3.77;3.77;695;3.7671
29.11.2021;09:41:00-000;3.75;3.76;3.75;3.76;1008;3.751
29.11.2021;09:42:00-000;3.75;3.7542;3.75;3.7542;1856;3.7509
29.11.2021;09:44:00-000;3.75;3.75;3.745;3.745;308;3.7487
29.11.2021;09:45:00-000;3.745;3.7799;3.745;3.7799;341;3.7581
29.11.2021;09:46:00-000;3.72;3.72;3.72;3.72;3236;3.72
29.11.2021;09:47:00-000;3.7214;3.7214;3.7214;3.7214;166;3.7248
29.11.2021;09:48:00-000;3.72;3.72;3.72;3.72;525;3.7211
29.11.2021;09:49:00-000;3.7526;3.7526;3.7416;3.7416;774;3.7428
29.11.2021;09:50:00-000;3.745;3.745;3.745;3.745;172;3.7388
29.11.2021;09:52:00-000;3.7301;3.7301;3.7301;3.7301;205;3.7305
29.11.2021;09:53:00-000;3.73;3.79;3.72;3.79;14688;3.7576
29.11.2021;09:54:00-000;3.79;3.8;3.775;3.78;18132;3.7886
29.11.2021;09:55:00-000;3.775;3.79;3.775;3.79;6117;3.7753
29.11.2021;09:56:00-000;3.775;3.8;3.7501;3.7501;1401;3.7803
29.11.2021;09:57:00-000;3.775;3.775;3.775;3.775;10041;3.775
29.11.2021;09:58:00-000;3.775;3.8;3.775;3.775;10505;3.7819
29.11.2021;09:59:00-000;3.77;3.8;3.77;3.7999;11006;3.7847
29.11.2021;10:00:00-000;3.8;3.82;3.8;3.82;10450;3.8078
29.11.2021;10:01:00-000;3.8;3.8551;3.8;3.8551;1515;3.8239
29.11.2021;10:02:00-000;3.83;3.84;3.83;3.8382;1620;3.8355
29.11.2021;10:03:00-000;3.84;3.84;3.83;3.83;864;3.8387
29.11.2021;10:04:00-000;3.835;3.85;3.831;3.8452;7798;3.8466
29.11.2021;10:06:00-000;3.86;3.86;3.83;3.83;882;3.8472
29.11.2021;10:07:00-000;3.83;3.8555;3.83;3.8555;816;3.8425
29.11.2021;10:09:00-000;3.82;3.87;3.82;3.82;21272;3.8593
29.11.2021;10:10:00-000;3.82;3.8529;3.82;3.8529;704;3.8435
29.11.2021;10:11:00-000;3.81;3.84;3.79;3.84;923;3.8232
29.11.2021;10:12:00-000;3.81;3.81;3.81;3.81;253;3.8133
29.11.2021;10:13:00-000;3.8314;3.8314;3.8314;3.8314;215;3.806
29.11.2021;10:14:00-000;3.81;3.84;3.81;3.82;5404;3.8212
29.11.2021;10:15:00-000;3.84;3.86;3.775;3.775;18515;3.8172
29.11.2021;10:16:00-000;3.8;3.87;3.8;3.83;6270;3.8425
29.11.2021;10:17:00-000;3.82;3.82;3.82;3.82;138;3.825
29.11.2021;10:18:00-000;3.84;3.8505;3.84;3.8505;5244;3.8465
29.11.2021;10:19:00-000;3.86;3.93;3.8495;3.8727;16723;3.8928
29.11.2021;10:20:00-000;3.94;3.94;3.905;3.94;4504;3.9283
29.11.2021;10:21:00-000;3.929;4.09;3.92;4.07;54639;4.0269
29.11.2021;10:22:00-000;4.06;4.06;3.99;4;12370;4.0136
29.11.2021;10:23:00-000;3.97;3.97;3.97;3.97;1336;3.9702
29.11.2021;10:24:00-000;3.99;4.005;3.9701;4;1832;3.9883
29.11.2021;10:25:00-000;3.99;3.99;3.99;3.99;736;3.9879
29.11.2021;10:26:00-000;3.8911;4.0016;3.8901;3.8901;11027;3.9638
29.11.2021;10:27:00-000;3.9643;3.98;3.924;3.924;1765;3.9629
29.11.2021;10:28:00-000;3.9108;3.98;3.9108;3.98;1124;3.9261
29.11.2021;10:29:00-000;3.98;3.98;3.9246;3.9531;3805;3.9596
29.11.2021;10:30:00-000;3.95;3.9799;3.9101;3.9101;18010;3.9417
29.11.2021;10:31:00-000;3.9702;3.98;3.945;3.98;13401;3.9609
29.11.2021;10:32:00-000;3.98;3.99;3.98;3.99;2533;3.9813
29.11.2021;10:33:00-000;3.91;3.99;3.91;3.9425;8525;3.9625
29.11.2021;10:34:00-000;3.92;4;3.92;4;11295;3.9926
29.11.2021;10:35:00-000;3.96;4;3.95;3.995;32739;3.9735
29.11.2021;10:36:00-000;4;4;3.96;3.995;3161;3.9904
29.11.2021;10:37:00-000;3.9901;3.9952;3.99;3.9952;6065;3.9928
29.11.2021;10:38:00-000;3.95;3.96;3.95;3.96;2363;3.9595
29.11.2021;10:39:00-000;3.94;3.94;3.94;3.94;616;3.9407
29.11.2021;10:40:00-000;3.94;3.94;3.91;3.91;1625;3.9255
29.11.2021;10:41:00-000;3.98;3.98;3.94;3.94;2824;3.9689
29.11.2021;10:42:00-000;3.94;3.95;3.94;3.95;2446;3.9467
29.11.2021;10:43:00-000;3.94;3.95;3.94;3.95;3527;3.9474
29.11.2021;10:44:00-000;3.945;3.945;3.94;3.94;9472;3.9413
29.11.2021;10:45:00-000;3.95;3.95;3.94;3.94;4866;3.9483
29.11.2021;10:46:00-000;3.92;3.95;3.91;3.94;3662;3.9317
29.11.2021;10:47:00-000;3.935;3.95;3.935;3.95;1004;3.938
29.11.2021;10:48:00-000;3.95;3.95;3.935;3.95;2148;3.9478
29.11.2021;10:49:00-000;3.9465;3.95;3.9465;3.95;1286;3.9495
29.11.2021;10:50:00-000;3.92;3.94;3.92;3.94;2812;3.9344
29.11.2021;10:51:00-000;3.91;3.92;3.91;3.92;1924;3.9179
29.11.2021;10:52:00-000;3.91;3.91;3.91;3.91;630;3.9118
29.11.2021;10:53:00-000;3.92;3.92;3.91;3.91;4300;3.917
29.11.2021;10:54:00-000;3.92;3.9488;3.92;3.9488;1263;3.9373
29.11.2021;10:55:00-000;3.92;3.92;3.92;3.92;507;3.9204
29.11.2021;10:56:00-000;3.92;3.92;3.92;3.92;1402;3.92
