Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;15.27;15.27;15.27;15.27;886;15.2701
29.11.2021;09:32:00-000;15.3;15.3;15.3;15.3;135;15.2995
29.11.2021;09:33:00-000;15.265;15.32;15.2;15.2;3277;15.2867
29.11.2021;09:34:00-000;15.2;15.22;15.2;15.22;224;15.2102
29.11.2021;09:35:00-000;15.2;15.2;15.2;15.2;450;15.2059
29.11.2021;09:36:00-000;15.22;15.28;15.215;15.28;1380;15.243
29.11.2021;09:40:00-000;15.3;15.3;15.3;15.3;650;15.3
29.11.2021;09:44:00-000;15.23;15.23;15.22;15.23;628;15.2257
29.11.2021;09:49:00-000;15.15;15.15;15.15;15.15;534;15.1505
29.11.2021;09:50:00-000;15.15;15.15;15.07;15.07;809;15.137
29.11.2021;09:52:00-000;15.12;15.12;15.12;15.12;203;15.1439
29.11.2021;09:58:00-000;15.07;15.07;15.02;15.02;203;15.0456
29.11.2021;10:00:00-000;15;15;15;15;159;15.0089
29.11.2021;10:01:00-000;15;15;15;15;573;14.9983
29.11.2021;10:02:00-000;14.93;14.93;14.93;14.93;777;14.9304
29.11.2021;10:04:00-000;14.84;14.84;14.84;14.84;547;14.8537
29.11.2021;10:05:00-000;14.84;14.85;14.825;14.825;1378;14.8285
29.11.2021;10:06:00-000;14.76;14.76;14.76;14.76;204;14.76
29.11.2021;10:07:00-000;14.74;14.84;14.74;14.83;4013;14.7661
29.11.2021;10:10:00-000;14.8;14.86;14.8;14.81;882;14.8104
29.11.2021;10:11:00-000;14.85;14.91;14.8392;14.85;2662;14.8574
29.11.2021;10:12:00-000;14.84;14.91;14.84;14.91;1646;14.8862
29.11.2021;10:13:00-000;14.915;14.915;14.91;14.91;251;14.912
29.11.2021;10:16:00-000;14.88;14.88;14.88;14.88;536;14.8778
29.11.2021;10:17:00-000;14.89;14.89;14.89;14.89;402;14.8935
29.11.2021;10:18:00-000;14.89;14.89;14.89;14.89;335;14.897
29.11.2021;10:22:00-000;14.9383;14.9383;14.9383;14.9383;280;14.9385
29.11.2021;10:26:00-000;14.91;14.91;14.88;14.88;1246;14.8948
29.11.2021;10:28:00-000;14.88;14.88;14.88;14.88;100;14.88
29.11.2021;10:30:00-000;14.86;14.86;14.86;14.86;317;14.8601
29.11.2021;10:31:00-000;14.86;14.86;14.86;14.86;401;14.86
29.11.2021;10:33:00-000;14.83;14.83;14.83;14.83;102;14.8304
29.11.2021;10:35:00-000;14.86;14.86;14.86;14.86;224;14.86
29.11.2021;10:36:00-000;14.86;14.86;14.86;14.86;100;14.86
29.11.2021;10:37:00-000;14.84;14.85;14.84;14.85;297;14.8436
29.11.2021;10:38:00-000;14.82;14.82;14.81;14.81;1159;14.8113
29.11.2021;10:40:00-000;14.8;14.8;14.8;14.8;512;14.7911
29.11.2021;10:43:00-000;14.79;14.79;14.79;14.79;202;14.7801
29.11.2021;10:44:00-000;14.79;14.79;14.79;14.79;110;14.7909
29.11.2021;10:48:00-000;14.83;14.83;14.83;14.83;845;14.8285
29.11.2021;10:49:00-000;14.83;14.85;14.83;14.836;322;14.8385
29.11.2021;10:51:00-000;14.84;14.84;14.84;14.84;728;14.8292
29.11.2021;10:52:00-000;14.82;14.845;14.82;14.845;500;14.83
