Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:56:00-000;47.5;47.5;47.5;47.5;138;47.5
29.11.2021;05:22:00-000;47.57;47.57;47.57;47.57;105;47.57
29.11.2021;07:18:00-000;47.52;47.53;47.52;47.53;4523;47.5281
29.11.2021;07:20:00-000;47.51;47.52;47.51;47.52;4300;47.5183
29.11.2021;07:36:00-000;47.52;47.53;47.49;47.53;1977;47.5201
29.11.2021;07:59:00-000;47.5;47.5;47.48;47.48;1187;47.4825
29.11.2021;08:00:00-000;47.48;47.48;47.48;47.48;123;47.4816
29.11.2021;08:01:00-000;47.47;47.47;47.47;47.47;536;47.4689
29.11.2021;08:02:00-000;47.44;47.44;47.44;47.44;337;47.4384
29.11.2021;08:12:00-000;47.41;47.41;47.41;47.41;163;47.41
29.11.2021;08:27:00-000;47.44;47.44;47.44;47.44;300;47.44
29.11.2021;09:02:00-000;47.54;47.54;47.54;47.54;163;47.5418
29.11.2021;09:30:00-000;47.77;47.82;47.41;47.44;92860;47.5744
29.11.2021;09:31:00-000;47.42;47.425;47.37;47.37;21154;47.3977
29.11.2021;09:32:00-000;47.375;47.38;47.33;47.35;7963;47.3577
29.11.2021;09:33:00-000;47.3461;47.365;47.33;47.34;8265;47.3502
29.11.2021;09:34:00-000;47.33;47.355;47.325;47.33;12163;47.346
29.11.2021;09:35:00-000;47.315;47.34;47.315;47.335;19303;47.3279
29.11.2021;09:36:00-000;47.335;47.34;47.32;47.325;4596;47.3287
29.11.2021;09:37:00-000;47.32;47.3301;47.31;47.31;5308;47.326
29.11.2021;09:38:00-000;47.31;47.32;47.3;47.315;6322;47.3104
29.11.2021;09:39:00-000;47.32;47.32;47.31;47.32;5729;47.3183
29.11.2021;09:40:00-000;47.325;47.33;47.315;47.32;14287;47.322
29.11.2021;09:41:00-000;47.32;47.335;47.32;47.325;8113;47.3292
29.11.2021;09:42:00-000;47.33;47.335;47.32;47.325;4911;47.327
29.11.2021;09:43:00-000;47.325;47.3286;47.32;47.328;8037;47.3232
29.11.2021;09:44:00-000;47.32;47.325;47.315;47.315;9952;47.3203
29.11.2021;09:45:00-000;47.315;47.32;47.29;47.29;35847;47.3037
29.11.2021;09:46:00-000;47.29;47.29;47.28;47.285;704;47.2874
29.11.2021;09:47:00-000;47.285;47.31;47.285;47.31;4442;47.2967
29.11.2021;09:48:00-000;47.31;47.33;47.3;47.31;24823;47.3178
29.11.2021;09:49:00-000;47.3029;47.305;47.295;47.305;5150;47.3007
29.11.2021;09:50:00-000;47.29;47.29;47.28;47.28;21781;47.2841
29.11.2021;09:51:00-000;47.285;47.295;47.28;47.285;38471;47.2859
29.11.2021;09:52:00-000;47.285;47.295;47.2815;47.285;10484;47.2861
29.11.2021;09:53:00-000;47.29;47.295;47.285;47.29;9342;47.2874
29.11.2021;09:54:00-000;47.3;47.305;47.295;47.3;3142;47.3007
29.11.2021;09:55:00-000;47.3;47.31;47.3;47.31;2356;47.3054
29.11.2021;09:56:00-000;47.31;47.325;47.31;47.325;8750;47.3185
29.11.2021;09:57:00-000;47.32;47.32;47.31;47.31;12939;47.3164
29.11.2021;09:58:00-000;47.31;47.31;47.2999;47.31;10799;47.3068
29.11.2021;09:59:00-000;47.31;47.32;47.3;47.31;5978;47.3088
29.11.2021;10:00:00-000;47.3;47.32;47.29;47.32;14179;47.3088
29.11.2021;10:01:00-000;47.32;47.33;47.3101;47.32;5338;47.3255
29.11.2021;10:02:00-000;47.33;47.34;47.32;47.32;5187;47.336
29.11.2021;10:03:00-000;47.325;47.325;47.305;47.31;5640;47.3118
29.11.2021;10:04:00-000;47.31;47.315;47.305;47.305;4334;47.3122
29.11.2021;10:05:00-000;47.3;47.315;47.3;47.305;3493;47.3083
29.11.2021;10:06:00-000;47.3;47.3099;47.295;47.3;12798;47.2966
29.11.2021;10:07:00-000;47.295;47.3;47.29;47.3;3561;47.2947
29.11.2021;10:08:00-000;47.29;47.295;47.28;47.285;9440;47.2915
29.11.2021;10:09:00-000;47.285;47.305;47.2847;47.3;3990;47.2906
29.11.2021;10:10:00-000;47.31;47.315;47.305;47.315;22634;47.3117
29.11.2021;10:11:00-000;47.315;47.32;47.305;47.315;46863;47.3093
29.11.2021;10:12:00-000;47.31;47.315;47.3;47.305;8514;47.3067
29.11.2021;10:13:00-000;47.305;47.305;47.28;47.285;10630;47.2865
29.11.2021;10:14:00-000;47.285;47.3;47.285;47.29;6246;47.2923
29.11.2021;10:15:00-000;47.29;47.3;47.29;47.295;1261;47.2937
29.11.2021;10:16:00-000;47.3;47.305;47.285;47.295;6087;47.2985
29.11.2021;10:17:00-000;47.3;47.315;47.3;47.31;4750;47.3047
29.11.2021;10:18:00-000;47.31;47.32;47.305;47.32;3854;47.3101
29.11.2021;10:19:00-000;47.313;47.32;47.313;47.32;1446;47.318
29.11.2021;10:20:00-000;47.32;47.32;47.31;47.31;3957;47.3171
29.11.2021;10:21:00-000;47.32;47.33;47.31;47.3115;6504;47.3192
29.11.2021;10:22:00-000;47.31;47.31;47.3;47.305;6429;47.3011
29.11.2021;10:23:00-000;47.31;47.325;47.31;47.325;2213;47.3164
29.11.2021;10:24:00-000;47.32;47.3299;47.315;47.315;1346;47.3216
29.11.2021;10:25:00-000;47.32;47.325;47.315;47.32;3692;47.3209
29.11.2021;10:26:00-000;47.315;47.32;47.315;47.32;732;47.3153
29.11.2021;10:27:00-000;47.31;47.31;47.29;47.2999;6292;47.2984
29.11.2021;10:28:00-000;47.295;47.3;47.295;47.295;578;47.2952
29.11.2021;10:29:00-000;47.3;47.3;47.295;47.295;2949;47.2977
29.11.2021;10:30:00-000;47.2915;47.3;47.29;47.29;5472;47.2915
29.11.2021;10:31:00-000;47.28;47.28;47.26;47.26;11107;47.2699
29.11.2021;10:32:00-000;47.265;47.265;47.265;47.265;407;47.265
29.11.2021;10:33:00-000;47.26;47.275;47.26;47.275;15428;47.2659
29.11.2021;10:34:00-000;47.28;47.28;47.275;47.28;1005;47.2767
29.11.2021;10:35:00-000;47.29;47.295;47.29;47.29;4377;47.2903
29.11.2021;10:36:00-000;47.29;47.3;47.2789;47.2789;7420;47.287
29.11.2021;10:37:00-000;47.275;47.275;47.26;47.26;4575;47.2672
29.11.2021;10:38:00-000;47.255;47.255;47.23;47.23;7043;47.2489
29.11.2021;10:39:00-000;47.235;47.25;47.235;47.24;17303;47.2401
29.11.2021;10:40:00-000;47.235;47.2375;47.22;47.22;2241;47.2284
29.11.2021;10:41:00-000;47.215;47.215;47.185;47.185;6064;47.2007
29.11.2021;10:42:00-000;47.185;47.185;47.185;47.185;1271;47.2173
29.11.2021;10:43:00-000;47.18;47.19;47.18;47.185;4080;47.1863
29.11.2021;10:44:00-000;47.185;47.185;47.185;47.185;1412;47.1847
29.11.2021;10:45:00-000;47.185;47.205;47.185;47.205;6766;47.1944
29.11.2021;10:46:00-000;47.205;47.21;47.195;47.195;2126;47.2011
29.11.2021;10:47:00-000;47.195;47.195;47.17;47.17;9274;47.1875
29.11.2021;10:48:00-000;47.175;47.185;47.16;47.16;16772;47.1721
29.11.2021;10:49:00-000;47.16;47.16;47.12;47.12;2373;47.138
29.11.2021;10:50:00-000;47.115;47.135;47.1101;47.135;20505;47.1215
29.11.2021;10:51:00-000;47.13;47.14;47.12;47.135;6152;47.1326
29.11.2021;10:52:00-000;47.14;47.16;47.13;47.13;6335;47.1481
29.11.2021;10:53:00-000;47.13;47.14;47.13;47.13;7539;47.1335
29.11.2021;10:54:00-000;47.11;47.135;47.11;47.12;5281;47.1241
29.11.2021;10:55:00-000;47.12;47.13;47.12;47.13;3292;47.1276
29.11.2021;10:56:00-000;47.13;47.135;47.12;47.12;5745;47.1288
29.11.2021;10:57:00-000;47.125;47.145;47.11;47.115;14624;47.1328
29.11.2021;10:58:00-000;47.115;47.12;47.1;47.12;16523;47.1083
29.11.2021;10:59:00-000;47.115;47.145;47.115;47.14;3791;47.1307
29.11.2021;11:00:00-000;47.14;47.165;47.14;47.165;3341;47.1481
29.11.2021;11:01:00-000;47.16;47.18;47.16;47.175;14010;47.1728
29.11.2021;11:02:00-000;47.17;47.1701;47.16;47.16;7966;47.1643
29.11.2021;11:03:00-000;47.16;47.17;47.16;47.165;1671;47.1627
29.11.2021;11:04:00-000;47.16;47.165;47.16;47.16;2318;47.1609
29.11.2021;11:05:00-000;47.17;47.18;47.17;47.18;1163;47.1742
29.11.2021;11:06:00-000;47.18;47.19;47.18;47.19;3529;47.1883
29.11.2021;11:07:00-000;47.19;47.19;47.185;47.19;2189;47.1893
29.11.2021;11:08:00-000;47.19;47.205;47.19;47.205;1402;47.195
29.11.2021;11:09:00-000;47.2;47.2;47.19;47.19;1797;47.1954
29.11.2021;11:10:00-000;47.19;47.195;47.173;47.173;12133;47.1814
29.11.2021;11:11:00-000;47.17;47.185;47.17;47.175;2721;47.1786
29.11.2021;11:12:00-000;47.175;47.18;47.17;47.175;13103;47.1792
29.11.2021;11:13:00-000;47.17;47.17;47.1601;47.165;2694;47.1677
29.11.2021;11:14:00-000;47.16;47.16;47.15;47.15;9233;47.1531
29.11.2021;11:15:00-000;47.15;47.16;47.15;47.16;8689;47.1547
29.11.2021;11:16:00-000;47.155;47.16;47.15;47.155;5214;47.155
