Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:25:00-000;83.26;83.26;83.26;83.26;282;83.2824
29.11.2021;04:53:00-000;84.78;84.78;84.78;84.78;100;84.78
29.11.2021;05:19:00-000;84.03;84.03;84.03;84.03;500;84.03
29.11.2021;05:22:00-000;84.03;84.03;84.03;84.03;500;84.03
29.11.2021;05:23:00-000;84.08;84.08;84.04;84.04;300;84.0667
29.11.2021;05:43:00-000;83.6;83.6;83.6;83.6;300;83.6
29.11.2021;05:52:00-000;83.61;83.61;83.61;83.61;445;83.609
29.11.2021;07:42:00-000;84.1;84.1;84.1;84.1;242;84.1002
29.11.2021;07:55:00-000;84.2;84.2;84.2;84.2;100;84.2
29.11.2021;08:00:00-000;84.48;84.48;84.48;84.48;584;84.4513
29.11.2021;08:30:00-000;84.5;84.5;84.5;84.5;200;84.5
29.11.2021;08:44:00-000;84.37;84.37;84.36;84.36;454;84.415
29.11.2021;09:15:00-000;85;85;85;85;110;84.9909
29.11.2021;09:17:00-000;85;85;85;85;304;84.9994
29.11.2021;09:25:00-000;85.11;85.11;85.1;85.1;344;85.1365
29.11.2021;09:29:00-000;85.1;85.1;85.1;85.1;166;85.1
29.11.2021;09:30:00-000;85.37;85.9;85.115;85.56;28303;85.213
29.11.2021;09:31:00-000;85.7657;86.83;85.595;86.26;21344;86.2773
29.11.2021;09:32:00-000;86.255;86.45;85.0884;85.0884;12316;85.6829
29.11.2021;09:33:00-000;85.3376;85.5999;85.08;85.52;2070;85.367
29.11.2021;09:34:00-000;85.4097;85.42;85.24;85.42;2241;85.3512
29.11.2021;09:35:00-000;85.505;85.57;84.445;84.65;17190;84.9956
29.11.2021;09:36:00-000;84.6539;85.06;84.64;85.0032;4915;84.889
29.11.2021;09:37:00-000;85.2;85.2;84.83;84.895;3544;84.9223
29.11.2021;09:38:00-000;85;85.57;85;85.57;13299;85.3231
29.11.2021;09:39:00-000;85.7799;86.13;85.65;86.0996;6688;85.8914
29.11.2021;09:40:00-000;86.14;86.43;85.97;86.1329;8845;86.1993
