Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;28.86;28.86;28.7512;28.7512;2989;28.8272
29.11.2021;09:35:00-000;28.75;28.75;28.75;28.75;2001;28.75
29.11.2021;09:37:00-000;28.77;28.77;28.77;28.77;5000;28.77
29.11.2021;09:42:00-000;28.77;28.77;28.77;28.77;5000;28.77
29.11.2021;09:47:00-000;28.77;28.785;28.76;28.76;2876;28.7695
29.11.2021;09:48:00-000;28.76;28.76;28.76;28.76;500;28.76
29.11.2021;09:53:00-000;28.72;28.72;28.72;28.72;7976;28.72
29.11.2021;09:55:00-000;28.755;28.755;28.755;28.755;270;28.755
29.11.2021;09:56:00-000;28.74;28.74;28.74;28.74;3000;28.74
29.11.2021;09:57:00-000;28.7899;28.7899;28.74;28.74;1209;28.7512
29.11.2021;10:02:00-000;28.76;28.76;28.76;28.76;172;28.76
29.11.2021;10:22:00-000;28.7238;28.7238;28.7238;28.7238;870;28.7242
29.11.2021;10:28:00-000;28.72;28.72;28.72;28.72;200;28.72
29.11.2021;10:31:00-000;28.7;28.7;28.7;28.7;115;28.7
29.11.2021;10:33:00-000;28.6999;28.6999;28.6999;28.6999;147;28.6999
29.11.2021;10:36:00-000;28.6941;28.6941;28.6941;28.6941;165;28.6941
29.11.2021;10:37:00-000;28.69;28.69;28.6642;28.6642;1098;28.6859
29.11.2021;10:38:00-000;28.699;28.699;28.699;28.699;525;28.699
29.11.2021;11:05:00-000;28.6595;28.66;28.6595;28.6595;660;28.6583
29.11.2021;11:07:00-000;28.67;28.67;28.67;28.67;200;28.67
29.11.2021;11:09:00-000;28.6899;28.6899;28.6899;28.6899;1320;28.6899
29.11.2021;11:11:00-000;28.6769;28.6769;28.665;28.665;609;28.6684
29.11.2021;11:13:00-000;28.67;28.67;28.67;28.67;100;28.67
29.11.2021;11:14:00-000;28.67;28.67;28.67;28.67;100;28.67
29.11.2021;11:17:00-000;28.685;28.6999;28.67;28.67;1404;28.6917
29.11.2021;11:25:00-000;28.6954;28.6954;28.6954;28.6954;171;28.6938
29.11.2021;11:26:00-000;28.6835;28.6835;28.6835;28.6835;697;28.6835
29.11.2021;11:28:00-000;28.67;28.67;28.67;28.67;1000;28.67
29.11.2021;11:34:00-000;28.64;28.64;28.64;28.64;730;28.6399
29.11.2021;11:36:00-000;28.669;28.669;28.669;28.669;279;28.669
29.11.2021;11:47:00-000;28.6865;28.6865;28.6865;28.6865;174;28.6865
29.11.2021;12:14:00-000;28.7498;28.7498;28.7498;28.7498;130;28.7473
29.11.2021;12:33:00-000;28.79;28.79;28.79;28.79;176;28.7923
29.11.2021;12:41:00-000;28.818;28.83;28.818;28.83;6323;28.8195
29.11.2021;13:17:00-000;28.83;28.83;28.83;28.83;562;28.8288
29.11.2021;13:21:00-000;28.825;28.825;28.82;28.82;200;28.8225
29.11.2021;13:23:00-000;28.83;28.83;28.83;28.83;165;28.83
29.11.2021;13:25:00-000;28.8121;28.83;28.8121;28.83;328;28.823
29.11.2021;13:30:00-000;28.821;28.821;28.821;28.821;150;28.821
29.11.2021;13:37:00-000;28.82;28.82;28.82;28.82;200;28.82
29.11.2021;14:00:00-000;28.8042;28.81;28.8042;28.81;373;28.8073
29.11.2021;14:04:00-000;28.7801;28.7801;28.7801;28.7801;306;28.7801
29.11.2021;14:21:00-000;28.795;28.81;28.795;28.81;411;28.8023
29.11.2021;14:30:00-000;28.79;28.8;28.79;28.8;500;28.794
29.11.2021;14:33:00-000;28.79;28.79;28.79;28.79;500;28.79
29.11.2021;14:34:00-000;28.775;28.79;28.775;28.79;865;28.7802
29.11.2021;14:37:00-000;28.7799;28.78;28.7799;28.78;450;28.7799
