Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:01:00-000;18.65;18.65;18.65;18.65;100;18.65
29.11.2021;08:09:00-000;18.62;18.76;18.62;18.76;21070;18.7593
29.11.2021;08:10:00-000;18.83;18.83;18.83;18.83;102;18.83
29.11.2021;08:15:00-000;18.74;18.74;18.74;18.74;5817;18.74
29.11.2021;08:16:00-000;18.55;18.55;18.55;18.55;199;18.5798
29.11.2021;08:50:00-000;18.61;18.8;18.61;18.8;52797;18.7248
29.11.2021;09:02:00-000;18.71;18.78;18.71;18.78;32202;18.745
29.11.2021;09:03:00-000;18.71;18.71;18.71;18.71;16201;18.7109
29.11.2021;09:04:00-000;18.85;18.85;18.85;18.85;16101;18.85
29.11.2021;09:05:00-000;18.71;18.78;18.71;18.78;33211;18.745
29.11.2021;09:30:00-000;18.77;19.06;18.67;19.02;15559;18.8708
29.11.2021;09:31:00-000;18.94;18.96;18.6782;18.6782;13505;18.8652
29.11.2021;09:32:00-000;18.71;18.83;18.67;18.83;3114;18.714
29.11.2021;09:33:00-000;18.8619;19.02;18.8619;18.96;6701;18.9941
29.11.2021;09:34:00-000;18.91;18.9443;18.8;18.86;6216;18.8497
29.11.2021;09:35:00-000;18.91;18.91;18.85;18.86;849;18.864
29.11.2021;09:36:00-000;18.85;18.85;18.82;18.82;1084;18.8297
29.11.2021;09:37:00-000;18.78;18.78;18.71;18.715;596;18.7295
29.11.2021;09:38:00-000;18.69;18.74;18.69;18.74;1611;18.7158
29.11.2021;09:39:00-000;18.69;18.78;18.68;18.76;2178;18.7465
29.11.2021;09:40:00-000;18.71;18.76;18.63;18.745;11269;18.687
29.11.2021;09:41:00-000;18.745;18.81;18.71;18.71;8152;18.7467
29.11.2021;09:42:00-000;18.78;18.81;18.755;18.8;1907;18.7772
29.11.2021;09:44:00-000;18.71;18.71;18.59;18.6;1713;18.6313
29.11.2021;09:45:00-000;18.61;18.61;18.6;18.6;815;18.6006
29.11.2021;09:46:00-000;18.55;18.565;18.47;18.52;2254;18.5174
29.11.2021;09:47:00-000;18.5;18.54;18.5;18.53;373;18.5247
29.11.2021;09:49:00-000;18.52;18.52;18.49;18.49;2922;18.5069
