Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:20:00-000;34.16;34.16;34.16;34.16;100;34.16
29.11.2021;09:30:00-000;34.16;34.19;34.05;34.19;39287;34.1481
29.11.2021;09:31:00-000;34.18;34.19;34.07;34.07;2729;34.1336
29.11.2021;09:33:00-000;34.11;34.2;34.1;34.19;5743;34.1306
29.11.2021;09:34:00-000;34.09;34.09;34.0309;34.0309;1431;34.0758
29.11.2021;09:35:00-000;34.055;34.055;34;34.02;1689;34.0243
29.11.2021;09:36:00-000;34.03;34.04;34.02;34.04;702;34.0228
29.11.2021;09:37:00-000;34.02;34.05;33.985;34;5487;34.0104
29.11.2021;09:38:00-000;34.03;34.06;33.99;34.06;3357;34.0142
29.11.2021;09:39:00-000;34;34.07;33.97;34.02;8339;34.0129
29.11.2021;09:40:00-000;34.02;34.12;33.97;34.12;13358;34.0208
29.11.2021;09:41:00-000;34.155;34.155;34.005;34.015;5913;34.0472
29.11.2021;09:42:00-000;34.01;34.02;33.92;33.94;6699;33.9674
29.11.2021;09:43:00-000;33.91;33.92;33.91;33.91;1323;33.9141
29.11.2021;09:44:00-000;33.87;33.9;33.85;33.86;7520;33.8727
29.11.2021;09:45:00-000;33.87;33.88;33.82;33.85;12746;33.8493
29.11.2021;09:46:00-000;33.86;33.91;33.855;33.88;8286;33.8734
29.11.2021;09:47:00-000;33.86;33.86;33.83;33.86;2520;33.8456
29.11.2021;09:48:00-000;33.8508;33.8508;33.76;33.77;5713;33.7951
29.11.2021;09:49:00-000;33.7;33.72;33.68;33.69;3106;33.7026
29.11.2021;09:50:00-000;33.69;33.71;33.58;33.62;61456;33.6266
29.11.2021;09:51:00-000;33.61;33.67;33.61;33.645;8793;33.6403
29.11.2021;09:52:00-000;33.66;33.695;33.64;33.695;11360;33.6682
29.11.2021;09:53:00-000;33.715;33.73;33.715;33.73;460;33.7258
29.11.2021;09:54:00-000;33.72;33.72;33.7;33.705;11638;33.7097
29.11.2021;09:55:00-000;33.705;33.73;33.705;33.73;1510;33.7033
29.11.2021;09:56:00-000;33.74;33.76;33.72;33.72;3370;33.7394
29.11.2021;09:57:00-000;33.69;33.7;33.58;33.58;4376;33.6325
29.11.2021;09:58:00-000;33.57;33.59;33.55;33.59;2048;33.5716
29.11.2021;09:59:00-000;33.61;33.645;33.61;33.62;4289;33.6191
29.11.2021;10:00:00-000;33.62;33.62;33.54;33.57;6346;33.5771
29.11.2021;10:01:00-000;33.5877;33.6;33.56;33.59;10527;33.5826
29.11.2021;10:02:00-000;33.61;33.63;33.58;33.6;4141;33.606
29.11.2021;10:03:00-000;33.58;33.59;33.55;33.55;5095;33.5667
29.11.2021;10:04:00-000;33.55;33.58;33.54;33.55;2684;33.5595
29.11.2021;10:05:00-000;33.53;33.58;33.53;33.56;4382;33.5509
29.11.2021;10:06:00-000;33.57;33.6;33.57;33.6;753;33.589
29.11.2021;10:07:00-000;33.61;33.63;33.6;33.61;1022;33.6081
29.11.2021;10:08:00-000;33.61;33.61;33.52;33.525;5233;33.5657
29.11.2021;10:09:00-000;33.54;33.57;33.52;33.56;2540;33.5364
29.11.2021;10:10:00-000;33.55;33.6;33.55;33.58;2194;33.5704
29.11.2021;10:11:00-000;33.58;33.58;33.55;33.56;3650;33.5714
29.11.2021;10:12:00-000;33.55;33.55;33.535;33.535;1466;33.5455
29.11.2021;10:13:00-000;33.53;33.54;33.5;33.53;3494;33.5236
29.11.2021;10:14:00-000;33.54;33.57;33.54;33.55;1648;33.5542
29.11.2021;10:15:00-000;33.54;33.6;33.52;33.57;5703;33.5568
29.11.2021;10:16:00-000;33.57;33.57;33.54;33.54;1618;33.5593
29.11.2021;10:17:00-000;33.55;33.599;33.54;33.57;1893;33.5718
29.11.2021;10:18:00-000;33.57;33.6;33.57;33.6;951;33.5823
29.11.2021;10:19:00-000;33.63;33.63;33.6;33.6;5444;33.6179
29.11.2021;10:20:00-000;33.6;33.61;33.55;33.56;11101;33.5758
29.11.2021;10:21:00-000;33.56;33.6;33.56;33.5625;43961;33.5737
29.11.2021;10:22:00-000;33.56;33.575;33.535;33.54;110043;33.5537
29.11.2021;10:23:00-000;33.54;33.56;33.52;33.56;9425;33.5434
29.11.2021;10:24:00-000;33.55;33.55;33.48;33.52;75890;33.5277
29.11.2021;10:25:00-000;33.53;33.55;33.415;33.4265;12139;33.4541
29.11.2021;10:26:00-000;33.42;33.425;33.38;33.395;13630;33.4019
29.11.2021;10:27:00-000;33.37;33.42;33.37;33.42;3074;33.4004
29.11.2021;10:28:00-000;33.42;33.44;33.415;33.44;2182;33.4282
29.11.2021;10:29:00-000;33.44;33.44;33.4;33.42;2720;33.42
29.11.2021;10:30:00-000;33.43;33.44;33.43;33.43;1983;33.4345
29.11.2021;10:31:00-000;33.42;33.42;33.385;33.385;839;33.4055
29.11.2021;10:32:00-000;33.4;33.44;33.4;33.43;3549;33.4273
29.11.2021;10:33:00-000;33.43;33.44;33.4;33.44;4838;33.4238
29.11.2021;10:34:00-000;33.45;33.46;33.42;33.46;4492;33.4411
29.11.2021;10:35:00-000;33.47;33.52;33.47;33.47;4014;33.4937
29.11.2021;10:36:00-000;33.47;33.475;33.41;33.41;2184;33.4392
29.11.2021;10:37:00-000;33.41;33.41;33.38;33.38;1796;33.3939
29.11.2021;10:38:00-000;33.365;33.39;33.34;33.355;3963;33.3648
29.11.2021;10:39:00-000;33.36;33.41;33.36;33.41;6113;33.3933
29.11.2021;10:40:00-000;33.41;33.42;33.38;33.38;2116;33.3998
29.11.2021;10:41:00-000;33.375;33.375;33.35;33.35;1272;33.3627
29.11.2021;10:42:00-000;33.34;33.355;33.34;33.34;1661;33.3432
29.11.2021;10:43:00-000;33.35;33.35;33.33;33.34;4608;33.3433
29.11.2021;10:44:00-000;33.37;33.37;33.32;33.33;10207;33.3437
29.11.2021;10:45:00-000;33.34;33.4;33.34;33.39;5508;33.3846
29.11.2021;10:46:00-000;33.37;33.38;33.36;33.375;1489;33.3688
29.11.2021;10:47:00-000;33.37;33.38;33.365;33.365;4189;33.3719
29.11.2021;10:48:00-000;33.35;33.37;33.335;33.365;5656;33.354
29.11.2021;10:49:00-000;33.36;33.36;33.33;33.34;3758;33.3448
29.11.2021;10:50:00-000;33.34;33.37;33.33;33.37;5546;33.3522
29.11.2021;10:51:00-000;33.37;33.39;33.35;33.39;5521;33.3738
29.11.2021;10:52:00-000;33.39;33.43;33.39;33.41;6138;33.4191
29.11.2021;10:53:00-000;33.42;33.44;33.42;33.44;12267;33.4334
29.11.2021;10:54:00-000;33.435;33.445;33.41;33.41;7472;33.433
29.11.2021;10:55:00-000;33.425;33.477;33.42;33.477;2770;33.4396
29.11.2021;10:56:00-000;33.47;33.47;33.44;33.46;11268;33.4551
29.11.2021;10:57:00-000;33.46;33.52;33.46;33.51;3567;33.4989
29.11.2021;10:58:00-000;33.51;33.515;33.49;33.5;11992;33.5012
29.11.2021;10:59:00-000;33.5;33.54;33.5;33.54;2438;33.5161
29.11.2021;11:00:00-000;33.54;33.59;33.53;33.56;11460;33.5461
29.11.2021;11:01:00-000;33.57;33.57;33.56;33.57;3428;33.5631
29.11.2021;11:02:00-000;33.58;33.59;33.58;33.58;2887;33.5826
29.11.2021;11:03:00-000;33.575;33.58;33.56;33.57;5983;33.5701
29.11.2021;11:04:00-000;33.57;33.57;33.56;33.565;1063;33.5444
29.11.2021;11:05:00-000;33.565;33.5841;33.565;33.57;8894;33.5762
29.11.2021;11:06:00-000;33.57;33.61;33.57;33.6;4467;33.5954
29.11.2021;11:07:00-000;33.615;33.615;33.57;33.575;1512;33.5882
29.11.2021;11:08:00-000;33.57;33.61;33.57;33.605;3485;33.5862
29.11.2021;11:09:00-000;33.6;33.615;33.58;33.6;3681;33.5952
29.11.2021;11:10:00-000;33.58;33.59;33.555;33.555;2815;33.5711
29.11.2021;11:11:00-000;33.56;33.58;33.55;33.57;3708;33.5655
29.11.2021;11:12:00-000;33.57;33.6;33.57;33.595;2325;33.5802
29.11.2021;11:13:00-000;33.58;33.58;33.57;33.58;3480;33.5752
29.11.2021;11:14:00-000;33.58;33.58;33.555;33.56;3617;33.5626
29.11.2021;11:15:00-000;33.56;33.59;33.55;33.59;6340;33.5748
29.11.2021;11:16:00-000;33.61;33.62;33.59;33.62;9797;33.6025
29.11.2021;11:17:00-000;33.63;33.63;33.6;33.61;3505;33.6124
29.11.2021;11:18:00-000;33.6;33.63;33.6;33.625;8548;33.6113
29.11.2021;11:19:00-000;33.62;33.62;33.6;33.6;5851;33.6029
29.11.2021;11:20:00-000;33.61;33.655;33.61;33.655;10199;33.632
29.11.2021;11:21:00-000;33.66;33.69;33.63;33.68;31904;33.6706
29.11.2021;11:22:00-000;33.67;33.67;33.63;33.645;7457;33.6535
29.11.2021;11:23:00-000;33.64;33.65;33.59;33.59;8801;33.631
29.11.2021;11:24:00-000;33.585;33.62;33.58;33.62;3766;33.5944
29.11.2021;11:25:00-000;33.61;33.61;33.59;33.6;3270;33.6004
29.11.2021;11:26:00-000;33.6;33.62;33.6;33.605;4517;33.6057
29.11.2021;11:27:00-000;33.6;33.6;33.58;33.59;3757;33.5897
29.11.2021;11:28:00-000;33.59;33.59;33.56;33.56;3061;33.5816
29.11.2021;11:29:00-000;33.56;33.56;33.54;33.56;4393;33.5481
29.11.2021;11:30:00-000;33.57;33.625;33.57;33.619;14494;33.6031
29.11.2021;11:31:00-000;33.6;33.65;33.6;33.62;9420;33.626
29.11.2021;11:32:00-000;33.62;33.625;33.6;33.61;3161;33.6065
29.11.2021;11:33:00-000;33.62;33.635;33.59;33.59;3447;33.6166
29.11.2021;11:34:00-000;33.57;33.57;33.555;33.56;1084;33.5635
29.11.2021;11:35:00-000;33.56;33.585;33.555;33.58;4540;33.5684
29.11.2021;11:36:00-000;33.575;33.575;33.56;33.56;986;33.5675
29.11.2021;11:37:00-000;33.56;33.59;33.55;33.585;9503;33.5655
29.11.2021;11:38:00-000;33.59;33.59;33.57;33.58;3551;33.5749
29.11.2021;11:39:00-000;33.58;33.625;33.58;33.625;3324;33.5978
29.11.2021;11:40:00-000;33.63;33.63;33.615;33.63;3546;33.6243
29.11.2021;11:41:00-000;33.625;33.64;33.625;33.63;2478;33.633
29.11.2021;11:42:00-000;33.625;33.625;33.61;33.61;1298;33.6172
29.11.2021;11:43:00-000;33.61;33.62;33.595;33.62;3273;33.6111
