Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:35:00-000;5.39;5.42;5.39;5.42;949;5.4077
29.11.2021;09:40:00-000;5.42;5.42;5.42;5.42;2000;5.42
29.11.2021;09:50:00-000;5.41;5.41;5.41;5.41;1000;5.41
29.11.2021;09:57:00-000;5.4;5.41;5.4;5.41;241;5.4041
29.11.2021;10:03:00-000;5.42;5.42;5.42;5.42;500;5.42
29.11.2021;10:12:00-000;5.3711;5.3711;5.3711;5.3711;100;5.3711
29.11.2021;10:17:00-000;5.2501;5.2501;5.2501;5.2501;690;5.2501
29.11.2021;10:21:00-000;5.372;5.372;5.372;5.372;200;5.372
29.11.2021;10:54:00-000;5.3202;5.3202;5.3202;5.3202;1000;5.3202
29.11.2021;11:22:00-000;5.355;5.355;5.355;5.355;600;5.355
29.11.2021;11:25:00-000;5.355;5.355;5.355;5.355;100;5.355
29.11.2021;12:18:00-000;5.32;5.33;5.32;5.33;505;5.3274
29.11.2021;12:32:00-000;5.3465;5.37;5.3465;5.37;600;5.3553
29.11.2021;12:33:00-000;5.38;5.4;5.38;5.4;933;5.3871
29.11.2021;12:43:00-000;5.42;5.42;5.4;5.4;400;5.405
29.11.2021;12:44:00-000;5.4265;5.43;5.42;5.43;450;5.427
29.11.2021;12:45:00-000;5.43;5.43;5.43;5.43;300;5.43
29.11.2021;12:49:00-000;5.41;5.4173;5.41;5.4173;200;5.4137
29.11.2021;12:50:00-000;5.42;5.42;5.42;5.42;100;5.42
29.11.2021;13:12:00-000;5.42;5.42;5.42;5.42;550;5.42
29.11.2021;14:03:00-000;5.42;5.42;5.42;5.42;451;5.4312
29.11.2021;14:25:00-000;5.31;5.31;5.3036;5.3036;800;5.306
29.11.2021;15:07:00-000;5.32;5.32;5.32;5.32;126;5.32
29.11.2021;15:22:00-000;5.43;5.43;5.43;5.43;100;5.43
29.11.2021;15:23:00-000;5.43;5.43;5.43;5.43;200;5.43
29.11.2021;15:25:00-000;5.41;5.48;5.41;5.48;600;5.4483
29.11.2021;15:26:00-000;5.48;5.48;5.48;5.48;400;5.48
29.11.2021;15:30:00-000;5.48;5.48;5.48;5.48;120;5.4717
29.11.2021;15:31:00-000;5.48;5.495;5.48;5.49;480;5.4913
29.11.2021;15:52:00-000;5.3247;5.3247;5.3247;5.3247;100;5.3247
