Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:29:00-000;100.74;100.74;100.74;100.74;200;100.725
29.11.2021;09:30:00-000;100.42;100.42;99.71;99.71;1993;100.317
29.11.2021;09:34:00-000;99.9606;99.9606;99.9606;99.9606;121;99.9606
29.11.2021;09:35:00-000;99.85;100.04;99.79;100.04;968;99.8725
29.11.2021;09:36:00-000;99.95;99.95;99.95;99.95;131;99.8456
29.11.2021;09:37:00-000;99.48;99.48;99.48;99.48;196;99.4994
29.11.2021;09:38:00-000;99.78;99.88;99.78;99.88;922;99.835
29.11.2021;09:50:00-000;99.835;99.835;99.65;99.65;229;99.7598
29.11.2021;09:51:00-000;99.81;99.81;99.55;99.74;1225;99.5994
29.11.2021;09:58:00-000;99.385;99.385;99.385;99.385;240;99.3703
29.11.2021;10:02:00-000;99.39;99.78;99.39;99.72;2892;99.6524
29.11.2021;10:03:00-000;99.5;99.5;99.5;99.5;474;99.5099
29.11.2021;10:04:00-000;99.5;99.51;99.5;99.51;662;99.506
29.11.2021;10:06:00-000;99.44;99.59;99.355;99.42;1078;99.4263
29.11.2021;10:07:00-000;99.39;99.57;99.23;99.435;2395;99.4028
29.11.2021;10:08:00-000;99.4;99.45;99.28;99.34;2166;99.323
29.11.2021;10:09:00-000;99.32;99.34;99.32;99.34;224;99.3387
29.11.2021;10:10:00-000;99.51;99.51;99.51;99.51;453;99.514
29.11.2021;10:12:00-000;99.545;99.545;99.52;99.52;959;99.5385
29.11.2021;10:14:00-000;99.4;99.4;99.4;99.4;438;99.4059
29.11.2021;10:16:00-000;99.22;99.31;99.21;99.31;322;99.2454
29.11.2021;10:17:00-000;99.31;99.31;99.31;99.31;270;99.311
29.11.2021;10:19:00-000;99.4;99.455;99.4;99.455;211;99.4328
29.11.2021;10:21:00-000;99.29;99.435;99.04;99.32;1073;99.2772
29.11.2021;10:22:00-000;99.32;99.32;99.165;99.28;676;99.229
29.11.2021;10:24:00-000;99.21;99.35;99.21;99.35;668;99.2952
29.11.2021;10:25:00-000;99.2536;99.28;99.2536;99.26;912;99.2577
29.11.2021;10:26:00-000;99.235;99.26;99.235;99.25;467;99.2429
29.11.2021;10:27:00-000;99.11;99.11;98.96;98.96;755;99.0554
29.11.2021;10:29:00-000;99.09;99.09;99.04;99.04;654;99.0682
29.11.2021;10:31:00-000;98.9;98.9;98.86;98.86;562;98.8935
29.11.2021;10:32:00-000;98.85;98.89;98.76;98.86;740;98.8624
29.11.2021;10:33:00-000;98.7911;98.7911;98.7911;98.7911;582;98.791
29.11.2021;10:35:00-000;99.01;99.03;99.01;99.03;418;99.0141
29.11.2021;10:36:00-000;99.12;99.12;98.86;98.86;1030;99.0201
29.11.2021;10:37:00-000;98.8659;98.8659;98.72;98.72;526;98.777
29.11.2021;10:43:00-000;98.57;98.61;98.55;98.61;416;98.5735
29.11.2021;10:45:00-000;98.58;98.7;98.58;98.7;620;98.6633
29.11.2021;10:50:00-000;98.31;98.31;98.31;98.31;175;98.3611
29.11.2021;10:51:00-000;98.44;98.55;98.43;98.55;1155;98.4646
29.11.2021;10:52:00-000;98.56;98.56;98.51;98.51;1239;98.5401
29.11.2021;10:53:00-000;98.3;98.3;98.3;98.3;100;98.3
29.11.2021;10:57:00-000;98.31;98.31;98.31;98.31;109;98.3171
