Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;74.05;74.05;74.05;74.05;6946;74.0487
29.11.2021;09:31:00-000;73.9289;73.9289;73.9289;73.9289;308;73.9403
29.11.2021;09:32:00-000;73.925;73.925;73.871;73.871;1307;73.8893
29.11.2021;09:33:00-000;73.92;73.94;73.87;73.87;1372;73.912
29.11.2021;09:34:00-000;73.8;73.856;73.8;73.856;476;73.8318
29.11.2021;09:35:00-000;73.8;73.8;73.77;73.77;435;73.7983
29.11.2021;09:38:00-000;73.71;73.71;73.71;73.71;123;73.7107
29.11.2021;09:39:00-000;73.6583;73.69;73.6583;73.69;256;73.6804
29.11.2021;09:41:00-000;73.68;73.68;73.68;73.68;209;73.6767
29.11.2021;09:45:00-000;73.6008;73.62;73.59;73.6016;1369;73.6059
29.11.2021;09:46:00-000;73.5701;73.5701;73.57;73.57;4464;73.5702
29.11.2021;09:47:00-000;73.61;73.61;73.61;73.61;461;73.6025
29.11.2021;09:50:00-000;73.5479;73.5479;73.49;73.5172;5603;73.5226
29.11.2021;09:53:00-000;73.48;73.48;73.48;73.48;804;73.4799
29.11.2021;09:55:00-000;73.465;73.465;73.465;73.465;615;73.4627
29.11.2021;09:57:00-000;73.47;73.47;73.4579;73.4579;521;73.464
29.11.2021;09:58:00-000;73.45;73.45;73.4392;73.4392;352;73.443
29.11.2021;10:00:00-000;73.44;73.47;73.44;73.47;289;73.4548
29.11.2021;10:01:00-000;73.5091;73.5091;73.5091;73.5091;1265;73.5085
29.11.2021;10:02:00-000;73.485;73.5;73.485;73.5;263;73.4909
29.11.2021;10:03:00-000;73.445;73.445;73.445;73.445;353;73.4459
29.11.2021;10:06:00-000;73.44;73.48;73.44;73.48;2513;73.4478
29.11.2021;10:07:00-000;73.44;73.44;73.43;73.43;200;73.435
29.11.2021;10:09:00-000;73.38;73.4;73.38;73.4;3190;73.3852
29.11.2021;10:10:00-000;73.45;73.45;73.43;73.43;10355;73.4498
29.11.2021;10:11:00-000;73.45;73.45;73.45;73.45;119;73.4489
29.11.2021;10:12:00-000;73.45;73.45;73.4474;73.4474;4486;73.4499
29.11.2021;10:13:00-000;73.41;73.41;73.4051;73.4051;419;73.4074
29.11.2021;10:15:00-000;73.46;73.46;73.4146;73.4146;243;73.4419
29.11.2021;10:16:00-000;73.42;73.42;73.415;73.415;7664;73.419
29.11.2021;10:18:00-000;73.4;73.4;73.4;73.4;10713;73.4002
29.11.2021;10:19:00-000;73.4754;73.4754;73.4754;73.4754;331;73.4754
29.11.2021;10:20:00-000;73.49;73.49;73.43;73.46;15883;73.4558
29.11.2021;10:21:00-000;73.45;73.4699;73.45;73.4699;436;73.4587
29.11.2021;10:22:00-000;73.48;73.48;73.44;73.44;745;73.4699
29.11.2021;10:23:00-000;73.46;73.48;73.46;73.47;565;73.469
29.11.2021;10:24:00-000;73.49;73.49;73.49;73.49;506;73.4899
29.11.2021;10:25:00-000;73.48;73.48;73.48;73.48;203;73.4616
29.11.2021;10:27:00-000;73.38;73.389;73.38;73.389;1251;73.3883
29.11.2021;10:28:00-000;73.34;73.36;73.34;73.34;3750;73.3542
29.11.2021;10:29:00-000;73.34;73.34;73.34;73.34;145;73.3396
29.11.2021;10:30:00-000;73.32;73.35;73.32;73.35;800;73.3299
29.11.2021;10:31:00-000;73.33;73.33;73.28;73.28;759;73.3148
29.11.2021;10:32:00-000;73.325;73.325;73.325;73.325;214;73.3243
29.11.2021;10:33:00-000;73.3059;73.3059;73.2708;73.2708;308;73.2854
29.11.2021;10:37:00-000;73.25;73.25;73.25;73.25;490;73.2478
29.11.2021;10:39:00-000;73.2;73.22;73.2;73.22;512;73.2076
29.11.2021;10:41:00-000;73.15;73.15;73.15;73.15;166;73.1577
29.11.2021;10:43:00-000;73.1401;73.1605;73.1401;73.1605;7792;73.1536
29.11.2021;10:48:00-000;73.1765;73.1765;73.1765;73.1765;536;73.1772
29.11.2021;10:49:00-000;73.1475;73.1475;73.14;73.14;613;73.1448
29.11.2021;10:50:00-000;73.1125;73.14;73.1108;73.14;5343;73.1137
29.11.2021;10:51:00-000;73.19;73.19;73.18;73.18;289;73.1825
29.11.2021;10:52:00-000;73.21;73.21;73.21;73.21;126;73.2118
29.11.2021;10:54:00-000;73.18;73.1972;73.18;73.1972;564;73.1906
29.11.2021;10:55:00-000;73.22;73.22;73.22;73.22;511;73.22
29.11.2021;11:00:00-000;73.25;73.25;73.25;73.25;969;73.2561
29.11.2021;11:01:00-000;73.2635;73.2635;73.2635;73.2635;213;73.2722
29.11.2021;11:04:00-000;73.3099;73.3099;73.2921;73.2921;1692;73.307
29.11.2021;11:05:00-000;73.315;73.315;73.315;73.315;167;73.3151
29.11.2021;11:08:00-000;73.35;73.36;73.33;73.36;13364;73.3413
29.11.2021;11:10:00-000;73.36;73.36;73.35;73.35;723;73.3591
29.11.2021;11:11:00-000;73.37;73.37;73.36;73.36;631;73.3612
29.11.2021;11:12:00-000;73.3617;73.3617;73.3617;73.3617;3673;73.3616
29.11.2021;11:14:00-000;73.34;73.34;73.34;73.34;202;73.3402
29.11.2021;11:15:00-000;73.3692;73.3692;73.3692;73.3692;1301;73.3692
29.11.2021;11:16:00-000;73.36;73.364;73.36;73.364;308;73.3613
29.11.2021;11:18:00-000;73.346;73.346;73.346;73.346;1289;73.346
29.11.2021;11:19:00-000;73.32;73.32;73.32;73.32;170;73.3296
29.11.2021;11:22:00-000;73.3413;73.3413;73.3413;73.3413;617;73.3413
29.11.2021;11:23:00-000;73.35;73.36;73.35;73.36;443;73.3575
29.11.2021;11:24:00-000;73.358;73.358;73.358;73.358;435;73.3574
29.11.2021;11:25:00-000;73.3376;73.3376;73.3376;73.3376;159;73.3344
29.11.2021;11:26:00-000;73.3399;73.3399;73.3399;73.3399;190;73.3396
29.11.2021;11:27:00-000;73.315;73.315;73.315;73.315;105;73.3153
29.11.2021;11:29:00-000;73.29;73.29;73.29;73.29;1912;73.29
29.11.2021;11:33:00-000;73.28;73.28;73.26;73.26;1408;73.2757
29.11.2021;11:35:00-000;73.2948;73.2948;73.2948;73.2948;234;73.2885
29.11.2021;11:37:00-000;73.3392;73.3392;73.3392;73.3392;406;73.3392
29.11.2021;11:39:00-000;73.359;73.359;73.359;73.359;426;73.3581
29.11.2021;11:40:00-000;73.38;73.38;73.38;73.38;635;73.3842
29.11.2021;11:41:00-000;73.405;73.405;73.405;73.405;292;73.4096
29.11.2021;11:42:00-000;73.375;73.375;73.375;73.375;210;73.3761
29.11.2021;11:45:00-000;73.435;73.45;73.4301;73.4449;1776;73.4369
29.11.2021;11:46:00-000;73.4237;73.4237;73.4237;73.4237;126;73.4237
29.11.2021;11:47:00-000;73.4762;73.4762;73.4762;73.4762;129;73.4726
29.11.2021;11:48:00-000;73.4799;73.4799;73.4799;73.4799;1044;73.4792
29.11.2021;11:49:00-000;73.4311;73.4492;73.415;73.415;9005;73.4423
