Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;3.04;3.04;3.04;3.04;100;3.04
29.11.2021;09:56:00-000;3.12;3.12;3.12;3.12;250;3.12
29.11.2021;09:57:00-000;3.12;3.12;3.12;3.12;125;3.12
29.11.2021;09:58:00-000;3.12;3.12;3.12;3.12;104;3.12
29.11.2021;10:14:00-000;3.125;3.125;3.125;3.125;100;3.125
29.11.2021;10:24:00-000;3.05;3.05;3.05;3.05;300;3.05
29.11.2021;10:41:00-000;3.05;3.05;3.05;3.05;599;3.05
29.11.2021;11:43:00-000;3.05;3.05;3.05;3.05;176;3.05
29.11.2021;12:01:00-000;3.05;3.05;3.05;3.05;140;3.05
29.11.2021;12:47:00-000;3.125;3.125;3.125;3.125;300;3.125
29.11.2021;13:23:00-000;3.19;3.19;3.19;3.19;550;3.19
29.11.2021;13:35:00-000;3.1204;3.1204;3.1204;3.1204;240;3.1204
29.11.2021;16:10:00-000;3.1204;3.1204;3.1204;3.1204;0;0
29.11.2021;18:30:00-000;3.1204;3.1204;3.1204;3.1204;0;0
29.11.2021;19:00:00-000;3.1204;3.1204;3.1204;3.1204;0;0
