Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;136.6;136.92;136.6;136.92;594;136.656
29.11.2021;09:34:00-000;136.06;136.06;136.06;136.06;100;136.06
29.11.2021;09:37:00-000;135.966;135.966;135.966;135.966;132;135.966
29.11.2021;09:41:00-000;135.926;135.926;135.926;135.926;150;135.926
29.11.2021;09:43:00-000;135.62;135.63;135.62;135.62;516;135.623
29.11.2021;09:58:00-000;134.907;134.907;134.907;134.907;244;134.887
29.11.2021;10:03:00-000;135.06;135.06;135.06;135.06;459;135.048
29.11.2021;10:05:00-000;134.9;134.9;134.9;134.9;437;134.903
29.11.2021;10:14:00-000;134.77;134.77;134.71;134.71;226;134.736
29.11.2021;10:16:00-000;134.522;134.522;134.522;134.522;172;134.523
29.11.2021;10:17:00-000;134.71;134.73;134.71;134.73;1500;134.726
29.11.2021;10:20:00-000;134.78;134.8;134.78;134.8;439;134.784
29.11.2021;10:24:00-000;134.859;134.859;134.859;134.859;962;134.859
29.11.2021;10:32:00-000;134.2;134.2;134.2;134.2;1200;134.2
29.11.2021;10:37:00-000;134.15;134.15;134.15;134.15;210;134.15
29.11.2021;10:44:00-000;134.197;134.197;134.197;134.197;336;134.197
29.11.2021;10:46:00-000;134.27;134.33;134.27;134.33;710;134.304
29.11.2021;10:51:00-000;134.12;134.12;134.12;134.12;200;134.12
29.11.2021;10:54:00-000;134.2;134.245;134.2;134.245;2100;134.228
29.11.2021;11:00:00-000;134.34;134.34;134.34;134.34;264;134.319
29.11.2021;11:11:00-000;134.75;134.75;134.75;134.75;368;134.749
29.11.2021;11:29:00-000;134.58;134.58;134.58;134.58;100;134.58
29.11.2021;11:31:00-000;134.72;134.72;134.66;134.66;1645;134.718
29.11.2021;11:42:00-000;134.79;134.79;134.79;134.79;100;134.79
29.11.2021;12:00:00-000;135.253;135.253;135.253;135.253;165;135.254
29.11.2021;12:09:00-000;135.48;135.48;135.48;135.48;100;135.48
29.11.2021;12:21:00-000;135.57;135.57;135.57;135.57;300;135.57
29.11.2021;12:22:00-000;135.59;135.59;135.59;135.59;139;135.593
29.11.2021;12:25:00-000;135.69;135.69;135.69;135.69;100;135.69
29.11.2021;12:35:00-000;135.85;135.85;135.85;135.85;203;135.873
29.11.2021;12:38:00-000;135.858;135.858;135.858;135.858;260;135.846
29.11.2021;12:44:00-000;135.95;135.96;135.95;135.96;1203;135.957
29.11.2021;12:49:00-000;135.93;135.93;135.93;135.93;200;135.93
29.11.2021;12:52:00-000;135.85;135.85;135.85;135.85;100;135.85
29.11.2021;13:04:00-000;135.84;135.84;135.84;135.84;100;135.84
29.11.2021;13:11:00-000;135.91;135.91;135.91;135.91;300;135.91
29.11.2021;13:26:00-000;135.58;135.6;135.58;135.6;214;135.591
29.11.2021;13:40:00-000;135.67;135.67;135.67;135.67;100;135.67
29.11.2021;13:41:00-000;135.64;135.64;135.64;135.64;111;135.64
29.11.2021;14:00:00-000;135.53;135.53;135.53;135.53;145;135.53
29.11.2021;14:03:00-000;135.58;135.58;135.58;135.58;100;135.58
29.11.2021;14:12:00-000;135.66;135.66;135.66;135.66;516;135.66
29.11.2021;14:15:00-000;135.7;135.7;135.7;135.7;109;135.7
29.11.2021;14:53:00-000;135.54;135.54;135.54;135.54;114;135.542
29.11.2021;14:54:00-000;135.55;135.55;135.43;135.43;800;135.506
29.11.2021;15:14:00-000;135.63;135.63;135.63;135.63;217;135.653
29.11.2021;15:26:00-000;135.515;135.515;135.515;135.515;100;135.515
29.11.2021;15:45:00-000;135.3;135.3;135.3;135.3;300;135.3
29.11.2021;15:46:00-000;135.29;135.29;135.29;135.29;100;135.29
29.11.2021;15:54:00-000;135.27;135.27;135.25;135.25;1102;135.263
29.11.2021;15:58:00-000;135.31;135.31;135.31;135.31;219;135.306
29.11.2021;15:59:00-000;135.16;135.2;135.16;135.2;674;135.184
29.11.2021;16:00:00-000;135.15;135.15;135.15;135.15;514;135.147
29.11.2021;16:10:00-000;135.15;135.15;135.15;135.15;0;0
29.11.2021;16:49:00-000;135.75;135.75;135.75;135.75;225;135.75
29.11.2021;16:51:00-000;135.7;135.7;135.7;135.7;225;135.7
29.11.2021;18:30:00-000;135.15;135.15;135.15;135.15;0;0
29.11.2021;20:00:00-000;135.15;135.15;135.15;135.15;0;0
