Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;147.01;147.391;147;147.391;8111;147.037
29.11.2021;09:31:00-000;147.518;147.518;147.518;147.518;965;147.502
29.11.2021;09:33:00-000;147;147;146.86;146.86;1747;146.979
29.11.2021;09:36:00-000;146.68;146.68;146.68;146.68;630;146.641
29.11.2021;09:37:00-000;146.33;146.33;146.33;146.33;145;146.327
29.11.2021;09:39:00-000;146.15;146.15;145.73;145.93;2460;145.986
29.11.2021;09:40:00-000;145.959;145.959;145.959;145.959;545;145.965
29.11.2021;09:42:00-000;146.135;146.35;146.135;146.35;979;146.304
29.11.2021;09:43:00-000;146.315;146.315;145.95;146.11;1576;146.184
29.11.2021;09:45:00-000;145.93;145.945;145.9;145.935;929;145.9
29.11.2021;09:46:00-000;145.758;145.82;145.758;145.77;598;145.794
29.11.2021;09:47:00-000;145.99;146.27;145.94;146.265;3295;146.082
29.11.2021;09:48:00-000;146.26;146.3;146.26;146.3;742;146.302
29.11.2021;09:49:00-000;146.385;146.41;146.23;146.23;3884;146.348
29.11.2021;09:50:00-000;146.06;146.06;145.91;145.91;474;146.009
29.11.2021;09:51:00-000;145.71;145.9;145.7;145.7;1052;145.834
29.11.2021;09:52:00-000;145.64;145.64;145.64;145.64;567;145.631
29.11.2021;09:54:00-000;145.61;145.76;145.61;145.76;2260;145.685
29.11.2021;09:55:00-000;145.27;145.27;145.27;145.27;324;145.362
29.11.2021;09:57:00-000;145.12;145.23;145.08;145.225;863;145.165
29.11.2021;09:58:00-000;145.23;145.25;145.23;145.25;429;145.235
29.11.2021;09:59:00-000;145.4;145.44;145.37;145.395;1704;145.401
29.11.2021;10:00:00-000;145.55;145.7;145.53;145.65;3326;145.613
29.11.2021;10:01:00-000;145.83;145.83;145.69;145.7;3151;145.737
29.11.2021;10:02:00-000;145.7;145.98;145.7;145.965;2093;145.845
29.11.2021;10:03:00-000;145.963;145.98;145.77;145.925;3410;145.88
29.11.2021;10:04:00-000;145.89;146.03;145.84;145.915;2367;145.894
29.11.2021;10:05:00-000;145.8;145.905;145.8;145.905;659;145.802
29.11.2021;10:07:00-000;145.89;145.91;145.67;145.67;403;145.814
29.11.2021;10:08:00-000;145.62;145.7;145.42;145.42;2613;145.579
29.11.2021;10:09:00-000;145.45;145.6;145.45;145.6;1280;145.497
29.11.2021;10:11:00-000;145.65;145.65;145.65;145.65;495;145.654
29.11.2021;10:13:00-000;145.64;145.64;145.63;145.64;999;145.595
29.11.2021;10:14:00-000;145.73;145.84;145.73;145.835;1694;145.769
29.11.2021;10:15:00-000;145.83;145.9;145.83;145.9;1035;145.857
29.11.2021;10:16:00-000;145.89;145.89;145.89;145.89;337;145.868
29.11.2021;10:17:00-000;145.88;145.88;145.58;145.76;4117;145.739
29.11.2021;10:19:00-000;146.02;146.02;146.01;146.01;325;146.012
29.11.2021;10:20:00-000;145.83;145.83;145.82;145.82;986;145.905
29.11.2021;10:21:00-000;146.01;146.41;145.97;146.41;5611;146.051
