Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;28.86;28.86;28.86;28.86;1673;28.8587
29.11.2021;09:31:00-000;28.81;28.81;28.65;28.68;896;28.7004
29.11.2021;09:33:00-000;28.675;28.75;28.675;28.73;1315;28.7297
29.11.2021;09:34:00-000;28.7;28.7;28.7;28.7;100;28.7
29.11.2021;09:35:00-000;28.71;28.76;28.66;28.66;3431;28.7007
29.11.2021;09:36:00-000;28.66;28.7;28.64;28.7;2149;28.6782
29.11.2021;09:37:00-000;28.6;28.6;28.56;28.59;920;28.5933
29.11.2021;09:38:00-000;28.62;28.7;28.62;28.66;4283;28.6473
29.11.2021;09:39:00-000;28.66;28.69;28.61;28.69;5259;28.6668
29.11.2021;09:41:00-000;28.66;28.7;28.63;28.7;400;28.6625
29.11.2021;09:42:00-000;28.63;28.66;28.63;28.66;242;28.6436
29.11.2021;09:45:00-000;28.64;28.64;28.64;28.64;106;28.6405
29.11.2021;09:46:00-000;28.67;28.74;28.67;28.74;3202;28.7011
29.11.2021;09:47:00-000;28.73;28.765;28.73;28.765;2390;28.7429
29.11.2021;09:48:00-000;28.74;28.74;28.7;28.715;3240;28.7237
29.11.2021;09:49:00-000;28.69;28.71;28.68;28.68;2406;28.6973
29.11.2021;09:50:00-000;28.67;28.67;28.67;28.67;131;28.67
29.11.2021;09:51:00-000;28.67;28.71;28.66;28.66;1014;28.6744
29.11.2021;09:52:00-000;28.64;28.64;28.64;28.64;514;28.6362
29.11.2021;09:53:00-000;28.61;28.64;28.61;28.64;2325;28.6375
29.11.2021;09:54:00-000;28.63;28.64;28.61;28.61;1202;28.6192
29.11.2021;09:55:00-000;28.6;28.61;28.6;28.61;634;28.6021
29.11.2021;09:56:00-000;28.64;28.64;28.64;28.64;375;28.6485
29.11.2021;09:57:00-000;28.61;28.61;28.6;28.61;914;28.6053
29.11.2021;09:58:00-000;28.58;28.58;28.57;28.57;988;28.5754
29.11.2021;09:59:00-000;28.6;28.65;28.6;28.64;1834;28.609
29.11.2021;10:00:00-000;28.61;28.63;28.59;28.63;3236;28.6232
29.11.2021;10:01:00-000;28.62;28.625;28.62;28.625;408;28.6213
29.11.2021;10:02:00-000;28.63;28.63;28.63;28.63;341;28.6243
29.11.2021;10:03:00-000;28.62;28.62;28.62;28.62;609;28.6199
29.11.2021;10:04:00-000;28.61;28.62;28.61;28.62;461;28.6124
29.11.2021;10:05:00-000;28.61;28.67;28.601;28.65;3870;28.638
29.11.2021;10:06:00-000;28.66;28.66;28.66;28.66;100;28.66
29.11.2021;10:07:00-000;28.65;28.66;28.64;28.64;2327;28.6444
29.11.2021;10:08:00-000;28.64;28.64;28.59;28.59;803;28.6236
29.11.2021;10:09:00-000;28.6;28.62;28.6;28.62;590;28.6054
29.11.2021;10:10:00-000;28.62;28.62;28.61;28.61;500;28.616
29.11.2021;10:11:00-000;28.59;28.59;28.59;28.59;118;28.5887
29.11.2021;10:12:00-000;28.59;28.6;28.575;28.6;1111;28.59
29.11.2021;10:13:00-000;28.59;28.6;28.58;28.6;1535;28.5919
29.11.2021;10:14:00-000;28.62;28.62;28.62;28.62;104;28.6195
29.11.2021;10:15:00-000;28.63;28.65;28.62;28.62;2232;28.6293
29.11.2021;10:16:00-000;28.62;28.62;28.61;28.61;717;28.6117
29.11.2021;10:17:00-000;28.6;28.6;28.6;28.6;526;28.6001
29.11.2021;10:18:00-000;28.61;28.61;28.61;28.61;328;28.6096
29.11.2021;10:19:00-000;28.63;28.64;28.63;28.64;769;28.6375
29.11.2021;10:20:00-000;28.64;28.64;28.64;28.64;140;28.6419
29.11.2021;10:22:00-000;28.66;28.7;28.64;28.69;5234;28.6582
29.11.2021;10:23:00-000;28.6701;28.69;28.67;28.675;4368;28.6767
29.11.2021;10:24:00-000;28.67;28.67;28.665;28.665;1296;28.6692
29.11.2021;10:25:00-000;28.67;28.67;28.65;28.66;1366;28.6639
29.11.2021;10:26:00-000;28.655;28.655;28.61;28.61;2556;28.624
29.11.2021;10:27:00-000;28.6;28.61;28.585;28.61;1853;28.5999
29.11.2021;10:28:00-000;28.61;28.63;28.61;28.63;2043;28.6149
29.11.2021;10:29:00-000;28.63;28.64;28.6101;28.64;1745;28.6241
29.11.2021;10:30:00-000;28.645;28.645;28.645;28.645;131;28.6415
29.11.2021;10:31:00-000;28.63;28.645;28.62;28.62;2923;28.624
29.11.2021;10:32:00-000;28.63;28.64;28.63;28.63;2419;28.6312
29.11.2021;10:33:00-000;28.63;28.63;28.62;28.62;1518;28.6213
29.11.2021;10:34:00-000;28.64;28.64;28.615;28.63;2908;28.6271
29.11.2021;10:35:00-000;28.645;28.645;28.635;28.635;2212;28.6361
29.11.2021;10:36:00-000;28.64;28.66;28.63;28.65;9869;28.6382
29.11.2021;10:37:00-000;28.64;28.65;28.62;28.625;8312;28.633
29.11.2021;10:38:00-000;28.63;28.63;28.53;28.545;11603;28.5804
29.11.2021;10:39:00-000;28.54;28.54;28.5;28.515;1855;28.5185
29.11.2021;10:40:00-000;28.48;28.48;28.48;28.48;794;28.4788
29.11.2021;10:41:00-000;28.49;28.5;28.47;28.47;2952;28.4898
29.11.2021;10:42:00-000;28.47;28.47;28.47;28.47;100;28.47
29.11.2021;10:43:00-000;28.47;28.47;28.46;28.46;1004;28.461
29.11.2021;10:44:00-000;28.46;28.47;28.45;28.45;1530;28.4636
29.11.2021;10:45:00-000;28.44;28.465;28.44;28.465;246;28.4529
29.11.2021;10:46:00-000;28.465;28.465;28.41;28.42;2731;28.4413
29.11.2021;10:48:00-000;28.4;28.4;28.395;28.4;2618;28.401
29.11.2021;10:49:00-000;28.4;28.42;28.4;28.42;3085;28.4093
29.11.2021;10:50:00-000;28.43;28.44;28.43;28.44;523;28.4343
29.11.2021;10:51:00-000;28.455;28.46;28.455;28.46;306;28.4583
29.11.2021;10:52:00-000;28.47;28.47;28.47;28.47;624;28.4701
29.11.2021;10:53:00-000;28.465;28.465;28.43;28.43;4491;28.4543
29.11.2021;10:54:00-000;28.425;28.425;28.425;28.425;113;28.4243
29.11.2021;10:55:00-000;28.43;28.43;28.43;28.43;1502;28.4299
29.11.2021;10:56:00-000;28.42;28.43;28.42;28.42;803;28.4212
29.11.2021;10:57:00-000;28.42;28.43;28.42;28.43;868;28.4253
29.11.2021;10:58:00-000;28.435;28.435;28.395;28.395;1600;28.4256
29.11.2021;11:00:00-000;28.42;28.43;28.42;28.421;1056;28.4265
29.11.2021;11:01:00-000;28.44;28.465;28.44;28.465;1494;28.4534
29.11.2021;11:03:00-000;28.465;28.465;28.45;28.45;1539;28.4519
29.11.2021;11:04:00-000;28.455;28.455;28.455;28.455;104;28.4544
29.11.2021;11:05:00-000;28.46;28.47;28.46;28.46;929;28.4633
29.11.2021;11:08:00-000;28.4581;28.48;28.4581;28.48;1910;28.4718
29.11.2021;11:11:00-000;28.47;28.505;28.47;28.505;1570;28.4857
29.11.2021;11:12:00-000;28.5;28.5;28.5;28.5;100;28.5
29.11.2021;11:13:00-000;28.5;28.5;28.5;28.5;195;28.4958
29.11.2021;11:16:00-000;28.51;28.52;28.51;28.52;1372;28.5137
29.11.2021;11:18:00-000;28.52;28.52;28.51;28.52;4101;28.5112
29.11.2021;11:19:00-000;28.51;28.515;28.51;28.51;1269;28.5104
29.11.2021;11:20:00-000;28.52;28.535;28.52;28.53;3154;28.5274
29.11.2021;11:22:00-000;28.53;28.53;28.52;28.53;444;28.5253
29.11.2021;11:24:00-000;28.52;28.52;28.505;28.505;2163;28.5176
29.11.2021;11:25:00-000;28.505;28.505;28.48;28.48;1591;28.4941
29.11.2021;11:26:00-000;28.48;28.52;28.48;28.52;2622;28.4936
29.11.2021;11:27:00-000;28.52;28.52;28.52;28.52;200;28.52
29.11.2021;11:28:00-000;28.515;28.515;28.5;28.5;2705;28.5053
29.11.2021;11:29:00-000;28.5;28.51;28.5;28.5;698;28.5015
29.11.2021;11:31:00-000;28.505;28.515;28.5;28.5;2292;28.5038
29.11.2021;11:32:00-000;28.5;28.5;28.5;28.5;300;28.5
29.11.2021;11:33:00-000;28.5;28.5;28.49;28.495;2969;28.4952
29.11.2021;11:34:00-000;28.49;28.5;28.49;28.5;4829;28.4962
29.11.2021;11:35:00-000;28.51;28.515;28.51;28.51;2834;28.511
29.11.2021;11:36:00-000;28.51;28.51;28.51;28.51;439;28.51
29.11.2021;11:37:00-000;28.51;28.51;28.51;28.51;110;28.51
29.11.2021;11:38:00-000;28.515;28.515;28.51;28.51;774;28.5126
29.11.2021;11:39:00-000;28.52;28.53;28.52;28.53;883;28.5241
29.11.2021;11:40:00-000;28.53;28.53;28.53;28.53;186;28.5304
29.11.2021;11:41:00-000;28.55;28.55;28.55;28.55;133;28.5525
29.11.2021;11:42:00-000;28.55;28.555;28.54;28.545;2935;28.5419
29.11.2021;11:43:00-000;28.54;28.54;28.53;28.54;1715;28.5384
