Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;8.11;8.11;8.11;8.11;100;8.11
29.11.2021;09:33:00-000;8.17;8.17;8.17;8.17;400;8.17
29.11.2021;09:35:00-000;8.17;8.17;8.16;8.16;1184;8.165
29.11.2021;09:36:00-000;8.1489;8.1489;8.1489;8.1489;220;8.1489
29.11.2021;09:38:00-000;8.1499;8.1499;8.14;8.14;1520;8.1434
29.11.2021;09:39:00-000;8.14;8.14;8.13;8.14;1500;8.1387
29.11.2021;09:41:00-000;8.14;8.14;8.14;8.14;503;8.14
29.11.2021;09:42:00-000;8.14;8.14;8.14;8.14;1400;8.14
29.11.2021;09:43:00-000;8.14;8.1401;8.13;8.14;1400;8.1386
29.11.2021;09:44:00-000;8.14;8.14;8.14;8.14;300;8.14
29.11.2021;09:46:00-000;8.13;8.14;8.13;8.14;300;8.1393
29.11.2021;09:47:00-000;8.14;8.14;8.13;8.1325;2000;8.134
29.11.2021;09:53:00-000;8.1499;8.1499;8.12;8.12;2100;8.1485
29.11.2021;09:54:00-000;8.1221;8.1221;8.1221;8.1221;1100;8.1221
29.11.2021;10:07:00-000;8.1238;8.1238;8.1238;8.1238;600;8.1238
29.11.2021;10:09:00-000;8.12;8.12;8.12;8.12;720;8.1201
29.11.2021;10:12:00-000;8.12;8.12;8.12;8.12;400;8.12
29.11.2021;10:29:00-000;8.12;8.1208;8.12;8.12;1400;8.1201
29.11.2021;10:30:00-000;8.12;8.12;8.12;8.12;1000;8.12
29.11.2021;10:31:00-000;8.12;8.12;8.11;8.12;678;8.1191
29.11.2021;10:32:00-000;8.1257;8.1257;8.1102;8.12;2100;8.1208
29.11.2021;10:33:00-000;8.12;8.12;8.11;8.11;600;8.1175
29.11.2021;10:34:00-000;8.11;8.11;8.11;8.11;400;8.11
29.11.2021;10:35:00-000;8.1145;8.1145;8.11;8.11;1800;8.1118
29.11.2021;11:02:00-000;8.12;8.12;8.12;8.12;150;8.12
29.11.2021;11:05:00-000;8.13;8.13;8.13;8.13;100;8.13
29.11.2021;11:08:00-000;8.13;8.13;8.13;8.13;100;8.13
29.11.2021;11:17:00-000;8.125;8.13;8.125;8.13;200;8.1275
29.11.2021;11:37:00-000;8.1199;8.1199;8.1199;8.1199;400;8.1199
29.11.2021;11:43:00-000;8.12;8.12;8.1158;8.1158;1000;8.1179
29.11.2021;11:57:00-000;8.1194;8.1194;8.1194;8.1194;500;8.1194
29.11.2021;11:58:00-000;8.1191;8.1191;8.1191;8.1191;300;8.1191
29.11.2021;12:00:00-000;8.12;8.12;8.12;8.12;900;8.12
29.11.2021;12:13:00-000;8.12;8.12;8.12;8.12;100;8.12
29.11.2021;12:14:00-000;8.11;8.11;8.11;8.11;160;8.11
29.11.2021;12:21:00-000;8.12;8.12;8.12;8.12;138;8.12
29.11.2021;12:46:00-000;8.12;8.12;8.12;8.12;1200;8.12
29.11.2021;12:49:00-000;8.12;8.12;8.12;8.12;100;8.12
29.11.2021;12:50:00-000;8.1198;8.1198;8.1198;8.1198;1200;8.1198
29.11.2021;12:51:00-000;8.119;8.119;8.115;8.115;400;8.118
29.11.2021;12:54:00-000;8.1198;8.1198;8.1198;8.1198;1200;8.1198
29.11.2021;12:55:00-000;8.12;8.12;8.12;8.12;209;8.12
29.11.2021;12:56:00-000;8.12;8.125;8.115;8.115;2250;8.12
29.11.2021;13:05:00-000;8.115;8.115;8.115;8.115;100;8.115
29.11.2021;13:07:00-000;8.1187;8.1187;8.1187;8.1187;100;8.1187
29.11.2021;13:11:00-000;8.115;8.12;8.115;8.12;1100;8.1195
29.11.2021;13:14:00-000;8.115;8.115;8.115;8.115;100;8.115
29.11.2021;13:17:00-000;8.115;8.115;8.115;8.115;100;8.115
29.11.2021;13:25:00-000;8.1188;8.1188;8.1188;8.1188;150;8.1188
29.11.2021;13:43:00-000;8.115;8.115;8.115;8.115;100;8.115
29.11.2021;13:58:00-000;8.1163;8.1163;8.1163;8.1163;239;8.1163
29.11.2021;14:29:00-000;8.12;8.12;8.12;8.12;100;8.12
29.11.2021;14:32:00-000;8.115;8.115;8.115;8.115;100;8.115
29.11.2021;15:09:00-000;8.1132;8.1132;8.1132;8.1132;250;8.1132
29.11.2021;15:46:00-000;8.1181;8.12;8.1181;8.12;200;8.1191
29.11.2021;15:59:00-000;8.11;8.11;8.1;8.11;861;8.1035
29.11.2021;16:00:00-000;8.11;8.11;8.11;8.11;100;8.11
29.11.2021;16:10:00-000;8.11;8.11;8.11;8.11;0;0
29.11.2021;18:30:00-000;8.11;8.11;8.11;8.11;0;0
29.11.2021;19:00:00-000;8.11;8.11;8.11;8.11;0;0
