Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;109.4;109.4;109.4;109.4;257;109.392
29.11.2021;09:35:00-000;108.275;108.275;108.275;108.275;967;108.236
29.11.2021;09:45:00-000;108.89;108.89;108.89;108.89;100;108.89
29.11.2021;09:46:00-000;108.47;109;108.47;109;402;108.736
29.11.2021;09:52:00-000;108.88;108.88;108.88;108.88;217;108.872
29.11.2021;09:56:00-000;108.9;108.9;108.9;108.9;704;108.485
29.11.2021;09:58:00-000;108.47;108.47;108.42;108.47;852;108.466
29.11.2021;09:59:00-000;108.52;108.53;108.52;108.53;289;108.532
29.11.2021;10:01:00-000;108.51;108.51;108.501;108.501;1003;108.506
29.11.2021;10:04:00-000;108.5;108.51;108.5;108.501;928;108.504
29.11.2021;10:05:00-000;108.51;108.51;108.5;108.5;340;108.506
29.11.2021;10:10:00-000;108.31;108.51;108.31;108.51;397;108.328
29.11.2021;10:11:00-000;108.51;108.51;108.51;108.51;585;108.497
29.11.2021;10:12:00-000;108.5;108.51;108.5;108.51;219;108.502
29.11.2021;10:15:00-000;108.265;108.265;108.265;108.265;105;108.277
29.11.2021;10:27:00-000;108.5;108.5;108.5;108.5;340;108.456
29.11.2021;10:28:00-000;108.5;108.51;108.5;108.51;400;108.507
29.11.2021;10:29:00-000;108.58;108.58;108.58;108.58;198;108.578
29.11.2021;10:30:00-000;108.35;108.5;108.35;108.5;305;108.452
29.11.2021;10:31:00-000;108.45;108.5;108.41;108.5;825;108.453
29.11.2021;10:33:00-000;108.422;108.422;108.4;108.4;323;108.401
29.11.2021;10:38:00-000;108.39;108.39;108.39;108.39;267;108.317
29.11.2021;10:48:00-000;108.015;108.015;108.015;108.015;105;108.015
29.11.2021;10:49:00-000;107.76;107.76;107.76;107.76;272;107.75
29.11.2021;10:53:00-000;107.49;107.49;107.49;107.49;313;107.498
29.11.2021;10:54:00-000;107.565;107.565;107.565;107.565;392;107.616
29.11.2021;11:00:00-000;108.29;108.29;108.29;108.29;434;107.985
29.11.2021;11:01:00-000;108.32;108.36;108.32;108.36;230;108.308
29.11.2021;11:06:00-000;108.38;108.38;108.38;108.38;114;108.329
29.11.2021;11:09:00-000;108.385;108.385;108.385;108.385;132;108.383
29.11.2021;11:35:00-000;107.893;107.893;107.893;107.893;107;107.886
29.11.2021;11:39:00-000;107.319;107.319;107.319;107.319;105;107.369
29.11.2021;12:02:00-000;108.82;108.82;108.82;108.82;100;108.82
29.11.2021;12:11:00-000;108.94;108.94;108.94;108.94;105;108.935
29.11.2021;12:27:00-000;108.95;108.95;108.94;108.94;211;108.939
29.11.2021;12:33:00-000;108.99;109;108.99;109;658;109.027
29.11.2021;12:56:00-000;109.24;109.24;109.24;109.24;100;109.24
29.11.2021;12:58:00-000;109.31;109.31;109.31;109.31;104;109.303
29.11.2021;13:24:00-000;108.85;108.85;108.75;108.75;768;108.845
29.11.2021;13:27:00-000;108.36;108.36;108.36;108.36;204;108.345
29.11.2021;13:32:00-000;108.234;108.234;108.234;108.234;476;108.235
29.11.2021;13:57:00-000;108.28;108.28;108.28;108.28;219;108.478
29.11.2021;14:23:00-000;108.4;108.45;108.4;108.45;650;108.407
29.11.2021;14:30:00-000;108.39;108.39;108.39;108.39;626;108.358
29.11.2021;14:38:00-000;108.4;108.4;108.4;108.4;200;108.188
29.11.2021;14:44:00-000;108.4;108.4;108.4;108.4;112;108.406
29.11.2021;15:12:00-000;108.35;108.35;108.35;108.35;117;108.398
29.11.2021;15:28:00-000;108.73;108.86;108.73;108.86;591;108.746
29.11.2021;15:47:00-000;108;108;108;108;335;107.929
29.11.2021;15:55:00-000;107.58;107.58;107.21;107.21;592;107.461
29.11.2021;15:57:00-000;107.14;107.14;107.14;107.14;174;107.204
29.11.2021;15:58:00-000;107.08;107.08;107.08;107.08;381;107.167
29.11.2021;15:59:00-000;107.13;107.16;107.13;107.16;803;107.223
29.11.2021;16:00:00-000;107.15;107.15;107.15;107.15;3192;107.15
29.11.2021;16:01:00-000;107.15;107.15;107.15;107.15;186;107.15
