Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:12:00-000;4.33;4.33;4.33;4.33;230;4.33
29.11.2021;08:25:00-000;4.3;4.3;4.3;4.3;2000;4.3
29.11.2021;08:27:00-000;4.33;4.33;4.33;4.33;200;4.33
29.11.2021;08:28:00-000;4.25;4.25;4.25;4.25;200;4.25
29.11.2021;08:36:00-000;4.3;4.3;4.3;4.3;100;4.3
29.11.2021;08:44:00-000;4.3;4.3;4.3;4.3;221;4.3
29.11.2021;09:19:00-000;4.2;4.2;4.2;4.2;100;4.2
29.11.2021;09:30:00-000;4.19;4.2399;4.19;4.2399;5401;4.1937
29.11.2021;09:31:00-000;4.24;4.3;4.24;4.25;7220;4.2913
29.11.2021;09:32:00-000;4.3;4.3;4.1802;4.2819;7109;4.2037
29.11.2021;09:33:00-000;4.1552;4.23;4.1552;4.23;1160;4.2197
29.11.2021;09:34:00-000;4.24;4.24;4.24;4.24;201;4.2402
29.11.2021;09:35:00-000;4.14;4.2899;4.14;4.2899;203;4.2138
29.11.2021;09:36:00-000;4.2899;4.2899;4.166;4.166;265;4.2138
29.11.2021;09:39:00-000;4.2276;4.2276;4.2276;4.2276;160;4.2276
29.11.2021;09:41:00-000;4.23;4.23;4.23;4.23;100;4.23
29.11.2021;09:43:00-000;4.1693;4.18;4.16;4.16;1107;4.1643
29.11.2021;09:45:00-000;4.11;4.11;4.11;4.11;1342;4.1139
29.11.2021;09:46:00-000;4.09;4.12;4.09;4.12;430;4.0979
29.11.2021;09:50:00-000;4.12;4.12;4.12;4.12;120;4.12
29.11.2021;09:54:00-000;4.06;4.06;4.06;4.06;315;4.0603
29.11.2021;09:57:00-000;4.1088;4.1088;4.1088;4.1088;160;4.1088
29.11.2021;09:59:00-000;4.06;4.06;4.06;4.06;207;4.062
29.11.2021;10:04:00-000;4.05;4.05;4.05;4.05;1306;4.05
29.11.2021;10:05:00-000;4.0731;4.0731;4.0731;4.0731;160;4.0731
29.11.2021;10:06:00-000;4.08;4.08;4.08;4.08;100;4.08
29.11.2021;10:07:00-000;4.0885;4.0885;4.0885;4.0885;102;4.0876
29.11.2021;10:10:00-000;4.06;4.06;4.06;4.06;200;4.06
29.11.2021;10:19:00-000;4.07;4.07;4.04;4.04;695;4.057
29.11.2021;10:20:00-000;4.06;4.06;4.06;4.06;102;4.0595
29.11.2021;10:22:00-000;4.08;4.08;4.02;4.02;8128;4.0272
29.11.2021;10:23:00-000;4.0629;4.0629;4.0629;4.0629;162;4.0625
29.11.2021;10:24:00-000;4.06;4.06;4.0585;4.06;3300;4.0593
29.11.2021;10:26:00-000;4.0515;4.0515;4.0515;4.0515;207;4.0513
29.11.2021;10:27:00-000;4.075;4.08;4.07;4.07;600;4.0742
29.11.2021;10:28:00-000;4.045;4.045;4.04;4.04;300;4.0433
29.11.2021;10:30:00-000;4.04;4.04;4.04;4.04;100;4.04
29.11.2021;10:31:00-000;4.03;4.04;4.02;4.04;2123;4.0264
29.11.2021;10:32:00-000;4.03;4.03;4.0001;4.0001;6771;4.0024
29.11.2021;10:33:00-000;4.0001;4.0001;4;4;1376;4
29.11.2021;10:35:00-000;4.004;4.008;4.002;4.008;1000;4.0068
29.11.2021;10:36:00-000;4;4;4;4;281;4.0027
29.11.2021;10:37:00-000;3.96;3.9939;3.96;3.9939;272;3.9817
29.11.2021;10:40:00-000;3.96;3.96;3.96;3.96;102;3.9608
29.11.2021;10:41:00-000;3.9936;3.9936;3.9936;3.9936;105;3.9922
29.11.2021;10:42:00-000;4;4;4;4;500;4
29.11.2021;10:44:00-000;4.03;4.03;4.03;4.03;405;4.0296
29.11.2021;10:45:00-000;4.04;4.04;4.04;4.04;102;4.0393
29.11.2021;10:46:00-000;4.035;4.035;4.035;4.035;202;4.0349
29.11.2021;10:48:00-000;4.0301;4.0301;4.03;4.03;1140;4.0301
29.11.2021;10:52:00-000;4.03;4.03;4.03;4.03;100;4.03
29.11.2021;11:02:00-000;4.03;4.03;4.03;4.03;350;4.03
29.11.2021;11:05:00-000;4.03;4.03;4.03;4.03;307;4.0303
29.11.2021;11:07:00-000;4.045;4.045;4.045;4.045;100;4.045
29.11.2021;11:08:00-000;4.0598;4.0598;4.0598;4.0598;2000;4.0598
29.11.2021;11:09:00-000;4.0541;4.0541;4.0343;4.0346;1109;4.0363
29.11.2021;11:13:00-000;4.06;4.06;4.055;4.055;1020;4.0551
29.11.2021;11:14:00-000;4.055;4.07;4.055;4.07;5000;4.067
29.11.2021;11:15:00-000;4.0494;4.0494;4.0494;4.0494;160;4.0494
29.11.2021;11:19:00-000;4.04;4.04;4.04;4.04;100;4.04
29.11.2021;11:20:00-000;4.0467;4.0467;4.0467;4.0467;1000;4.0467
29.11.2021;11:24:00-000;4.0467;4.0773;4.0448;4.0448;2551;4.0588
29.11.2021;11:26:00-000;4.0401;4.0401;4.03;4.038;4757;4.0382
29.11.2021;11:27:00-000;4.01;4.01;4.01;4.01;100;4.01
