Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:03:00-000;20.4;20.4;20.4;20.4;250;20.4
29.11.2021;07:00:00-000;20.5;20.5;20.5;20.5;200;20.5
29.11.2021;08:26:00-000;20.6;20.6;20.6;20.6;200;20.6
29.11.2021;08:33:00-000;20.59;20.59;20.59;20.59;100;20.59
29.11.2021;08:50:00-000;20.57;20.57;20.57;20.57;100;20.57
29.11.2021;09:25:00-000;20.37;20.37;20.21;20.21;596;20.3044
29.11.2021;09:30:00-000;20.42;20.49;20.36;20.36;18836;20.4198
29.11.2021;09:31:00-000;20.35;20.35;20.28;20.33;6521;20.3071
29.11.2021;09:32:00-000;20.3001;20.36;20.3001;20.32;1221;20.3384
29.11.2021;09:33:00-000;20.29;20.32;20.26;20.26;2348;20.3049
29.11.2021;09:34:00-000;20.26;20.26;20.21;20.22;2061;20.2232
29.11.2021;09:35:00-000;20.22;20.23;20.2;20.2;1523;20.206
29.11.2021;09:36:00-000;20.19;20.26;20.165;20.165;2619;20.2207
29.11.2021;09:37:00-000;20.16;20.18;20.1115;20.1115;6576;20.1166
29.11.2021;09:38:00-000;20.125;20.16;20.125;20.14;1351;20.1439
29.11.2021;09:39:00-000;20.125;20.17;20.12;20.17;1352;20.1325
29.11.2021;09:40:00-000;20.13;20.16;20.09;20.09;3198;20.126
29.11.2021;09:41:00-000;20.11;20.11;20.08;20.08;1012;20.0946
29.11.2021;09:42:00-000;20.07;20.07;20.055;20.055;2719;20.0602
29.11.2021;09:43:00-000;20.01;20.02;20;20;5059;20.0084
29.11.2021;09:44:00-000;19.985;20.02;19.98;20.02;649;19.9984
29.11.2021;09:45:00-000;20.01;20.06;19.96;20.05;4675;20.0185
29.11.2021;09:46:00-000;20.07;20.08;20.07;20.08;306;20.073
29.11.2021;09:47:00-000;20.0918;20.11;20.0918;20.11;572;20.0995
29.11.2021;09:48:00-000;20.1367;20.14;20.1213;20.1213;1601;20.1269
29.11.2021;09:49:00-000;20.1;20.1;20.1;20.1;262;20.0961
29.11.2021;09:50:00-000;20.05;20.0551;20.03;20.04;1148;20.045
29.11.2021;09:51:00-000;20.01;20.01;20.01;20.01;342;20.0101
29.11.2021;09:53:00-000;19.99;20.01;19.99;20.005;1019;20.0045
29.11.2021;09:54:00-000;20.01;20.02;19.92;19.92;4317;19.9593
29.11.2021;09:55:00-000;19.92;19.93;19.91;19.92;3509;19.9164
29.11.2021;09:56:00-000;19.96;19.975;19.91;19.91;1380;19.9486
29.11.2021;09:57:00-000;19.89;19.92;19.89;19.91;1230;19.9007
