Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;55.58;55.68;55.58;55.655;7474;55.5878
29.11.2021;09:31:00-000;55.53;55.65;55.34;55.36;2635;55.429
29.11.2021;09:32:00-000;55.28;55.28;55.28;55.28;143;55.3248
29.11.2021;09:33:00-000;55.29;55.67;55.29;55.56;8353;55.4882
29.11.2021;09:34:00-000;55.465;55.47;55.39;55.39;952;55.4297
29.11.2021;09:35:00-000;55.38;55.42;55.27;55.36;1910;55.3647
29.11.2021;09:36:00-000;55.3;55.3;55.29;55.29;218;55.2938
29.11.2021;09:37:00-000;55.3;55.3;55.17;55.17;2382;55.2614
29.11.2021;09:38:00-000;55.16;55.16;55.16;55.16;218;55.1609
29.11.2021;09:39:00-000;55.16;55.16;55.07;55.135;1666;55.1327
29.11.2021;09:40:00-000;55.07;55.105;55.04;55.04;875;55.071
29.11.2021;09:41:00-000;55.04;55.2;55.03;55.14;4833;55.1368
29.11.2021;09:42:00-000;55.22;55.34;55.19;55.19;4976;55.2431
29.11.2021;09:43:00-000;55.15;55.205;55.15;55.205;304;55.1688
29.11.2021;09:44:00-000;55.2;55.21;55.1;55.18;2993;55.1749
29.11.2021;09:45:00-000;55.19;55.19;55.19;55.19;281;55.1855
29.11.2021;09:46:00-000;55.18;55.22;55.18;55.22;355;55.2078
29.11.2021;09:47:00-000;55.17;55.17;55.1;55.1;1596;55.146
29.11.2021;09:48:00-000;55.1;55.115;55.04;55.04;2499;55.0704
29.11.2021;09:49:00-000;54.99;54.99;54.95;54.95;1690;54.9807
29.11.2021;09:50:00-000;54.93;54.93;54.86;54.86;812;54.9146
29.11.2021;09:51:00-000;54.85;54.88;54.78;54.88;2171;54.8446
29.11.2021;09:52:00-000;54.87;54.87;54.87;54.87;685;54.8454
29.11.2021;09:53:00-000;54.87;54.95;54.86;54.95;4490;54.8793
29.11.2021;09:54:00-000;54.86;54.86;54.86;54.86;187;54.8606
29.11.2021;09:55:00-000;54.8;54.8;54.74;54.75;1057;54.7723
29.11.2021;09:56:00-000;54.71;54.72;54.69;54.69;846;54.6997
29.11.2021;09:57:00-000;54.62;54.62;54.62;54.62;473;54.629
29.11.2021;09:58:00-000;54.7;54.73;54.69;54.73;1869;54.7039
29.11.2021;09:59:00-000;54.76;54.855;54.76;54.855;1072;54.7849
29.11.2021;10:00:00-000;54.81;54.84;54.77;54.84;2134;54.8063
29.11.2021;10:02:00-000;54.94;54.94;54.94;54.94;1270;54.9455
29.11.2021;10:03:00-000;54.94;54.95;54.91;54.94;1847;54.9359
