Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;25.99;25.99;25.99;25.99;202;25.99
29.11.2021;09:39:00-000;26.0908;26.0908;26.0908;26.0908;269;26.0908
29.11.2021;09:44:00-000;25.98;25.99;25.9512;25.99;640;25.9665
29.11.2021;10:24:00-000;26.06;26.06;26.06;26.06;109;26.0644
29.11.2021;10:25:00-000;26.01;26.01;26.01;26.01;100;26.01
29.11.2021;10:32:00-000;26.0391;26.0391;26.0391;26.0391;115;26.0391
29.11.2021;11:06:00-000;26.16;26.16;26.16;26.16;1000;26.16
29.11.2021;11:21:00-000;25.97;25.97;25.97;25.97;200;25.9733
29.11.2021;11:52:00-000;26.15;26.15;26.15;26.15;200;26.15
29.11.2021;11:53:00-000;26.15;26.15;26.04;26.07;1100;26.1236
29.11.2021;12:22:00-000;25.98;25.99;25.97;25.97;500;25.976
29.11.2021;12:28:00-000;25.98;25.98;25.98;25.98;100;25.98
29.11.2021;12:30:00-000;25.97;25.97;25.97;25.97;100;25.97
29.11.2021;12:32:00-000;25.97;25.97;25.97;25.97;100;25.97
29.11.2021;12:33:00-000;25.99;25.99;25.99;25.99;100;25.99
29.11.2021;12:35:00-000;25.97;25.97;25.97;25.97;113;25.993
29.11.2021;12:37:00-000;25.98;25.98;25.98;25.98;100;25.98
29.11.2021;12:39:00-000;25.98;25.98;25.98;25.98;100;25.98
29.11.2021;12:40:00-000;26;26;26;26;100;26
29.11.2021;12:42:00-000;25.98;25.98;25.98;25.98;100;25.98
29.11.2021;12:44:00-000;26.01;26.01;26.01;26.01;100;26.01
29.11.2021;12:46:00-000;25.98;25.98;25.98;25.98;100;25.98
29.11.2021;12:48:00-000;25.98;25.98;25.98;25.98;100;25.98
29.11.2021;12:49:00-000;25.99;25.99;25.99;25.99;100;25.99
29.11.2021;12:51:00-000;25.99;25.99;25.99;25.99;100;25.99
29.11.2021;12:53:00-000;25.99;25.99;25.99;25.99;100;25.99
29.11.2021;12:55:00-000;25.99;25.99;25.99;25.99;100;25.99
29.11.2021;12:56:00-000;25.99;25.99;25.99;25.99;101;25.9903
29.11.2021;12:58:00-000;25.99;25.99;25.99;25.99;100;25.99
29.11.2021;12:59:00-000;25.99;25.99;25.99;25.99;170;25.9919
29.11.2021;13:05:00-000;26.15;26.15;26.15;26.15;100;26.15
29.11.2021;13:31:00-000;26.0438;26.0438;26.0438;26.0438;1181;26.0438
29.11.2021;14:01:00-000;26;26;26;26;200;26
29.11.2021;14:02:00-000;26;26.02;26;26.02;300;26.016
29.11.2021;15:56:00-000;26.06;26.06;26.06;26.06;100;26.06
