Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:49:00-000;1.11;1.149;1.04;1.06;2563;1.0921
29.11.2021;09:52:00-000;1.06;1.09;1.06;1.09;800;1.0813
29.11.2021;09:53:00-000;1.09;1.09;1.09;1.09;500;1.09
29.11.2021;09:59:00-000;1.07;1.07;1.06;1.06;1607;1.0619
29.11.2021;10:05:00-000;1.06;1.06;1.06;1.06;200;1.06
29.11.2021;10:08:00-000;1.11;1.11;1.06;1.06;702;1.0673
29.11.2021;10:12:00-000;1.09;1.09;1.09;1.09;440;1.09
29.11.2021;10:18:00-000;1.08;1.08;1.08;1.08;383;1.08
29.11.2021;10:26:00-000;1.1;1.1;1.1;1.1;500;1.1
29.11.2021;10:28:00-000;1.11;1.1194;1.11;1.1194;796;1.1147
29.11.2021;10:34:00-000;1.1296;1.1296;1.1296;1.1296;1585;1.1296
29.11.2021;10:51:00-000;1.14;1.14;1.14;1.14;100;1.14
29.11.2021;11:32:00-000;1.16;1.16;1.16;1.16;1000;1.16
29.11.2021;11:43:00-000;1.13;1.13;1.13;1.13;100;1.13
29.11.2021;11:51:00-000;1.13;1.13;1.13;1.13;200;1.13
29.11.2021;12:51:00-000;1.13;1.13;1.13;1.13;141;1.13
29.11.2021;14:51:00-000;1.13;1.13;1.13;1.13;100;1.13
29.11.2021;15:50:00-000;1.12;1.12;1.1;1.1;3200;1.1188
29.11.2021;16:10:00-000;1.1;1.1;1.1;1.1;0;0
29.11.2021;18:30:00-000;1.1;1.1;1.1;1.1;0;0
29.11.2021;19:00:00-000;1.1;1.1;1.1;1.1;0;0
