Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:00:00-000;30.67;31.99;30.67;31.99;2893;31.3446
29.11.2021;04:01:00-000;32.5;33.5;32.44;33.21;5081;32.9687
29.11.2021;04:02:00-000;33.21;33.99;33;33.92;9718;33.484
29.11.2021;04:03:00-000;34;34.03;33.69;34.02;9096;33.8748
29.11.2021;04:04:00-000;34.19;34.49;34.04;34.07;5639;34.1889
29.11.2021;04:05:00-000;34.06;34.06;32.8;32.8;6410;33.5803
29.11.2021;04:06:00-000;32.79;32.79;31.48;31.72;4659;31.8403
29.11.2021;04:07:00-000;31.5;32.4;31.4;32.4;7481;31.8726
29.11.2021;04:08:00-000;32.18;32.28;32.17;32.17;2369;32.226
29.11.2021;04:09:00-000;32.2;32.2;31.55;31.56;3707;31.9917
29.11.2021;04:10:00-000;31.4;31.4;31.4;31.4;1625;31.3379
29.11.2021;04:11:00-000;31.31;31.75;31.31;31.75;1103;31.6038
29.11.2021;04:12:00-000;31.75;31.75;31.74;31.74;962;31.7371
29.11.2021;04:13:00-000;31.94;32.01;31.94;32.01;2068;31.9859
29.11.2021;04:14:00-000;32.16;32.16;31.75;31.75;2397;31.9368
29.11.2021;04:15:00-000;31.38;31.38;31.36;31.36;1317;31.2639
29.11.2021;04:16:00-000;31.09;31.09;31.09;31.09;833;31.2342
29.11.2021;04:17:00-000;31.37;31.37;31.37;31.37;439;31.3751
29.11.2021;04:18:00-000;31.97;31.97;31.69;31.69;2463;31.7233
29.11.2021;04:19:00-000;31.5;31.5;31.5;31.5;399;31.5053
29.11.2021;04:20:00-000;31.35;31.35;31.35;31.35;660;31.3798
29.11.2021;04:21:00-000;31.1;31.1;31.07;31.07;1331;31.1152
29.11.2021;04:22:00-000;31;31;30.8;30.8;3960;30.9745
29.11.2021;04:23:00-000;30.5;30.5;29.5;29.52;7028;29.9516
29.11.2021;04:24:00-000;29.21;29.95;29.17;29.9;5466;29.462
29.11.2021;04:25:00-000;29.99;30;28.8;28.8;5800;29.4669
29.11.2021;04:26:00-000;28.54;28.54;27.48;28;18324;27.9347
29.11.2021;04:27:00-000;28.11;28.46;27.68;27.68;5019;28.1119
29.11.2021;04:28:00-000;27.7;28.8;27.63;28.64;5762;28.2249
29.11.2021;04:29:00-000;28.59;28.7;28.49;28.7;2092;28.5609
29.11.2021;04:30:00-000;28.8;29.5;28.8;29.18;5907;29.1397
29.11.2021;04:31:00-000;29.29;29.79;29.29;29.79;2706;29.4819
29.11.2021;04:32:00-000;30.45;30.49;29.18;29.19;5893;29.8304
29.11.2021;04:33:00-000;29.25;29.79;29.25;29.79;1305;29.6598
29.11.2021;04:34:00-000;29.7;29.78;29.19;29.27;2336;29.5143
29.11.2021;04:36:00-000;29.55;29.79;29.55;29.55;1138;29.6625
29.11.2021;04:37:00-000;29.54;29.54;29.21;29.21;2379;29.346
29.11.2021;04:39:00-000;29.4;29.59;29.4;29.59;726;29.5059
29.11.2021;04:42:00-000;29.51;30.1;29.51;30.1;2265;29.9183
29.11.2021;04:43:00-000;30.11;30.5;30.11;30.31;3746;30.3498
29.11.2021;04:44:00-000;30.3;30.3;30.1;30.1;2305;30.1415
29.11.2021;04:45:00-000;30.16;30.18;30.1;30.1;1333;30.1455
29.11.2021;04:47:00-000;30.14;30.39;30.14;30.39;1089;30.2502
29.11.2021;04:48:00-000;30.3;30.3;30.25;30.25;595;30.3159
29.11.2021;04:50:00-000;30.15;30.15;30.15;30.15;212;30.1653
29.11.2021;04:52:00-000;30;30;29.75;29.75;1635;29.8147
29.11.2021;04:53:00-000;29.7;29.7;29.61;29.61;878;29.6076
29.11.2021;04:54:00-000;29.88;29.89;29.88;29.89;620;29.912
29.11.2021;04:55:00-000;30.1;30.1;30.1;30.1;383;30.1046
29.11.2021;04:56:00-000;30.1;30.4;30.1;30.3;1014;30.3475
29.11.2021;04:58:00-000;30.1;30.1;30.1;30.1;1154;30.11
29.11.2021;04:59:00-000;30.1;30.1;30.1;30.1;487;30.1005
29.11.2021;05:00:00-000;30.1;30.1;30.09;30.1;2326;30.0996
29.11.2021;05:01:00-000;30.24;30.25;30.24;30.25;599;30.2198
29.11.2021;05:02:00-000;30.25;30.25;30.24;30.25;3763;30.2499
29.11.2021;05:04:00-000;30.25;30.25;30.25;30.25;1158;30.2452
29.11.2021;05:07:00-000;30.25;30.5;30.25;30.5;1477;30.3878
29.11.2021;05:08:00-000;30.5;30.5;30.25;30.25;5471;30.3381
29.11.2021;05:10:00-000;30.74;30.8;30.6;30.75;1219;30.7252
29.11.2021;05:11:00-000;30.65;30.65;30.65;30.65;130;30.6631
29.11.2021;05:12:00-000;30.6;30.6;30.5;30.5;708;30.5564
29.11.2021;05:13:00-000;30.44;30.5;30.44;30.5;1328;30.5228
29.11.2021;05:14:00-000;30.72;31.1;30.72;31.1;3765;30.9413
29.11.2021;05:15:00-000;31.17;31.3;31;31;4980;31.1855
29.11.2021;05:18:00-000;31.08;31.08;31.08;31.08;329;31.1484
29.11.2021;05:19:00-000;31.31;31.6;31.31;31.6;3066;31.458
29.11.2021;05:20:00-000;31.56;31.6;31.4;31.4;3466;31.533
29.11.2021;05:21:00-000;31.5;31.87;31.5;31.87;4738;31.6211
29.11.2021;05:23:00-000;31.75;31.75;31.5;31.6;3308;31.6128
29.11.2021;05:27:00-000;31.65;31.65;31.32;31.32;2361;31.4973
29.11.2021;05:28:00-000;31.49;31.49;31.49;31.49;541;31.4673
29.11.2021;05:31:00-000;31.11;31.11;31.11;31.11;612;31.118
29.11.2021;05:32:00-000;31.1;31.1;31.1;31.1;480;31.1006
29.11.2021;05:33:00-000;31.12;31.12;31.1;31.1;847;31.1039
29.11.2021;05:34:00-000;31;31;30.73;30.73;2278;30.844
29.11.2021;05:36:00-000;31.33;31.33;31.33;31.33;1191;31.2642
29.11.2021;05:40:00-000;31.06;31.06;31.06;31.06;249;31.0815
29.11.2021;05:41:00-000;31.04;31.04;31.04;31.04;306;31.041
29.11.2021;05:42:00-000;31;31;31;31;420;31.0083
29.11.2021;05:43:00-000;30.77;30.77;30.77;30.77;495;30.7913
29.11.2021;05:47:00-000;31;31;30.76;30.77;1280;30.9094
29.11.2021;05:49:00-000;30.8;30.8;30.8;30.8;156;30.7932
29.11.2021;05:52:00-000;30.73;30.73;30.73;30.73;634;30.7151
29.11.2021;05:53:00-000;30.52;30.53;30.52;30.53;1199;30.5238
29.11.2021;06:01:00-000;30.53;30.53;30.4;30.4;5674;30.4838
29.11.2021;06:02:00-000;30.39;30.39;30.27;30.27;1142;30.3336
29.11.2021;06:09:00-000;30.26;30.55;30.26;30.55;212;30.4075
29.11.2021;06:12:00-000;30.48;30.49;30.48;30.49;879;30.3965
29.11.2021;06:15:00-000;30.48;30.49;30.48;30.49;1488;30.4849
29.11.2021;06:21:00-000;30.33;30.33;30.33;30.33;384;30.3833
29.11.2021;06:29:00-000;30.27;30.27;30.26;30.27;1014;30.2796
29.11.2021;06:31:00-000;30.27;30.27;30.25;30.26;2113;30.2632
29.11.2021;06:32:00-000;30.27;30.27;30.27;30.27;783;30.2952
29.11.2021;06:33:00-000;30.25;30.25;30.05;30.05;4812;30.1675
29.11.2021;06:34:00-000;30.04;30.14;30;30;1849;30.0366
29.11.2021;06:35:00-000;30;30;29.97;29.97;794;29.9246
29.11.2021;06:37:00-000;29.44;29.44;29.44;29.44;937;29.5922
29.11.2021;06:38:00-000;29.65;29.65;29.47;29.52;2774;29.5978
29.11.2021;06:40:00-000;30.29;30.31;30.29;30.31;1002;30.2847
