Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;0.68;0.68;0.68;0.68;1112;0.68
29.11.2021;09:38:00-000;0.68;0.68;0.68;0.68;1100;0.68
29.11.2021;14:01:00-000;0.6759;0.68;0.668;0.68;42500;0.6759
29.11.2021;14:02:00-000;0.68;0.685;0.68;0.685;11600;0.6802
29.11.2021;14:39:00-000;0.6759;0.685;0.6759;0.685;2000;0.6768
29.11.2021;14:43:00-000;0.6759;0.685;0.6759;0.685;600;0.6774
29.11.2021;14:45:00-000;0.6759;0.6759;0.6759;0.6759;500;0.6759
29.11.2021;14:46:00-000;0.685;0.685;0.685;0.685;100;0.685
29.11.2021;14:48:00-000;0.6759;0.685;0.6759;0.685;700;0.6772
29.11.2021;14:52:00-000;0.6759;0.685;0.6759;0.685;600;0.6774
29.11.2021;14:55:00-000;0.6759;0.6759;0.6759;0.6759;300;0.6759
29.11.2021;14:57:00-000;0.6759;0.685;0.6759;0.685;400;0.6782
29.11.2021;14:58:00-000;0.6759;0.6759;0.6759;0.6759;600;0.6759
29.11.2021;15:02:00-000;0.6759;0.685;0.6759;0.685;500;0.6777
29.11.2021;15:04:00-000;0.6759;0.685;0.6759;0.685;600;0.6797
29.11.2021;15:05:00-000;0.7079;0.7158;0.7079;0.7158;300;0.7127
29.11.2021;15:06:00-000;0.69;0.69;0.69;0.69;100;0.69
29.11.2021;15:07:00-000;0.676;0.7158;0.6759;0.7158;800;0.6809
29.11.2021;15:11:00-000;0.6759;0.714;0.6759;0.714;1000;0.6835
29.11.2021;15:15:00-000;0.676;0.676;0.6759;0.6759;700;0.6759
29.11.2021;15:16:00-000;0.713;0.713;0.713;0.713;100;0.713
29.11.2021;15:19:00-000;0.6759;0.6759;0.6759;0.6759;500;0.6759
29.11.2021;15:22:00-000;0.6759;0.713;0.6759;0.713;400;0.6852
29.11.2021;15:24:00-000;0.6759;0.6759;0.6759;0.6759;300;0.6759
29.11.2021;15:25:00-000;0.6759;0.713;0.6759;0.713;800;0.6805
29.11.2021;15:29:00-000;0.6779;0.6779;0.6759;0.6759;900;0.6763
29.11.2021;15:30:00-000;0.7099;0.7099;0.7099;0.7099;200;0.7099
29.11.2021;15:32:00-000;0.6779;0.6779;0.6759;0.6759;800;0.6804
29.11.2021;15:35:00-000;0.6759;0.676;0.65;0.6501;2825;0.6585
29.11.2021;15:36:00-000;0.6901;0.6901;0.65;0.6501;1900;0.6564
29.11.2021;15:37:00-000;0.6759;0.6759;0.65;0.65;1788;0.6515
29.11.2021;15:38:00-000;0.65;0.65;0.65;0.65;900;0.65
29.11.2021;15:40:00-000;0.6759;0.6902;0.6759;0.6902;1300;0.677
29.11.2021;15:41:00-000;0.6759;0.6759;0.6733;0.6759;5321;0.6762
29.11.2021;15:42:00-000;0.7001;0.7001;0.7001;0.7001;200;0.7001
29.11.2021;16:00:00-000;0.7316;0.7316;0.7316;0.7316;200;0.7316
29.11.2021;16:10:00-000;0.7316;0.7316;0.7316;0.7316;0;0
29.11.2021;18:30:00-000;0.7316;0.7316;0.7316;0.7316;0;0
29.11.2021;19:00:00-000;0.7316;0.7316;0.7316;0.7316;0;0
