Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:25:00-000;15.16;15.16;15.16;15.16;450;15.1978
29.11.2021;09:30:00-000;15.29;15.29;15.25;15.25;7994;15.2962
29.11.2021;09:32:00-000;15.43;15.5;15.3901;15.3901;2840;15.4812
29.11.2021;09:33:00-000;15.4;15.4;15.4;15.4;221;15.4
29.11.2021;09:34:00-000;15.445;15.445;15.39;15.41;749;15.4222
29.11.2021;09:35:00-000;15.375;15.375;15.375;15.375;600;15.375
29.11.2021;09:36:00-000;15.375;15.375;15.375;15.375;444;15.3725
29.11.2021;09:37:00-000;15.38;15.38;15.38;15.38;564;15.379
29.11.2021;09:39:00-000;15.35;15.35;15.35;15.35;2008;15.3512
29.11.2021;09:43:00-000;15.34;15.38;15.33;15.38;752;15.3555
29.11.2021;09:44:00-000;15.375;15.42;15.375;15.42;240;15.3925
29.11.2021;09:45:00-000;15.46;15.5399;15.46;15.5399;827;15.483
29.11.2021;09:46:00-000;15.45;15.45;15.43;15.43;537;15.4601
29.11.2021;09:50:00-000;15.43;15.43;15.15;15.15;16774;15.2554
29.11.2021;09:53:00-000;15.22;15.22;15.2;15.2;310;15.2036
29.11.2021;09:54:00-000;15.18;15.21;15.1575;15.2;2683;15.2019
29.11.2021;09:55:00-000;15.2;15.32;15.15;15.32;4395;15.2088
29.11.2021;09:56:00-000;15.39;15.43;15.39;15.43;827;15.4164
29.11.2021;09:58:00-000;15.37;15.39;15.35;15.39;788;15.3459
29.11.2021;09:59:00-000;15.28;15.28;15.28;15.28;400;15.28
29.11.2021;10:00:00-000;15.28;15.31;15.28;15.31;1123;15.2861
29.11.2021;10:03:00-000;15.38;15.38;15.37;15.37;516;15.3523
29.11.2021;10:04:00-000;15.31;15.31;15.14;15.14;4018;15.2586
29.11.2021;10:05:00-000;15.14;15.14;15.14;15.14;200;15.14
29.11.2021;10:06:00-000;15.17;15.185;15.13;15.15;1128;15.15
29.11.2021;10:07:00-000;15.17;15.17;15.17;15.17;503;15.1701
29.11.2021;10:10:00-000;15.11;15.11;15.11;15.11;1206;15.1102
29.11.2021;10:11:00-000;15.14;15.14;15.14;15.14;231;15.1403
29.11.2021;10:12:00-000;15.1573;15.1573;15.13;15.13;1324;15.1447
29.11.2021;10:13:00-000;15.11;15.11;15.01;15.01;2214;15.0927
29.11.2021;10:14:00-000;15;15.0041;15;15;1374;15.0011
29.11.2021;10:15:00-000;14.99;14.99;14.97;14.97;1710;14.9881
29.11.2021;10:16:00-000;14.97;14.97;14.93;14.95;1266;14.9573
29.11.2021;10:17:00-000;14.8801;14.97;14.8801;14.96;1193;14.9227
29.11.2021;10:18:00-000;14.9401;15;14.9401;15;3406;14.9575
29.11.2021;10:20:00-000;15.03;15.03;15.03;15.03;116;15.0298
29.11.2021;10:24:00-000;15.01;15.01;14.99;14.99;2358;15.0047
29.11.2021;10:25:00-000;14.95;14.95;14.95;14.95;449;14.95
29.11.2021;10:26:00-000;14.92;14.92;14.91;14.91;616;14.9165
29.11.2021;10:27:00-000;14.9;14.9;14.9;14.9;205;14.8895
29.11.2021;10:31:00-000;14.91;14.91;14.9;14.9;658;14.8991
29.11.2021;10:32:00-000;14.85;14.85;14.8175;14.82;940;14.8384
29.11.2021;10:33:00-000;14.86;14.89;14.86;14.89;1410;14.8651
