Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;7.37;7.37;7.04;7.04;420;7.183
29.11.2021;09:50:00-000;7.24;7.24;7.24;7.24;400;7.24
29.11.2021;09:58:00-000;7.1;7.1;7.1;7.1;100;7.1
29.11.2021;09:59:00-000;7.105;7.105;7.105;7.105;100;7.105
29.11.2021;10:10:00-000;7.06;7.06;7.06;7.06;100;7.06
29.11.2021;10:41:00-000;7.21;7.21;7.21;7.21;269;7.2086
29.11.2021;10:44:00-000;7.12;7.12;7.12;7.12;100;7.12
29.11.2021;10:47:00-000;7.16;7.16;7.16;7.16;100;7.16
29.11.2021;10:55:00-000;7.15;7.15;7.15;7.15;237;7.1507
29.11.2021;10:57:00-000;7.14;7.14;7.14;7.14;255;7.1278
29.11.2021;10:58:00-000;7.15;7.15;7.035;7.035;697;7.1199
29.11.2021;11:04:00-000;7.025;7.025;7.025;7.025;100;7.025
29.11.2021;11:08:00-000;7.0899;7.0899;7.0899;7.0899;200;7.0899
29.11.2021;11:09:00-000;7.075;7.15;7.075;7.085;1166;7.1267
29.11.2021;11:12:00-000;7.085;7.11;7;7.1;6212;7.0358
29.11.2021;11:13:00-000;7.18;7.18;7.18;7.18;150;7.18
29.11.2021;11:15:00-000;7;7;7;7;100;7
29.11.2021;11:31:00-000;7.0801;7.0801;7.0801;7.0801;500;7.0801
29.11.2021;11:32:00-000;7.0925;7.16;7.05;7.05;1218;7.0942
29.11.2021;11:42:00-000;7.01;7.01;7.01;7.01;100;7.01
29.11.2021;11:43:00-000;7.015;7.015;7.015;7.015;100;7.015
29.11.2021;12:12:00-000;7.1098;7.1098;7.1098;7.1098;250;7.1098
29.11.2021;12:13:00-000;7.03;7.03;7.03;7.03;100;7.03
29.11.2021;12:20:00-000;7.1;7.1;7.1;7.1;300;7.1
29.11.2021;12:21:00-000;7.02;7.02;7.02;7.02;100;7.02
29.11.2021;12:23:00-000;7.08;7.105;7;7.01;2038;7.0498
29.11.2021;12:24:00-000;7.1;7.1;6.98;7.074;1578;7.0593
29.11.2021;12:27:00-000;6.97;6.97;6.96;6.96;200;6.965
29.11.2021;13:08:00-000;7;7;6.97;6.97;1211;6.9969
29.11.2021;13:22:00-000;6.9817;7.015;6.93;7.015;971;6.9743
29.11.2021;13:40:00-000;7.015;7.07;6.955;6.955;1000;7.0418
29.11.2021;14:10:00-000;7.0247;7.0247;6.95;6.955;707;7.0044
29.11.2021;14:13:00-000;6.955;6.955;6.955;6.955;100;6.955
29.11.2021;14:21:00-000;7.0336;7.0336;6.95;6.96;1300;7.0185
29.11.2021;14:24:00-000;6.95;6.95;6.95;6.95;100;6.95
29.11.2021;14:55:00-000;7.03;7.03;7.03;7.03;200;7.0348
29.11.2021;15:08:00-000;6.95;6.95;6.95;6.95;100;6.95
29.11.2021;15:13:00-000;6.95;6.95;6.95;6.95;940;6.95
29.11.2021;15:14:00-000;6.95;6.95;6.95;6.95;406;6.9595
29.11.2021;15:28:00-000;6.89;6.89;6.89;6.89;577;6.8903
29.11.2021;15:30:00-000;6.91;6.93;6.91;6.93;301;6.9133
29.11.2021;15:34:00-000;6.84;6.84;6.84;6.84;111;6.838
29.11.2021;15:41:00-000;6.765;6.765;6.765;6.765;150;6.7617
29.11.2021;15:43:00-000;6.88;6.88;6.88;6.88;600;6.88
29.11.2021;15:44:00-000;6.87;6.88;6.815;6.835;2261;6.8556
29.11.2021;15:48:00-000;6.88;6.88;6.87;6.88;1931;6.8789
29.11.2021;15:49:00-000;6.93;6.94;6.93;6.94;212;6.9324
29.11.2021;15:56:00-000;6.91;6.91;6.888;6.888;214;6.8983
29.11.2021;15:59:00-000;6.89;6.89;6.89;6.89;328;6.8946
29.11.2021;16:00:00-000;6.91;6.91;6.91;6.91;236;6.91
