Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:00:00-000;344.98;344.98;344.98;344.98;167;344.67
29.11.2021;09:06:00-000;344.5;344.5;344.5;344.5;498;344.465
29.11.2021;09:29:00-000;344.03;344.03;344;344;313;344.119
29.11.2021;09:30:00-000;344;344.6;342.8;342.94;25522;343.869
29.11.2021;09:31:00-000;343.29;343.29;342.255;342.37;15717;342.656
29.11.2021;09:32:00-000;342.452;342.63;341.5;341.85;3421;342.011
29.11.2021;09:33:00-000;341.71;342.01;340.76;341.32;17846;341.56
29.11.2021;09:34:00-000;341;341.39;340.68;341.35;7443;341.027
29.11.2021;09:35:00-000;341.3;341.66;341.245;341.66;5827;341.448
29.11.2021;09:36:00-000;341.68;341.75;341.45;341.75;1349;341.661
29.11.2021;09:37:00-000;341.776;341.93;341.045;341.273;8963;341.535
29.11.2021;09:38:00-000;341.02;341.02;340.07;340.09;8370;340.493
29.11.2021;09:39:00-000;340.39;340.956;340.318;340.318;3890;340.523
29.11.2021;09:40:00-000;340.27;340.49;340.08;340.29;4418;340.281
29.11.2021;09:41:00-000;340.26;340.49;339.631;340.134;10104;340.149
29.11.2021;09:42:00-000;339.66;339.66;339.6;339.6;703;339.801
29.11.2021;09:43:00-000;339.8;340.304;339.8;340.304;2967;340.047
29.11.2021;09:44:00-000;340.03;340.5;340;340.32;2940;340.243
29.11.2021;09:45:00-000;340.61;340.795;340.28;340.795;6066;340.512
29.11.2021;09:46:00-000;340.96;341.755;340.96;341.58;3399;341.219
29.11.2021;09:47:00-000;341.64;342;341.387;342;2059;341.662
29.11.2021;09:48:00-000;341.65;341.86;341.35;341.42;5898;341.625
29.11.2021;09:49:00-000;341.625;341.625;340.99;340.99;3067;341.224
29.11.2021;09:50:00-000;340.835;341;340.652;340.7;1987;340.807
29.11.2021;09:51:00-000;340.7;340.85;340.069;340.069;2437;340.545
29.11.2021;09:52:00-000;340.35;340.35;340.04;340.04;1108;340.158
29.11.2021;09:53:00-000;340.04;340.47;340.04;340.41;3170;340.229
29.11.2021;09:54:00-000;340.425;340.55;340.415;340.415;1628;340.406
29.11.2021;09:55:00-000;340.28;340.5;340.056;340.25;5805;340.262
29.11.2021;09:56:00-000;340.375;340.448;340.375;340.448;500;340.393
29.11.2021;09:57:00-000;340.29;340.29;339.77;339.77;7372;340.014
29.11.2021;09:58:00-000;339.81;340.04;339.81;340.04;2418;339.915
29.11.2021;09:59:00-000;340.03;340.03;339.84;339.85;2954;339.956
29.11.2021;10:00:00-000;339.92;339.92;339.74;339.845;3395;339.815
29.11.2021;10:01:00-000;339.91;340.08;339.803;339.972;4535;339.936
29.11.2021;10:02:00-000;340.06;340.231;339.97;340.159;6320;340.058
29.11.2021;10:03:00-000;339.89;339.89;339.755;339.82;2489;339.818
29.11.2021;10:04:00-000;339.67;339.68;339.2;339.416;8794;339.432
29.11.2021;10:05:00-000;339.4;339.75;339.39;339.735;3988;339.474
29.11.2021;10:06:00-000;339.87;339.87;339.67;339.67;1207;339.743
29.11.2021;10:07:00-000;339.6;339.896;339.26;339.896;5904;339.554
29.11.2021;10:08:00-000;339.685;339.685;339.48;339.56;1804;339.569
29.11.2021;10:09:00-000;339.338;339.66;339.29;339.44;6849;339.468
29.11.2021;10:10:00-000;339.35;339.84;339.35;339.73;2885;339.656
29.11.2021;10:11:00-000;340.03;340.03;339.87;339.983;1537;339.914
29.11.2021;10:12:00-000;339.88;340.14;339.71;339.935;4082;339.86
29.11.2021;10:13:00-000;339.88;339.92;339.69;339.91;3762;339.824
29.11.2021;10:14:00-000;339.96;340.07;339.67;339.82;4868;339.87
29.11.2021;10:15:00-000;339.81;340.12;339.81;339.85;2093;339.928
29.11.2021;10:16:00-000;340.13;340.15;339.89;340.035;3174;340.037
29.11.2021;10:17:00-000;340.235;340.28;339.93;340.1;6947;340.056
29.11.2021;10:18:00-000;340.09;340.35;340.07;340.35;1494;340.157
29.11.2021;10:19:00-000;340.23;340.55;340.21;340.3;6922;340.362
29.11.2021;10:20:00-000;340.3;340.3;340.15;340.17;2300;340.253
29.11.2021;10:21:00-000;340.32;340.66;340.31;340.63;3128;340.44
29.11.2021;10:22:00-000;340.915;340.915;340.56;340.77;2081;340.677
29.11.2021;10:23:00-000;340.93;341.2;340.93;341.07;1901;341.112
