Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:29:00-000;6.13;6.14;6.05;6.05;1376;6.0727
29.11.2021;09:30:00-000;6.1;6.14;6.04;6.14;4289;6.0527
29.11.2021;09:32:00-000;6.07;6.07;6.07;6.07;151;6.07
29.11.2021;09:33:00-000;6.06;6.08;6.06;6.08;1450;6.0687
29.11.2021;09:34:00-000;6.05;6.05;5.92;5.99;4288;5.9532
29.11.2021;09:35:00-000;5.99;6.02;5.99;6.02;686;6.0033
29.11.2021;09:37:00-000;6.03;6.05;6.02;6.04;1800;6.0322
29.11.2021;09:38:00-000;6.05;6.05;6.05;6.05;1100;6.05
29.11.2021;09:39:00-000;6.06;6.06;6.06;6.06;321;6.06
29.11.2021;09:40:00-000;6.06;6.06;6.06;6.06;127;6.0536
29.11.2021;09:41:00-000;6.03;6.04;6.015;6.03;2041;6.0241
29.11.2021;09:42:00-000;6.02;6.04;6.02;6.04;1411;6.0314
29.11.2021;09:43:00-000;6.03;6.05;6.03;6.05;200;6.04
29.11.2021;09:47:00-000;6.04;6.04;6.04;6.04;290;6.04
29.11.2021;09:48:00-000;6.04;6.04;6.04;6.04;208;6.0396
29.11.2021;09:49:00-000;6.04;6.04;6.03;6.03;210;6.0352
29.11.2021;09:50:00-000;6.03;6.04;6.03;6.03;3153;6.0309
29.11.2021;09:51:00-000;6.02;6.05;6.02;6.04;3009;6.0406
29.11.2021;09:52:00-000;6.04;6.04;6.04;6.04;668;6.04
29.11.2021;09:54:00-000;6.035;6.035;6.035;6.035;116;6.0351
29.11.2021;09:55:00-000;6.0301;6.04;6.0301;6.035;3906;6.0316
29.11.2021;09:56:00-000;6.035;6.035;6.035;6.035;100;6.035
29.11.2021;09:58:00-000;6.03;6.035;6.02;6.02;3023;6.0311
29.11.2021;09:59:00-000;6.02;6.02;6.02;6.02;377;6.02
29.11.2021;10:00:00-000;6.02;6.02;6.02;6.02;203;6.02
29.11.2021;10:02:00-000;6;6.02;6;6.015;321;6.0122
29.11.2021;10:03:00-000;6;6.01;6;6.01;1434;6.0046
29.11.2021;10:05:00-000;6.01;6.01;5.99;5.99;1390;5.9947
29.11.2021;10:06:00-000;5.99;5.995;5.96;5.96;2119;5.988
29.11.2021;10:08:00-000;5.97;5.97;5.95;5.95;1402;5.9648
29.11.2021;10:09:00-000;5.95;5.97;5.95;5.97;300;5.9633
29.11.2021;10:10:00-000;5.97;5.98;5.97;5.97;5389;5.9733
29.11.2021;10:11:00-000;5.975;5.98;5.97;5.97;5800;5.9763
29.11.2021;10:12:00-000;5.98;6.01;5.98;6.01;3351;5.9845
29.11.2021;10:13:00-000;6.01;6.01;5.98;6.01;3890;6.0001
29.11.2021;10:14:00-000;6.01;6.01;6.01;6.01;1000;6.01
29.11.2021;10:16:00-000;5.985;5.985;5.985;5.985;610;5.985
29.11.2021;10:20:00-000;5.99;5.99;5.99;5.99;100;5.99
29.11.2021;10:21:00-000;5.99;5.99;5.99;5.99;100;5.99
29.11.2021;10:22:00-000;6;6.01;5.99;5.99;835;6.0039
29.11.2021;10:23:00-000;6;6;6;6;110;6
29.11.2021;10:24:00-000;6;6;6;6;100;6
29.11.2021;10:25:00-000;6;6;6;6;204;6.0002
29.11.2021;10:26:00-000;6;6;5.98;5.98;3348;5.9953
29.11.2021;10:27:00-000;5.98;5.98;5.98;5.98;1507;5.98
29.11.2021;10:30:00-000;5.97;5.98;5.97;5.975;350;5.9757
29.11.2021;10:31:00-000;5.97;5.97;5.97;5.97;220;5.9709
29.11.2021;10:33:00-000;5.96;5.96;5.94;5.9401;1770;5.9432
29.11.2021;10:34:00-000;5.94;5.94;5.94;5.94;251;5.9461
29.11.2021;10:35:00-000;5.94;5.96;5.94;5.956;948;5.9521
29.11.2021;10:36:00-000;5.96;5.96;5.96;5.96;1513;5.96
29.11.2021;10:37:00-000;5.94;5.94;5.94;5.94;270;5.9426
29.11.2021;10:39:00-000;5.96;5.96;5.95;5.95;300;5.9567
29.11.2021;10:40:00-000;5.94;5.95;5.94;5.95;300;5.9467
29.11.2021;10:41:00-000;5.95;5.95;5.9493;5.9493;959;5.9498
29.11.2021;10:45:00-000;5.9495;5.9495;5.9495;5.9495;397;5.951
29.11.2021;10:46:00-000;5.94;5.9402;5.92;5.92;806;5.9351
29.11.2021;10:47:00-000;5.93;5.93;5.93;5.93;545;5.9294
29.11.2021;10:50:00-000;5.92;5.92;5.92;5.92;100;5.92
29.11.2021;10:51:00-000;5.92;5.92;5.92;5.92;341;5.9189
29.11.2021;10:52:00-000;5.92;5.92;5.9;5.91;348;5.9114
29.11.2021;10:53:00-000;5.91;5.92;5.91;5.91;409;5.9149
29.11.2021;10:54:00-000;5.915;5.915;5.91;5.91;210;5.9126
29.11.2021;10:55:00-000;5.91;5.91;5.91;5.91;200;5.9169
29.11.2021;10:57:00-000;5.915;5.915;5.91;5.91;1292;5.9127
29.11.2021;10:58:00-000;5.91;5.91;5.91;5.91;200;5.91
29.11.2021;10:59:00-000;5.92;5.92;5.91;5.915;3294;5.9189
29.11.2021;11:00:00-000;5.92;5.92;5.92;5.92;100;5.92
29.11.2021;11:03:00-000;5.93;5.93;5.93;5.93;241;5.9259
29.11.2021;11:04:00-000;5.9245;5.9245;5.9245;5.9245;150;5.9247
29.11.2021;11:10:00-000;5.91;5.92;5.91;5.92;659;5.9177
29.11.2021;11:12:00-000;5.92;5.92;5.92;5.92;155;5.9226
29.11.2021;11:13:00-000;5.92;5.92;5.92;5.92;220;5.92
29.11.2021;11:15:00-000;5.92;5.925;5.92;5.92;480;5.9223
29.11.2021;11:16:00-000;5.92;5.92;5.91;5.92;1588;5.9193
29.11.2021;11:17:00-000;5.92;5.93;5.91;5.91;2359;5.9202
29.11.2021;11:18:00-000;5.92;5.92;5.92;5.92;200;5.92
29.11.2021;11:19:00-000;5.92;5.92;5.92;5.92;100;5.92
29.11.2021;11:21:00-000;5.93;5.93;5.93;5.93;241;5.9277
29.11.2021;11:23:00-000;5.92;5.92;5.92;5.92;110;5.9205
29.11.2021;11:24:00-000;5.92;5.92;5.88;5.9162;7892;5.9075
29.11.2021;11:25:00-000;5.91;5.92;5.91;5.92;1842;5.9189
29.11.2021;11:27:00-000;5.92;5.92;5.92;5.92;100;5.92
29.11.2021;11:28:00-000;5.92;5.92;5.92;5.92;110;5.92
29.11.2021;11:36:00-000;5.93;5.93;5.93;5.93;350;5.9247
29.11.2021;11:38:00-000;5.93;5.93;5.93;5.93;376;5.9243
29.11.2021;11:39:00-000;5.91;5.91;5.91;5.91;110;5.9109
29.11.2021;11:41:00-000;5.91;5.93;5.91;5.93;578;5.9244
29.11.2021;11:42:00-000;5.91;5.91;5.91;5.91;110;5.9109
29.11.2021;11:43:00-000;5.91;5.91;5.91;5.91;100;5.91
29.11.2021;11:44:00-000;5.91;5.91;5.91;5.91;287;5.917
29.11.2021;11:45:00-000;5.9273;5.9273;5.91;5.91;343;5.9224
29.11.2021;11:46:00-000;5.93;5.93;5.91;5.91;400;5.923
29.11.2021;11:48:00-000;5.93;5.93;5.93;5.93;708;5.9286
29.11.2021;11:49:00-000;5.93;5.96;5.92;5.96;2906;5.9331
29.11.2021;11:51:00-000;5.94;5.94;5.94;5.94;193;5.9448
29.11.2021;11:53:00-000;5.95;5.95;5.95;5.95;175;5.95
29.11.2021;11:58:00-000;5.94;5.94;5.94;5.94;110;5.94
29.11.2021;12:00:00-000;5.95;5.95;5.94;5.94;200;5.945
29.11.2021;12:01:00-000;5.94;5.94;5.94;5.94;320;5.9408
29.11.2021;12:02:00-000;5.94;5.9473;5.94;5.9473;495;5.9449
29.11.2021;12:04:00-000;5.94;5.94;5.94;5.94;206;5.9359
29.11.2021;12:06:00-000;5.945;5.945;5.945;5.945;200;5.9441
29.11.2021;12:08:00-000;5.95;5.95;5.95;5.95;197;5.95
29.11.2021;12:10:00-000;5.94;5.945;5.94;5.945;700;5.9436
29.11.2021;12:11:00-000;5.945;5.945;5.945;5.945;100;5.945
29.11.2021;12:12:00-000;5.95;5.95;5.945;5.945;323;5.9485
29.11.2021;12:13:00-000;5.94;5.94;5.94;5.94;220;5.9427
29.11.2021;12:14:00-000;5.95;5.95;5.94;5.94;310;5.9459
29.11.2021;12:15:00-000;5.94;5.94;5.94;5.94;103;5.9403
29.11.2021;12:16:00-000;5.94;5.94;5.94;5.94;210;5.9426
29.11.2021;12:17:00-000;5.94;5.94;5.94;5.94;200;5.9413
29.11.2021;12:18:00-000;5.9473;5.9473;5.94;5.94;444;5.9438
29.11.2021;12:19:00-000;5.94;5.94;5.94;5.94;103;5.94
29.11.2021;12:20:00-000;5.94;5.95;5.93;5.95;4736;5.9399
29.11.2021;12:21:00-000;5.945;5.945;5.945;5.945;109;5.9454
29.11.2021;12:22:00-000;5.95;5.95;5.95;5.95;531;5.9499
29.11.2021;12:23:00-000;5.96;5.965;5.955;5.965;2078;5.9598
29.11.2021;12:24:00-000;5.96;5.97;5.95;5.95;2160;5.967
29.11.2021;12:26:00-000;5.966;5.966;5.95;5.95;724;5.9628
29.11.2021;12:28:00-000;5.96;5.96;5.96;5.96;212;5.9611
29.11.2021;12:29:00-000;5.96;5.96;5.96;5.96;100;5.96
29.11.2021;12:31:00-000;5.96;5.965;5.96;5.965;232;5.9628
29.11.2021;12:32:00-000;5.97;5.97;5.97;5.97;390;5.9682
29.11.2021;12:35:00-000;5.965;5.965;5.965;5.965;100;5.965
29.11.2021;12:36:00-000;5.97;5.97;5.97;5.97;376;5.9695
29.11.2021;12:37:00-000;5.965;5.965;5.965;5.965;103;5.965
29.11.2021;12:38:00-000;5.97;5.97;5.97;5.97;274;5.9697
29.11.2021;12:39:00-000;5.965;5.965;5.965;5.965;100;5.965
29.11.2021;12:40:00-000;5.965;5.97;5.965;5.965;589;5.9673
29.11.2021;12:41:00-000;5.97;5.97;5.97;5.97;297;5.97
29.11.2021;12:42:00-000;5.97;5.97;5.965;5.965;962;5.9693
29.11.2021;12:43:00-000;5.97;5.97;5.97;5.97;1604;5.97
29.11.2021;12:45:00-000;5.99;5.99;5.99;5.99;290;5.9897
29.11.2021;12:46:00-000;5.98;5.98;5.98;5.98;300;5.977
29.11.2021;12:47:00-000;5.99;5.99;5.99;5.99;207;5.99
29.11.2021;12:48:00-000;5.99;5.99;5.98;5.98;453;5.9876
29.11.2021;12:50:00-000;5.98;5.99;5.97;5.9873;3165;5.9818
29.11.2021;12:53:00-000;5.98;5.98;5.98;5.98;110;5.98
29.11.2021;12:55:00-000;5.99;5.99;5.98;5.98;485;5.9879
29.11.2021;12:57:00-000;5.98;5.98;5.98;5.98;250;5.982
29.11.2021;12:59:00-000;5.98;6;5.97;6;2245;5.9805
29.11.2021;13:00:00-000;5.99;5.99;5.98;5.98;873;5.9858
29.11.2021;13:01:00-000;5.99;5.99;5.99;5.99;523;5.9885
29.11.2021;13:02:00-000;5.99;5.99;5.99;5.99;380;5.9899
29.11.2021;13:03:00-000;5.99;5.99;5.99;5.99;153;5.9897
29.11.2021;13:04:00-000;5.99;5.99;5.99;5.99;582;5.99
29.11.2021;13:06:00-000;5.9896;5.9896;5.985;5.985;328;5.9875
29.11.2021;13:07:00-000;5.98;5.98;5.98;5.98;152;5.9834
29.11.2021;13:08:00-000;5.99;5.99;5.99;5.99;145;5.9897
29.11.2021;13:10:00-000;5.985;5.985;5.985;5.985;120;5.985
29.11.2021;13:13:00-000;5.98;5.99;5.98;5.99;1362;5.9885
29.11.2021;13:14:00-000;5.99;5.99;5.99;5.99;402;5.9899
29.11.2021;13:17:00-000;5.9825;5.9825;5.97;5.98;3038;5.9799
29.11.2021;13:19:00-000;5.98;5.98;5.98;5.98;110;5.98
29.11.2021;13:21:00-000;5.98;5.98;5.97;5.97;776;5.9791
29.11.2021;13:22:00-000;5.98;5.98;5.97;5.97;3751;5.9723
29.11.2021;13:24:00-000;5.97;5.97;5.97;5.97;100;5.97
29.11.2021;13:25:00-000;5.97;5.97;5.9562;5.97;1946;5.9653
29.11.2021;13:26:00-000;5.97;5.97;5.9673;5.97;1046;5.9695
29.11.2021;13:30:00-000;5.965;5.97;5.965;5.97;922;5.9689
29.11.2021;13:31:00-000;5.97;5.97;5.97;5.97;943;5.9705
29.11.2021;13:32:00-000;5.975;5.975;5.975;5.975;201;5.9728
29.11.2021;13:33:00-000;5.975;5.975;5.975;5.975;113;5.975
29.11.2021;13:36:00-000;5.97;5.975;5.97;5.975;584;5.9726
29.11.2021;13:37:00-000;5.97;5.97;5.97;5.97;170;5.9712
29.11.2021;13:38:00-000;5.97;5.97;5.97;5.97;682;5.97
29.11.2021;13:39:00-000;5.96;5.96;5.96;5.96;273;5.96
29.11.2021;13:40:00-000;5.97;5.97;5.96;5.96;1021;5.9686
29.11.2021;13:41:00-000;5.96;5.96;5.96;5.96;100;5.96
29.11.2021;13:42:00-000;5.97;5.97;5.96;5.96;704;5.9672
29.11.2021;13:45:00-000;5.965;5.965;5.965;5.965;209;5.965
29.11.2021;13:46:00-000;5.96;5.96;5.96;5.96;300;5.9649
29.11.2021;13:48:00-000;5.96;5.96;5.96;5.96;100;5.96
29.11.2021;13:49:00-000;5.96;5.96;5.95;5.96;2111;5.9585
29.11.2021;13:50:00-000;5.95;5.96;5.95;5.96;490;5.9577
29.11.2021;13:51:00-000;5.955;5.96;5.955;5.96;1025;5.9584
29.11.2021;13:54:00-000;5.955;5.96;5.955;5.96;2055;5.9584
29.11.2021;13:56:00-000;5.965;5.965;5.965;5.965;300;5.9629
29.11.2021;13:58:00-000;5.965;5.965;5.965;5.965;216;5.965
29.11.2021;14:01:00-000;5.96;5.97;5.96;5.96;1460;5.9658
29.11.2021;14:03:00-000;5.965;5.965;5.965;5.965;117;5.9651
29.11.2021;14:04:00-000;5.965;5.965;5.965;5.965;110;5.9654
29.11.2021;14:06:00-000;5.965;5.97;5.965;5.97;400;5.9688
29.11.2021;14:07:00-000;5.97;5.97;5.96;5.96;710;5.9679
29.11.2021;14:08:00-000;5.965;5.965;5.965;5.965;130;5.9638
29.11.2021;14:10:00-000;5.965;5.965;5.965;5.965;287;5.9659
29.11.2021;14:12:00-000;5.965;5.965;5.96;5.96;520;5.9631
29.11.2021;14:13:00-000;5.96;5.96;5.96;5.96;100;5.96
29.11.2021;14:14:00-000;5.96;5.96;5.96;5.96;100;5.96
29.11.2021;14:15:00-000;5.96;5.96;5.96;5.96;400;5.96
29.11.2021;14:16:00-000;5.96;5.96;5.95;5.96;5828;5.9581
29.11.2021;14:17:00-000;5.95;5.95;5.95;5.95;461;5.951
29.11.2021;14:18:00-000;5.94;5.96;5.94;5.96;254;5.9521
29.11.2021;14:19:00-000;5.96;5.96;5.96;5.96;1474;5.96
29.11.2021;14:25:00-000;5.96;5.96;5.96;5.96;140;5.9593
29.11.2021;14:28:00-000;5.95;5.95;5.95;5.95;120;5.9516
29.11.2021;14:29:00-000;5.97;5.97;5.95;5.95;649;5.9637
29.11.2021;14:30:00-000;5.95;5.96;5.93;5.95;4325;5.9484
29.11.2021;14:31:00-000;5.9562;5.96;5.95;5.95;1694;5.9578
29.11.2021;14:32:00-000;5.95;5.96;5.95;5.95;552;5.9536
29.11.2021;14:33:00-000;5.9599;5.9599;5.94;5.95;1615;5.9565
29.11.2021;14:34:00-000;5.94;5.96;5.94;5.95;2630;5.9491
29.11.2021;14:38:00-000;5.95;5.95;5.94;5.95;410;5.9476
29.11.2021;14:39:00-000;5.94;5.94;5.94;5.94;100;5.94
29.11.2021;14:40:00-000;5.95;5.95;5.94;5.94;337;5.9484
29.11.2021;14:41:00-000;5.94;5.95;5.94;5.94;634;5.9506
29.11.2021;14:42:00-000;5.94;5.94;5.94;5.94;100;5.94
29.11.2021;14:43:00-000;5.959;5.959;5.94;5.94;479;5.9488
29.11.2021;14:44:00-000;5.95;5.95;5.94;5.94;283;5.9465
29.11.2021;14:45:00-000;5.94;5.96;5.94;5.95;620;5.95
29.11.2021;14:46:00-000;5.95;5.95;5.94;5.94;200;5.945
29.11.2021;14:47:00-000;5.94;5.94;5.94;5.94;400;5.9446
29.11.2021;14:49:00-000;5.94;5.95;5.94;5.95;300;5.9433
29.11.2021;14:50:00-000;5.94;5.94;5.94;5.94;176;5.9467
29.11.2021;14:51:00-000;5.94;5.95;5.94;5.95;200;5.945
29.11.2021;14:52:00-000;5.94;5.94;5.94;5.94;200;5.94
29.11.2021;14:53:00-000;5.94;5.95;5.94;5.95;200;5.945
29.11.2021;14:54:00-000;5.94;5.94;5.94;5.94;170;5.9475
29.11.2021;14:55:00-000;5.94;5.94;5.94;5.94;200;5.94
29.11.2021;14:56:00-000;5.94;5.95;5.94;5.94;328;5.9436
29.11.2021;14:57:00-000;5.94;5.94;5.94;5.94;1291;5.9404
29.11.2021;14:58:00-000;5.945;5.945;5.945;5.945;200;5.945
29.11.2021;14:59:00-000;5.94;5.95;5.93;5.93;708;5.9418
29.11.2021;15:00:00-000;5.93;5.93;5.93;5.93;266;5.9339
29.11.2021;15:01:00-000;5.95;5.95;5.93;5.93;521;5.9402
29.11.2021;15:02:00-000;5.93;5.93;5.93;5.93;100;5.93
29.11.2021;15:03:00-000;5.93;5.93;5.93;5.93;200;5.93
29.11.2021;15:04:00-000;5.93;5.935;5.93;5.935;406;5.9382
29.11.2021;15:05:00-000;5.935;5.935;5.935;5.935;266;5.9334
29.11.2021;15:06:00-000;5.93;5.935;5.93;5.935;200;5.9325
29.11.2021;15:07:00-000;5.93;5.93;5.93;5.93;210;5.9335
29.11.2021;15:10:00-000;5.935;5.935;5.93;5.93;266;5.9325
29.11.2021;15:11:00-000;5.93;5.9306;5.93;5.9306;780;5.931
29.11.2021;15:12:00-000;5.93;5.935;5.93;5.935;350;5.9336
29.11.2021;15:13:00-000;5.93;5.93;5.93;5.93;294;5.9318
29.11.2021;15:14:00-000;5.935;5.935;5.935;5.935;500;5.933
29.11.2021;15:15:00-000;5.9338;5.9338;5.9338;5.9338;376;5.9334
29.11.2021;15:16:00-000;5.9301;5.9301;5.92;5.92;3511;5.9292
29.11.2021;15:17:00-000;5.91;5.915;5.91;5.915;350;5.9129
29.11.2021;15:18:00-000;5.91;5.915;5.91;5.915;400;5.9113
29.11.2021;15:19:00-000;5.91;5.91;5.9;5.9;725;5.911
29.11.2021;15:21:00-000;5.9;5.9;5.9;5.9;100;5.9
29.11.2021;15:23:00-000;5.9;5.9;5.9;5.9;200;5.9
29.11.2021;15:24:00-000;5.9;5.9;5.9;5.9;150;5.9033
29.11.2021;15:26:00-000;5.9;5.9;5.9;5.9;1110;5.9
29.11.2021;15:27:00-000;5.9;5.9;5.9;5.9;201;5.9
29.11.2021;15:29:00-000;5.9;5.9;5.9;5.9;1760;5.9003
29.11.2021;15:31:00-000;5.89;5.89;5.89;5.89;101;5.89
29.11.2021;15:32:00-000;5.89;5.89;5.89;5.89;200;5.89
