Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;45.05;45.05;44.9601;45.0035;3092;45.0315
29.11.2021;09:32:00-000;44.96;44.96;44.96;44.96;100;44.96
29.11.2021;09:36:00-000;44.85;44.85;44.85;44.85;1000;44.85
29.11.2021;09:38:00-000;44.87;44.87;44.87;44.87;700;44.87
29.11.2021;09:41:00-000;44.89;44.89;44.87;44.8875;6502;44.8842
29.11.2021;09:42:00-000;44.89;44.89;44.89;44.89;600;44.89
29.11.2021;09:43:00-000;44.88;44.89;44.88;44.89;5300;44.8813
29.11.2021;09:44:00-000;44.89;44.89;44.88;44.88;501;44.888
29.11.2021;09:45:00-000;44.82;44.83;44.82;44.82;5600;44.8218
29.11.2021;09:46:00-000;44.79;44.79;44.79;44.79;540;44.79
29.11.2021;09:47:00-000;44.83;44.8334;44.83;44.8334;597;44.8317
29.11.2021;09:49:00-000;44.85;44.85;44.85;44.85;290;44.8482
29.11.2021;09:52:00-000;44.81;44.81;44.81;44.81;200;44.81
29.11.2021;09:54:00-000;44.83;44.83;44.83;44.83;200;44.83
29.11.2021;09:58:00-000;44.84;44.84;44.83;44.83;400;44.8325
29.11.2021;10:00:00-000;44.84;44.84;44.84;44.84;100;44.84
29.11.2021;10:02:00-000;44.88;44.88;44.88;44.88;100;44.88
29.11.2021;10:03:00-000;44.87;44.87;44.8566;44.8566;316;44.8619
29.11.2021;10:05:00-000;44.81;44.81;44.81;44.81;228;44.8129
29.11.2021;10:07:00-000;44.82;44.82;44.81;44.81;500;44.816
29.11.2021;10:08:00-000;44.8;44.8;44.8;44.8;214;44.8
29.11.2021;10:09:00-000;44.81;44.83;44.81;44.83;500;44.814
29.11.2021;10:11:00-000;44.84;44.84;44.84;44.84;100;44.84
29.11.2021;10:13:00-000;44.83;44.83;44.83;44.83;100;44.83
29.11.2021;10:14:00-000;44.82;44.82;44.82;44.82;100;44.82
29.11.2021;10:15:00-000;44.8583;44.8583;44.8583;44.8583;310;44.8583
29.11.2021;10:16:00-000;44.83;44.83;44.83;44.83;105;44.831
29.11.2021;10:17:00-000;44.82;44.82;44.82;44.82;200;44.82
29.11.2021;10:20:00-000;44.85;44.85;44.85;44.85;200;44.85
29.11.2021;10:22:00-000;44.8597;44.8597;44.84;44.84;2461;44.8589
29.11.2021;10:26:00-000;44.87;44.87;44.86;44.86;200;44.865
29.11.2021;10:27:00-000;44.8;44.8;44.8;44.8;100;44.8
29.11.2021;10:29:00-000;44.7713;44.7713;44.7713;44.7713;249;44.7696
29.11.2021;10:31:00-000;44.78;44.78;44.73;44.73;400;44.7575
29.11.2021;10:32:00-000;44.75;44.75;44.75;44.75;900;44.75
29.11.2021;10:33:00-000;44.73;44.73;44.73;44.73;277;44.73
29.11.2021;10:34:00-000;44.74;44.74;44.74;44.74;100;44.74
29.11.2021;10:36:00-000;44.78;44.78;44.7373;44.7373;510;44.7521
29.11.2021;10:37:00-000;44.75;44.75;44.71;44.71;592;44.7432
29.11.2021;10:39:00-000;44.72;44.72;44.703;44.703;278;44.7091
29.11.2021;10:40:00-000;44.71;44.71;44.69;44.69;300;44.7033
29.11.2021;10:44:00-000;44.7;44.7;44.7;44.7;200;44.7
29.11.2021;10:45:00-000;44.72;44.72;44.72;44.72;100;44.72
29.11.2021;10:46:00-000;44.72;44.72;44.72;44.72;200;44.72
29.11.2021;10:48:00-000;44.71;44.73;44.7;44.7;400;44.715
29.11.2021;10:49:00-000;44.69;44.69;44.69;44.69;103;44.69
29.11.2021;10:50:00-000;44.7;44.7;44.7;44.7;110;44.6982
29.11.2021;10:51:00-000;44.67;44.7;44.67;44.7;200;44.685
29.11.2021;10:52:00-000;44.72;44.72;44.72;44.72;100;44.72
29.11.2021;10:53:00-000;44.72;44.72;44.72;44.72;300;44.72
29.11.2021;10:55:00-000;44.73;44.74;44.73;44.74;213;44.7336
29.11.2021;10:56:00-000;44.74;44.74;44.74;44.74;100;44.74
29.11.2021;10:57:00-000;44.73;44.73;44.73;44.73;100;44.73
29.11.2021;10:59:00-000;44.721;44.721;44.721;44.721;1000;44.721
29.11.2021;11:00:00-000;44.73;44.74;44.73;44.74;300;44.7333
29.11.2021;11:03:00-000;44.78;44.78;44.78;44.78;200;44.78
29.11.2021;11:04:00-000;44.78;44.79;44.78;44.79;382;44.7882
29.11.2021;11:08:00-000;44.83;44.83;44.83;44.83;927;44.83
