Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;15.1;15.1;15.1;15.1;7010;15.1
29.11.2021;09:31:00-000;15.07;15.07;15.02;15.02;511;15.0472
29.11.2021;09:33:00-000;15.07;15.07;15.05;15.06;1684;15.0643
29.11.2021;09:34:00-000;15.07;15.08;15.07;15.08;441;15.0785
29.11.2021;09:35:00-000;15.075;15.08;15.07;15.08;1596;15.0729
29.11.2021;09:36:00-000;15.08;15.1;15.08;15.09;19533;15.0895
29.11.2021;09:37:00-000;15.08;15.08;15.07;15.075;500;15.077
29.11.2021;09:38:00-000;15.07;15.07;15.06;15.0646;4338;15.069
29.11.2021;09:39:00-000;15.07;15.09;15.06;15.085;6796;15.0851
29.11.2021;09:40:00-000;15.09;15.11;15.09;15.11;2439;15.0978
29.11.2021;09:41:00-000;15.11;15.11;15.095;15.095;1217;15.1065
29.11.2021;09:42:00-000;15.115;15.12;15.115;15.12;1499;15.1183
29.11.2021;09:43:00-000;15.12;15.13;15.115;15.12;2416;15.121
29.11.2021;09:44:00-000;15.12;15.13;15.12;15.12;2008;15.1287
29.11.2021;09:45:00-000;15.12;15.12;15.09;15.09;9658;15.1008
29.11.2021;09:46:00-000;15.1;15.13;15.1;15.125;1995;15.1167
29.11.2021;09:47:00-000;15.12;15.14;15.12;15.14;4501;15.1302
29.11.2021;09:48:00-000;15.14;15.155;15.135;15.15;4705;15.1455
29.11.2021;09:49:00-000;15.145;15.145;15.14;15.14;1254;15.1412
29.11.2021;09:50:00-000;15.145;15.15;15.14;15.14;698;15.1443
29.11.2021;09:51:00-000;15.145;15.145;15.125;15.14;8553;15.1329
29.11.2021;09:52:00-000;15.14;15.14;15.13;15.135;7290;15.1323
29.11.2021;09:53:00-000;15.14;15.14;15.13;15.14;1839;15.1335
29.11.2021;09:54:00-000;15.145;15.145;15.125;15.13;8969;15.1315
29.11.2021;09:55:00-000;15.13;15.13;15.12;15.13;1485;15.1237
29.11.2021;09:56:00-000;15.14;15.14;15.12;15.12;3877;15.1295
29.11.2021;09:57:00-000;15.11;15.12;15.1;15.12;2608;15.1097
29.11.2021;09:58:00-000;15.12;15.13;15.12;15.13;487;15.1271
29.11.2021;09:59:00-000;15.135;15.135;15.12;15.12;926;15.1292
29.11.2021;10:00:00-000;15.12;15.12;15.105;15.12;2911;15.1107
29.11.2021;10:01:00-000;15.13;15.13;15.12;15.12;450;15.1259
29.11.2021;10:02:00-000;15.13;15.14;15.13;15.14;3259;15.1303
29.11.2021;10:03:00-000;15.135;15.135;15.13;15.13;1199;15.1304
29.11.2021;10:04:00-000;15.135;15.135;15.135;15.135;215;15.1349
29.11.2021;10:05:00-000;15.12;15.145;15.12;15.14;4555;15.1349
29.11.2021;10:06:00-000;15.13;15.13;15.13;15.13;238;15.1315
29.11.2021;10:07:00-000;15.12;15.13;15.12;15.13;693;15.1265
29.11.2021;10:08:00-000;15.13;15.13;15.12;15.12;503;15.1288
29.11.2021;10:09:00-000;15.13;15.14;15.13;15.13;1384;15.1354
29.11.2021;10:10:00-000;15.135;15.135;15.13;15.13;851;15.1306
29.11.2021;10:11:00-000;15.12;15.12;15.1;15.1;733;15.112
29.11.2021;10:12:00-000;15.1;15.11;15.1;15.11;1787;15.1062
29.11.2021;10:13:00-000;15.11;15.12;15.11;15.12;1127;15.1109
29.11.2021;10:14:00-000;15.12;15.12;15.1;15.1;1234;15.109
29.11.2021;10:15:00-000;15.1;15.12;15.1;15.11;1186;15.1104
29.11.2021;10:16:00-000;15.105;15.105;15.105;15.105;200;15.105
29.11.2021;10:17:00-000;15.1;15.1;15.1;15.1;1647;15.1
29.11.2021;10:18:00-000;15.1;15.1;15.1;15.1;545;15.1
29.11.2021;10:20:00-000;15.11;15.11;15.11;15.11;704;15.11
29.11.2021;10:21:00-000;15.11;15.115;15.11;15.11;1078;15.1109
29.11.2021;10:22:00-000;15.11;15.11;15.1;15.105;780;15.1083
29.11.2021;10:23:00-000;15.115;15.12;15.115;15.12;919;15.1172
29.11.2021;10:25:00-000;15.13;15.13;15.12;15.13;798;15.1261
29.11.2021;10:26:00-000;15.125;15.125;15.11;15.11;4421;15.1147
29.11.2021;10:27:00-000;15.105;15.105;15.09;15.095;1313;15.0994
29.11.2021;10:28:00-000;15.095;15.105;15.095;15.105;941;15.1
29.11.2021;10:29:00-000;15.105;15.105;15.105;15.105;200;15.1082
29.11.2021;10:30:00-000;15.105;15.12;15.105;15.12;1650;15.1139
29.11.2021;10:31:00-000;15.11;15.115;15.09;15.0985;2565;15.0987
29.11.2021;10:32:00-000;15.0993;15.105;15.08;15.08;3029;15.0969
29.11.2021;10:33:00-000;15.09;15.095;15.09;15.09;1666;15.091
29.11.2021;10:34:00-000;15.09;15.09;15.08;15.085;3712;15.0809
29.11.2021;10:35:00-000;15.085;15.1;15.085;15.1;2108;15.093
29.11.2021;10:36:00-000;15.1;15.105;15.09;15.09;4896;15.1001
29.11.2021;10:37:00-000;15.09;15.09;15.08;15.08;1994;15.0848
29.11.2021;10:38:00-000;15.08;15.085;15.07;15.08;2964;15.079
29.11.2021;10:39:00-000;15.075;15.08;15.07;15.075;1003;15.0745
29.11.2021;10:40:00-000;15.07;15.08;15.07;15.08;4817;15.0763
29.11.2021;10:41:00-000;15.08;15.08;15.075;15.08;1397;15.0793
29.11.2021;10:42:00-000;15.08;15.08;15.08;15.08;604;15.0797
29.11.2021;10:43:00-000;15.075;15.075;15.045;15.05;5607;15.0618
29.11.2021;10:45:00-000;15.05;15.065;15.05;15.065;1299;15.0551
29.11.2021;10:46:00-000;15.06;15.06;15.055;15.055;665;15.0603
29.11.2021;10:47:00-000;15.055;15.06;15.055;15.06;522;15.0592
29.11.2021;10:48:00-000;15.065;15.07;15.065;15.065;495;15.0652
29.11.2021;10:49:00-000;15.065;15.065;15.055;15.055;2707;15.0591
29.11.2021;10:50:00-000;15.055;15.055;15.055;15.055;210;15.0552
29.11.2021;10:51:00-000;15.06;15.06;15.06;15.06;667;15.06
29.11.2021;10:52:00-000;15.065;15.065;15.065;15.065;310;15.0652
29.11.2021;10:53:00-000;15.065;15.065;15.06;15.06;652;15.0615
29.11.2021;10:54:00-000;15.05;15.05;15.04;15.04;685;15.0472
29.11.2021;10:55:00-000;15.04;15.04;15.035;15.04;1887;15.0402
