Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:25:00-000;12.31;12.32;12.31;12.32;300;12.3167
29.11.2021;09:30:00-000;12.39;12.39;12.39;12.39;9222;12.39
29.11.2021;09:33:00-000;12.41;12.41;12.41;12.41;204;12.4393
29.11.2021;09:34:00-000;12.51;12.51;12.51;12.51;212;12.4761
29.11.2021;09:35:00-000;12.49;12.49;12.46;12.46;400;12.4612
29.11.2021;09:36:00-000;12.37;12.49;12.37;12.47;12944;12.4425
29.11.2021;09:37:00-000;12.41;12.48;12.39;12.425;7724;12.4598
29.11.2021;09:38:00-000;12.44;12.46;12.44;12.46;404;12.4478
29.11.2021;09:39:00-000;12.56;12.56;12.56;12.56;301;12.5497
29.11.2021;09:40:00-000;12.56;12.64;12.56;12.64;823;12.5897
29.11.2021;09:41:00-000;12.605;12.64;12.605;12.64;500;12.619
29.11.2021;09:42:00-000;12.64;12.64;12.64;12.64;200;12.64
29.11.2021;09:43:00-000;12.64;12.64;12.57;12.59;8192;12.5919
29.11.2021;09:44:00-000;12.58;12.61;12.57;12.59;3214;12.5823
29.11.2021;09:45:00-000;12.59;12.67;12.59;12.64;984;12.6346
29.11.2021;09:46:00-000;12.6;12.64;12.56;12.56;2052;12.591
29.11.2021;09:47:00-000;12.53;12.53;12.5;12.5009;747;12.5083
29.11.2021;09:48:00-000;12.46;12.48;12.42;12.445;2878;12.4502
29.11.2021;09:51:00-000;12.45;12.45;12.45;12.45;503;12.4491
29.11.2021;09:52:00-000;12.45;12.52;12.42;12.52;3746;12.459
29.11.2021;09:53:00-000;12.54;12.55;12.525;12.55;1934;12.5411
29.11.2021;09:54:00-000;12.55;12.595;12.55;12.595;1525;12.5635
29.11.2021;09:55:00-000;12.63;12.63;12.595;12.595;300;12.6183
29.11.2021;09:56:00-000;12.63;12.63;12.63;12.63;205;12.63
29.11.2021;09:57:00-000;12.63;12.63;12.63;12.63;200;12.63
29.11.2021;09:58:00-000;12.595;12.63;12.595;12.6;1467;12.614
29.11.2021;09:59:00-000;12.63;12.63;12.56;12.56;1792;12.5773
29.11.2021;10:02:00-000;12.55;12.59;12.55;12.59;1325;12.553
29.11.2021;10:03:00-000;12.57;12.58;12.57;12.58;200;12.575
29.11.2021;10:04:00-000;12.58;12.58;12.555;12.58;1220;12.5661
29.11.2021;10:05:00-000;12.5316;12.555;12.53;12.53;1332;12.5382
29.11.2021;10:06:00-000;12.54;12.54;12.54;12.54;100;12.54
29.11.2021;10:07:00-000;12.49;12.49;12.45;12.45;829;12.4647
29.11.2021;10:08:00-000;12.37;12.37;12.24;12.24;1015;12.2882
29.11.2021;10:09:00-000;12.31;12.32;12.3;12.32;2102;12.3121
