Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;78.01;78.01;77.995;77.995;641;78.0079
29.11.2021;09:33:00-000;77.63;77.82;77.63;77.69;346;77.7165
29.11.2021;09:34:00-000;77.55;77.55;77.55;77.55;418;77.567
29.11.2021;09:37:00-000;77.29;77.29;77.29;77.29;200;77.175
29.11.2021;09:55:00-000;77;77;77;77;300;77
29.11.2021;10:08:00-000;77;77;77;77;966;77.0057
29.11.2021;10:09:00-000;77.24;77.24;77.24;77.24;831;77.2439
29.11.2021;10:25:00-000;77.07;77.07;77.07;77.07;490;77.0832
29.11.2021;10:28:00-000;76.9;76.9;76.9;76.9;402;76.8995
29.11.2021;10:32:00-000;77;77;77;77;250;77.0054
29.11.2021;10:33:00-000;77;77;76.87;77;912;76.9818
29.11.2021;10:34:00-000;77.01;77.01;77;77;586;77.028
29.11.2021;10:37:00-000;76.965;77.06;76.965;77.06;799;76.9967
29.11.2021;10:38:00-000;76.95;77.15;76.885;76.885;2822;76.9975
29.11.2021;10:39:00-000;76.94;76.98;76.94;76.98;445;76.9508
29.11.2021;10:41:00-000;76.95;76.95;76.95;76.95;184;76.9049
29.11.2021;10:42:00-000;76.95;76.95;76.95;76.95;167;76.9199
29.11.2021;10:44:00-000;76.985;76.985;76.985;76.985;163;76.945
29.11.2021;10:45:00-000;77.04;77.04;77.04;77.04;358;77.054
29.11.2021;10:50:00-000;77;77;77;77;285;76.9586
29.11.2021;10:52:00-000;76.925;76.99;76.925;76.99;539;76.9693
29.11.2021;10:53:00-000;77;77.01;77;77;709;77.0105
29.11.2021;10:54:00-000;76.98;76.98;76.95;76.98;1157;76.9698
29.11.2021;10:55:00-000;77;77;77;77;16908;77
29.11.2021;10:58:00-000;76.88;76.96;76.88;76.96;1019;76.9253
29.11.2021;11:01:00-000;77.23;77.29;77.23;77.24;676;77.2488
29.11.2021;11:06:00-000;77.26;77.26;77.26;77.26;202;77.2589
29.11.2021;11:10:00-000;77.15;77.15;77.15;77.15;103;77.1518
29.11.2021;11:16:00-000;77.1;77.1;77.1;77.1;102;77.1019
29.11.2021;11:19:00-000;77;77;77;77;222;77.034
29.11.2021;11:22:00-000;77;77;77;77;113;76.999
29.11.2021;11:23:00-000;77;77;77;77;132;76.9986
29.11.2021;11:24:00-000;77;77;77;77;543;76.999
29.11.2021;11:25:00-000;77;77;77;77;130;76.9986
29.11.2021;11:27:00-000;77;77;76.985;76.985;328;76.9946
29.11.2021;11:30:00-000;77.1;77.27;77.1;77.27;403;77.1584
29.11.2021;11:39:00-000;77.23;77.34;77.23;77.29;679;77.2655
29.11.2021;11:40:00-000;77.29;77.29;77.29;77.29;100;77.29
29.11.2021;11:44:00-000;77.47;77.47;77.47;77.47;329;77.4441
29.11.2021;11:50:00-000;77.61;77.61;77.61;77.61;397;77.5761
29.11.2021;11:52:00-000;77.62;77.62;77.62;77.62;114;77.6212
29.11.2021;12:10:00-000;77.75;77.75;77.75;77.75;256;77.7475
29.11.2021;12:11:00-000;77.85;77.86;77.85;77.86;400;77.835
29.11.2021;12:19:00-000;77.78;77.78;77.78;77.78;101;77.7805
29.11.2021;12:24:00-000;78.02;78.02;78.02;78.02;251;78.0046
29.11.2021;12:27:00-000;77.8;77.89;77.8;77.89;661;77.8403
29.11.2021;12:59:00-000;78.39;78.39;78.39;78.39;561;78.2812
29.11.2021;13:00:00-000;78.25;78.29;78.25;78.29;532;78.2904
29.11.2021;13:07:00-000;78.32;78.32;78.32;78.32;331;78.3214
29.11.2021;13:11:00-000;78.3;78.3;78.3;78.3;102;78.3001
29.11.2021;13:15:00-000;78.18;78.18;78.18;78.18;408;78.1608
29.11.2021;13:16:00-000;78.0418;78.0418;78.0418;78.0418;357;78.0428
29.11.2021;13:22:00-000;78.16;78.16;78.16;78.16;358;78.1489
29.11.2021;13:25:00-000;78.1455;78.1455;78.1455;78.1455;366;78.1461
29.11.2021;13:31:00-000;78.135;78.135;78.135;78.135;118;78.1343
29.11.2021;13:33:00-000;78.2;78.2;78.2;78.2;276;78.2417
29.11.2021;13:35:00-000;78.28;78.28;78.19;78.25;1668;78.2166
29.11.2021;13:36:00-000;78.285;78.285;78.285;78.285;232;78.278
29.11.2021;13:39:00-000;78.15;78.15;78.15;78.15;231;78.2106
29.11.2021;13:45:00-000;78.17;78.17;78.17;78.17;162;78.186
29.11.2021;13:47:00-000;78.31;78.31;78.31;78.31;101;78.3084
29.11.2021;13:48:00-000;78.23;78.23;78.23;78.23;151;78.2294
29.11.2021;13:51:00-000;78.225;78.225;78.22;78.22;228;78.2241
29.11.2021;13:54:00-000;78.215;78.215;78.215;78.215;101;78.2146
29.11.2021;13:56:00-000;78.215;78.215;78.215;78.215;104;78.2142
29.11.2021;13:58:00-000;78.29;78.295;78.29;78.295;392;78.2872
29.11.2021;13:59:00-000;78.29;78.29;78.26;78.285;535;78.2727
29.11.2021;14:00:00-000;78.29;78.29;78.29;78.29;419;78.2944
29.11.2021;14:02:00-000;78.25;78.3;78.25;78.3;680;78.2701
29.11.2021;14:05:00-000;78.32;78.32;78.32;78.32;378;78.3257
29.11.2021;14:16:00-000;78.3;78.3;78.3;78.3;250;78.3036
29.11.2021;14:17:00-000;78.28;78.3;78.23;78.295;1574;78.2716
29.11.2021;14:18:00-000;78.275;78.275;78.275;78.275;246;78.2863
29.11.2021;14:19:00-000;78.36;78.36;78.36;78.36;138;78.3393
29.11.2021;14:24:00-000;78.27;78.29;78.19;78.29;770;78.2391
29.11.2021;14:30:00-000;78.21;78.21;78.21;78.21;196;78.2228
29.11.2021;14:32:00-000;78.13;78.15;78.13;78.15;784;78.1138
29.11.2021;14:34:00-000;78.1219;78.1219;78.1219;78.1219;680;78.1219
29.11.2021;14:35:00-000;78.08;78.08;77.97;77.97;420;78.0399
29.11.2021;14:45:00-000;78;78.055;78;78.055;437;78.0046
29.11.2021;14:46:00-000;78.03;78.03;78.03;78.03;432;77.9699
