Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;20.79;20.79;20.79;20.79;2699;20.7897
29.11.2021;09:31:00-000;20.78;20.78;20.76;20.76;2862;20.7715
29.11.2021;09:32:00-000;20.76;20.77;20.76;20.77;817;20.7676
29.11.2021;09:34:00-000;20.76;20.78;20.76;20.76;6220;20.7623
29.11.2021;09:35:00-000;20.765;20.77;20.755;20.755;3800;20.7603
29.11.2021;09:36:00-000;20.755;20.76;20.74;20.74;3049;20.7516
29.11.2021;09:37:00-000;20.75;20.75;20.75;20.75;251;20.7472
29.11.2021;09:39:00-000;20.75;20.76;20.745;20.76;18159;20.7519
29.11.2021;09:40:00-000;20.765;20.77;20.76;20.77;3751;20.7656
29.11.2021;09:41:00-000;20.77;20.77;20.75;20.755;12047;20.7567
29.11.2021;09:42:00-000;20.76;20.77;20.76;20.765;2681;20.7607
29.11.2021;09:43:00-000;20.76;20.76;20.76;20.76;7031;20.76
29.11.2021;09:44:00-000;20.765;20.77;20.765;20.77;600;20.7675
29.11.2021;09:45:00-000;20.77;20.77;20.76;20.76;704;20.7653
29.11.2021;09:46:00-000;20.77;20.78;20.77;20.78;1096;20.7756
29.11.2021;09:47:00-000;20.78;20.79;20.78;20.7828;2759;20.7824
29.11.2021;09:48:00-000;20.78;20.78;20.775;20.775;3245;20.7798
29.11.2021;09:49:00-000;20.775;20.775;20.765;20.765;4591;20.7701
29.11.2021;09:50:00-000;20.76;20.765;20.76;20.76;12280;20.7601
29.11.2021;09:51:00-000;20.755;20.765;20.755;20.76;4282;20.7599
29.11.2021;09:52:00-000;20.76;20.76;20.75;20.75;1313;20.7592
29.11.2021;09:53:00-000;20.76;20.76;20.76;20.76;800;20.76
29.11.2021;09:54:00-000;20.76;20.76;20.76;20.76;1427;20.76
29.11.2021;09:55:00-000;20.75;20.76;20.75;20.76;2500;20.7558
29.11.2021;09:56:00-000;20.76;20.76;20.76;20.76;805;20.76
29.11.2021;09:57:00-000;20.75;20.76;20.75;20.76;1500;20.7557
