Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;07:00:00-000;1.92;1.92;1.92;1.92;100;1.92
29.11.2021;08:00:00-000;1.91;1.91;1.91;1.91;5263;1.91
29.11.2021;08:17:00-000;1.91;1.91;1.91;1.91;500;1.91
29.11.2021;08:46:00-000;1.92;1.92;1.92;1.92;900;1.92
29.11.2021;09:08:00-000;1.91;1.91;1.91;1.91;310;1.91
29.11.2021;09:30:00-000;1.93;1.94;1.93;1.94;4356;1.9307
29.11.2021;09:31:00-000;1.95;1.95;1.935;1.95;11200;1.9489
29.11.2021;09:32:00-000;1.93;1.93;1.93;1.93;100;1.93
29.11.2021;09:33:00-000;1.93;1.935;1.93;1.935;7320;1.9306
29.11.2021;09:34:00-000;1.93;1.93;1.93;1.93;400;1.93
29.11.2021;09:36:00-000;1.93;1.93;1.9;1.9;16177;1.9087
29.11.2021;09:37:00-000;1.9;1.91;1.9;1.905;11318;1.9003
29.11.2021;09:38:00-000;1.9;1.9;1.89;1.89;1400;1.8929
29.11.2021;09:39:00-000;1.89;1.89;1.89;1.89;100;1.89
29.11.2021;09:40:00-000;1.89;1.895;1.89;1.895;4910;1.8902
29.11.2021;09:41:00-000;1.9;1.9;1.8911;1.8911;1550;1.8937
29.11.2021;09:42:00-000;1.895;1.895;1.88;1.88;930;1.8884
29.11.2021;09:43:00-000;1.88;1.88;1.88;1.88;5402;1.88
29.11.2021;09:44:00-000;1.88;1.88;1.88;1.88;812;1.88
29.11.2021;09:45:00-000;1.88;1.89;1.87;1.885;11960;1.879
29.11.2021;09:46:00-000;1.885;1.89;1.885;1.89;1895;1.8873
29.11.2021;09:47:00-000;1.8879;1.8879;1.8879;1.8879;260;1.8879
29.11.2021;09:48:00-000;1.89;1.895;1.89;1.895;1799;1.8903
29.11.2021;09:49:00-000;1.895;1.895;1.89;1.89;1452;1.8904
29.11.2021;09:50:00-000;1.89;1.89;1.89;1.89;909;1.89
29.11.2021;09:51:00-000;1.89;1.9;1.89;1.9;3000;1.896
29.11.2021;09:52:00-000;1.9;1.9;1.9;1.9;1898;1.9
29.11.2021;09:53:00-000;1.9;1.9;1.897;1.897;858;1.8986
29.11.2021;09:54:00-000;1.9;1.91;1.9;1.91;3576;1.9018
29.11.2021;09:55:00-000;1.91;1.915;1.91;1.91;2814;1.9102
29.11.2021;09:56:00-000;1.91;1.92;1.91;1.92;14156;1.9107
29.11.2021;09:57:00-000;1.915;1.92;1.915;1.92;1051;1.917
29.11.2021;09:58:00-000;1.915;1.92;1.915;1.92;205;1.9173
29.11.2021;09:59:00-000;1.92;1.92;1.92;1.92;300;1.92
29.11.2021;10:00:00-000;1.92;1.92;1.92;1.92;100;1.92
29.11.2021;10:01:00-000;1.915;1.92;1.9;1.9;5748;1.9097
29.11.2021;10:03:00-000;1.9;1.9003;1.9;1.9003;400;1.9002
29.11.2021;10:04:00-000;1.9;1.905;1.9;1.905;3426;1.9004
29.11.2021;10:05:00-000;1.9;1.9;1.9;1.9;100;1.9
29.11.2021;10:06:00-000;1.905;1.905;1.9;1.905;750;1.9035
29.11.2021;10:08:00-000;1.9;1.905;1.9;1.9;1756;1.9003
29.11.2021;10:09:00-000;1.9;1.905;1.9;1.9;4460;1.9001
29.11.2021;10:10:00-000;1.9;1.9;1.9;1.9;900;1.9
29.11.2021;10:11:00-000;1.9;1.9;1.9;1.9;100;1.9
29.11.2021;10:12:00-000;1.9;1.9;1.89;1.9;1700;1.8941
29.11.2021;10:13:00-000;1.895;1.895;1.895;1.895;100;1.895
29.11.2021;10:15:00-000;1.8994;1.8994;1.895;1.895;2700;1.8991
29.11.2021;10:17:00-000;1.9;1.9;1.895;1.895;1100;1.8995
29.11.2021;10:19:00-000;1.895;1.895;1.895;1.895;700;1.895
29.11.2021;10:22:00-000;1.892;1.892;1.892;1.892;453;1.8921
29.11.2021;10:24:00-000;1.895;1.895;1.895;1.895;2105;1.895
29.11.2021;10:25:00-000;1.895;1.895;1.89;1.89;200;1.8925
29.11.2021;10:27:00-000;1.89;1.89;1.885;1.885;3412;1.8899
29.11.2021;10:28:00-000;1.88;1.88;1.875;1.88;3194;1.8792
