Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;10:08:00-000;9.71;9.71;9.71;9.71;200;9.71
29.11.2021;10:39:00-000;9.72;9.72;9.72;9.72;100;9.72
29.11.2021;10:42:00-000;9.71;9.71;9.71;9.71;500;9.71
29.11.2021;11:28:00-000;9.7;9.7;9.7;9.7;600;9.7
29.11.2021;11:59:00-000;9.72;9.72;9.71;9.71;400;9.715
29.11.2021;12:07:00-000;9.71;9.72;9.71;9.715;2900;9.7167
29.11.2021;12:08:00-000;9.72;9.72;9.7198;9.72;11504;9.72
29.11.2021;12:57:00-000;9.72;9.72;9.72;9.72;400;9.72
29.11.2021;13:23:00-000;9.71;9.71;9.71;9.71;200;9.71
29.11.2021;13:51:00-000;9.72;9.72;9.72;9.72;300;9.72
29.11.2021;14:21:00-000;9.72;9.72;9.72;9.72;199;9.725
29.11.2021;14:38:00-000;9.72;9.73;9.72;9.73;200;9.725
29.11.2021;14:59:00-000;9.72;9.72;9.72;9.72;100;9.72
29.11.2021;16:10:00-000;9.72;9.72;9.72;9.72;0;0
29.11.2021;18:30:00-000;9.72;9.72;9.72;9.72;0;0
29.11.2021;19:00:00-000;9.72;9.72;9.72;9.72;0;0
