Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;116.4;117.29;116.4;117.27;2346;116.506
29.11.2021;09:35:00-000;115.706;116.085;115.53;116.085;1339;115.805
29.11.2021;09:37:00-000;115.54;115.54;115.54;115.54;890;115.569
29.11.2021;09:38:00-000;115.9;116.27;115.89;116.03;1562;115.955
29.11.2021;09:40:00-000;115.66;116.125;115.54;116.125;2611;115.757
29.11.2021;09:41:00-000;116.01;116.01;116.01;116.01;382;115.937
29.11.2021;09:42:00-000;115.73;116.015;115.7;116.015;651;115.813
29.11.2021;09:45:00-000;115.53;115.53;115.5;115.52;1886;115.515
29.11.2021;09:46:00-000;115.635;115.845;115.41;115.625;637;115.676
29.11.2021;09:49:00-000;115.645;115.645;115.645;115.645;153;115.636
29.11.2021;09:50:00-000;115.6;115.63;115.6;115.63;1225;115.58
29.11.2021;09:53:00-000;115.383;115.383;115.383;115.383;128;115.398
29.11.2021;09:54:00-000;115.64;115.71;115.52;115.52;673;115.592
29.11.2021;09:55:00-000;115.67;115.67;115.61;115.61;485;115.643
29.11.2021;09:57:00-000;115.605;115.605;115.42;115.42;632;115.455
29.11.2021;09:59:00-000;115.43;115.43;115.43;115.43;113;115.43
29.11.2021;10:00:00-000;115.21;115.45;115.16;115.45;1228;115.273
29.11.2021;10:02:00-000;115.82;115.83;115.82;115.83;263;115.824
29.11.2021;10:08:00-000;115.69;115.69;115.69;115.69;146;115.68
29.11.2021;10:09:00-000;115.73;115.73;115.73;115.73;182;115.675
29.11.2021;10:11:00-000;115.78;115.78;115.6;115.6;592;115.627
29.11.2021;10:13:00-000;115.44;115.44;115.06;115.245;1441;115.263
29.11.2021;10:15:00-000;115.11;115.11;114.89;114.945;1350;114.976
29.11.2021;10:19:00-000;115.09;115.1;115.09;115.1;376;115.076
29.11.2021;10:21:00-000;115.095;115.15;115.095;115.095;359;115.114
29.11.2021;10:22:00-000;115.12;115.19;115.12;115.14;869;115.134
29.11.2021;10:23:00-000;115.05;115.05;115.05;115.05;102;115.05
29.11.2021;10:25:00-000;115.03;115.04;115.03;115.04;595;115.046
29.11.2021;10:26:00-000;114.78;114.78;114.78;114.78;392;114.779
29.11.2021;10:27:00-000;114.46;114.46;114.46;114.46;316;114.37
29.11.2021;10:29:00-000;114.42;114.675;114.42;114.675;1310;114.434
29.11.2021;10:30:00-000;114.5;114.5;114.5;114.5;335;114.457
29.11.2021;10:32:00-000;114.07;114.2;113.93;113.93;3869;114.062
29.11.2021;10:34:00-000;113.84;113.925;113.84;113.925;1215;113.861
29.11.2021;10:35:00-000;114.26;114.26;114.26;114.26;731;114.23
29.11.2021;10:36:00-000;114.53;114.53;114.2;114.2;715;114.272
29.11.2021;10:37:00-000;114.14;114.14;113.93;113.93;542;114.031
29.11.2021;10:39:00-000;113.93;114.215;113.93;114.03;608;114.055
29.11.2021;10:43:00-000;113.945;113.945;113.945;113.945;344;113.952
29.11.2021;10:44:00-000;113.94;113.94;113.73;113.74;884;113.851
29.11.2021;10:45:00-000;114.04;114.05;114;114;364;114.021
29.11.2021;10:47:00-000;114.18;114.18;114.065;114.065;481;114.089
29.11.2021;10:48:00-000;114.14;114.14;114.14;114.14;103;114.137
29.11.2021;10:50:00-000;114.18;114.18;114.18;114.18;668;114.132
29.11.2021;10:51:00-000;114.14;114.18;113.995;114.08;1944;114.095
29.11.2021;10:52:00-000;114.04;114.215;114.02;114.02;1021;114.141
