Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;07:58:00-000;17.4;17.43;17.4;17.43;1800;17.4078
29.11.2021;08:00:00-000;17.42;17.43;17.41;17.41;1200;17.42
29.11.2021;09:05:00-000;17.65;17.65;17.52;17.65;400;17.6175
29.11.2021;09:08:00-000;17.41;17.41;17.41;17.41;367;17.41
29.11.2021;09:30:00-000;17.24;17.24;17.24;17.24;2368;17.2431
29.11.2021;09:31:00-000;17.385;17.385;17.385;17.385;100;17.385
29.11.2021;09:32:00-000;17.45;17.6;17.35;17.355;7491;17.4679
29.11.2021;09:34:00-000;17.405;17.535;17.32;17.39;8436;17.4868
29.11.2021;09:35:00-000;17.49;17.49;17.46;17.49;1396;17.4871
29.11.2021;09:37:00-000;17.49;17.49;17.39;17.437;425;17.454
29.11.2021;09:43:00-000;17.45;17.45;17.39;17.39;908;17.4434
29.11.2021;09:44:00-000;17.38;17.43;17.38;17.43;342;17.3939
29.11.2021;09:51:00-000;17.46;17.4665;17.13;17.24;7394;17.3866
29.11.2021;09:52:00-000;17.24;17.24;17.24;17.24;200;17.1773
29.11.2021;09:53:00-000;17.02;17.02;16.81;16.81;1412;16.8702
29.11.2021;09:56:00-000;16.84;16.84;16.84;16.84;130;16.9132
29.11.2021;09:57:00-000;17.02;17.02;17.02;17.02;102;17.0235
29.11.2021;09:59:00-000;17.21;17.21;17.21;17.21;100;17.21
29.11.2021;10:00:00-000;17.21;17.25;17.05;17.15;1790;17.2049
29.11.2021;10:01:00-000;17.31;17.35;17.25;17.35;1100;17.3275
29.11.2021;10:03:00-000;17.39;17.39;17.39;17.39;100;17.39
29.11.2021;10:08:00-000;17.25;17.25;17.25;17.25;110;17.2607
29.11.2021;10:18:00-000;17.2424;17.2424;17.2424;17.2424;100;17.2424
29.11.2021;10:19:00-000;17.2424;17.2424;17.2424;17.2424;225;17.2166
29.11.2021;10:20:00-000;17.18;17.18;17.18;17.18;100;17.18
29.11.2021;10:24:00-000;17.33;17.33;17.15;17.15;2150;17.3015
29.11.2021;10:30:00-000;17.32;17.32;17.16;17.16;300;17.2667
29.11.2021;10:36:00-000;17.1958;17.1958;17.1958;17.1958;100;17.1958
29.11.2021;10:37:00-000;17.25;17.25;17.25;17.25;201;17.2503
29.11.2021;10:38:00-000;17.3;17.3;17.07;17.07;1360;17.2463
29.11.2021;10:41:00-000;17.18;17.2;16.97;16.97;1100;17.1755
29.11.2021;10:52:00-000;17.09;17.19;17.01;17.01;580;17.1041
29.11.2021;10:55:00-000;17.18;17.18;17.18;17.18;790;17.1797
29.11.2021;10:57:00-000;17.1999;17.1999;17.05;17.05;2500;17.1703
29.11.2021;10:59:00-000;17.2;17.2;17.2;17.2;293;17.1997
29.11.2021;11:21:00-000;17.14;17.15;17.04;17.04;2200;17.1359
29.11.2021;11:22:00-000;17.03;17.03;17.03;17.03;100;17.03
29.11.2021;11:35:00-000;16.99;16.99;16.9782;16.9782;200;16.9841
29.11.2021;12:10:00-000;16.985;17;16.985;17;620;16.9936
29.11.2021;12:34:00-000;16.97;16.97;16.97;16.97;100;16.97
29.11.2021;12:53:00-000;17.1999;17.1999;17.1999;17.1999;100;17.1999
29.11.2021;12:58:00-000;17.1745;17.1745;17.1745;17.1745;106;17.164
29.11.2021;13:14:00-000;17.01;17.01;17;17;400;17.0025
29.11.2021;13:21:00-000;17.12;17.12;17.12;17.12;170;17.1065
29.11.2021;13:24:00-000;17.1499;17.1499;17.1499;17.1499;120;17.1299
29.11.2021;13:25:00-000;17.1297;17.1297;17.1297;17.1297;110;17.1161
29.11.2021;13:30:00-000;17.0314;17.0314;17.0314;17.0314;100;17.0314
29.11.2021;13:38:00-000;17.15;17.15;17.14;17.15;473;17.1479
29.11.2021;13:41:00-000;17.01;17.075;17;17.075;300;17.0283
29.11.2021;13:59:00-000;17;17;17;17;500;17
29.11.2021;14:17:00-000;17.01;17.01;17.01;17.01;100;17.01
29.11.2021;15:39:00-000;17.05;17.05;17.01;17.01;200;17.03
29.11.2021;15:46:00-000;17.05;17.05;17.05;17.05;100;17.05
29.11.2021;15:51:00-000;17.01;17.01;17.01;17.01;200;17.0079
29.11.2021;15:55:00-000;17.01;17.01;17.01;17.01;258;17.0628
29.11.2021;15:56:00-000;17.0117;17.0117;17.01;17.01;400;17.0113
29.11.2021;15:57:00-000;17.12;17.12;17.12;17.12;202;17.1201
29.11.2021;15:58:00-000;17.15;17.15;17.135;17.15;1150;17.142
29.11.2021;15:59:00-000;17.21;17.28;17.08;17.08;943;17.2208
29.11.2021;16:00:00-000;17.24;17.24;17.24;17.24;736;17.24
