Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;07:01:00-000;103;103;103;103;128;103
29.11.2021;07:22:00-000;102.07;102.07;102.07;102.07;581;102.07
29.11.2021;08:12:00-000;105.538;105.538;105.538;105.538;500;105.538
29.11.2021;08:38:00-000;104;104;104;104;176;104.001
29.11.2021;09:30:00-000;104.33;104.33;103;103.112;14897;103.861
29.11.2021;09:31:00-000;103.38;103.38;103.38;103.38;482;103.205
29.11.2021;09:32:00-000;103.332;103.88;103.289;103.34;4570;103.6
29.11.2021;09:33:00-000;103.085;104.055;103.085;103.94;1819;103.69
29.11.2021;09:34:00-000;103;103;103;103;1187;103.006
29.11.2021;09:35:00-000;103.079;103.079;102.64;102.761;2835;102.812
29.11.2021;09:36:00-000;102.25;102.25;101.84;101.85;3981;101.955
29.11.2021;09:37:00-000;102.05;102.35;101.92;101.92;1921;102.212
29.11.2021;09:38:00-000;101.84;102.15;101.78;102.15;1153;101.945
29.11.2021;09:39:00-000;101.85;102.05;101.52;101.96;3848;101.786
29.11.2021;09:40:00-000;101.76;101.94;101.19;101.94;2362;101.676
29.11.2021;09:41:00-000;101.92;102.146;101.82;101.82;1484;101.917
29.11.2021;09:42:00-000;102.09;102.27;101.76;101.8;1849;102.064
29.11.2021;09:43:00-000;101.87;101.87;101.87;101.87;657;101.735
29.11.2021;09:44:00-000;101.71;102.03;101.565;101.565;634;101.697
29.11.2021;09:45:00-000;101.26;101.26;100.92;101.15;1494;101.235
29.11.2021;09:46:00-000;101.23;101.23;100.89;100.89;1003;100.995
29.11.2021;09:47:00-000;100.95;101.06;100.95;101.06;906;101.01
29.11.2021;09:48:00-000;101.29;101.34;101.29;101.34;586;101.304
29.11.2021;09:49:00-000;101.33;101.43;101.27;101.27;1791;101.332
29.11.2021;09:50:00-000;100.97;101.32;100.97;101.23;1770;101.188
29.11.2021;09:51:00-000;101.23;101.23;100.64;100.64;1114;100.897
29.11.2021;09:52:00-000;100.78;100.98;100.78;100.98;2140;100.84
29.11.2021;09:53:00-000;101.13;101.13;101.13;101.13;163;101.086
29.11.2021;09:54:00-000;101.44;101.44;101.31;101.31;895;101.376
29.11.2021;09:55:00-000;101.09;101.09;101.07;101.07;247;101.067
29.11.2021;09:56:00-000;101.6;101.6;101.24;101.24;871;101.423
29.11.2021;09:57:00-000;101.11;101.15;101.02;101.02;902;101.077
29.11.2021;09:58:00-000;100.751;101.115;100.751;101;1272;100.964
29.11.2021;10:00:00-000;100.65;101.1;100.65;101.1;1871;100.809
29.11.2021;10:01:00-000;101.23;101.29;101.07;101.07;3968;101.242
29.11.2021;10:02:00-000;101.21;101.705;101.21;101.47;3721;101.558
29.11.2021;10:03:00-000;101.49;101.49;100.92;101.05;1122;101.112
29.11.2021;10:04:00-000;101.184;101.184;100.56;100.56;517;100.834
29.11.2021;10:05:00-000;100.42;100.99;100.4;100.99;1025;100.697
29.11.2021;10:07:00-000;101.07;101.18;100.99;101.18;1005;101.09
29.11.2021;10:08:00-000;100.95;100.95;100.95;100.95;545;100.967
29.11.2021;10:09:00-000;101;101;101;101;291;100.989
29.11.2021;10:10:00-000;101.006;101.196;101.006;101.196;360;101.117
29.11.2021;10:11:00-000;101.09;101.09;100.85;100.85;2178;100.937
29.11.2021;10:12:00-000;100.69;100.69;100.44;100.575;604;100.584
29.11.2021;10:13:00-000;100.39;100.39;100.23;100.23;665;100.324
29.11.2021;10:14:00-000;100.43;100.43;100.24;100.24;738;100.269
29.11.2021;10:15:00-000;100;100.2;99.91;99.91;3609;100.071
29.11.2021;10:16:00-000;99.78;99.83;99.31;99.41;3459;99.4657
29.11.2021;10:17:00-000;99.46;99.47;99.22;99.46;1591;99.444
29.11.2021;10:18:00-000;99.73;99.77;99.7;99.77;772;99.7434
29.11.2021;10:19:00-000;99.74;100.06;99.74;100.06;2006;99.8506
29.11.2021;10:20:00-000;100.29;100.29;100.15;100.15;1255;100.179
29.11.2021;10:21:00-000;100.43;100.43;100.3;100.3;622;100.287
29.11.2021;10:22:00-000;100.32;100.32;100.32;100.32;297;100.283
29.11.2021;10:23:00-000;100.31;100.48;100.3;100.4;1959;100.399
29.11.2021;10:24:00-000;100.42;100.42;100.42;100.42;144;100.441
29.11.2021;10:25:00-000;100.513;100.513;100.3;100.3;471;100.419
29.11.2021;10:26:00-000;99.9;99.9;99.9;99.9;106;99.9036
29.11.2021;10:27:00-000;99.35;99.4;99.33;99.33;996;99.3409
29.11.2021;10:29:00-000;99.38;99.38;99.38;99.38;113;99.38
29.11.2021;10:30:00-000;99.22;99.285;99.1737;99.285;530;99.2138
29.11.2021;10:31:00-000;99.15;99.15;98.44;98.44;5143;98.6477
29.11.2021;10:32:00-000;99.01;99.01;98.8;98.8;550;98.9446
29.11.2021;10:34:00-000;98.9314;99.09;98.84;99.0398;1683;98.9788
29.11.2021;10:35:00-000;99.4;99.4;99.4;99.4;420;99.3837
29.11.2021;10:36:00-000;99.7599;99.7599;99.67;99.67;1282;99.7039
29.11.2021;10:37:00-000;99.28;99.28;99.28;99.28;229;99.26
29.11.2021;10:38:00-000;98.65;98.65;98.65;98.65;482;98.6352
29.11.2021;10:39:00-000;98.87;99.09;98.86;99;1394;98.9729
29.11.2021;10:40:00-000;98.68;98.68;98.67;98.68;362;98.7229
29.11.2021;10:41:00-000;98.82;98.82;98.6;98.6;2386;98.6438
29.11.2021;10:42:00-000;98.5995;98.64;98.5995;98.64;477;98.6157
29.11.2021;10:43:00-000;98.61;98.78;98.61;98.78;1103;98.6261
29.11.2021;10:44:00-000;98.84;98.86;98.83;98.86;1070;98.8527
29.11.2021;10:45:00-000;98.97;98.97;98.97;98.97;182;98.9813
29.11.2021;10:48:00-000;99.44;99.44;99.44;99.44;103;99.4361
29.11.2021;10:49:00-000;99.2;99.2;99.2;99.2;440;99.123
29.11.2021;10:50:00-000;99.12;99.12;99.12;99.12;258;99.1111
29.11.2021;10:51:00-000;99.32;99.44;99.32;99.44;723;99.4023
29.11.2021;10:52:00-000;99.73;99.73;99.73;99.73;162;99.6872
29.11.2021;10:53:00-000;99.7564;99.7564;99.7564;99.7564;299;99.8288
29.11.2021;10:54:00-000;99.5101;99.6828;99.5101;99.6828;585;99.6004
29.11.2021;10:55:00-000;99.7;99.75;99.7;99.75;511;99.7253
29.11.2021;10:58:00-000;99.205;99.205;99.205;99.205;110;99.2171
29.11.2021;10:59:00-000;99.16;99.16;99.13;99.14;616;99.165
29.11.2021;11:00:00-000;99.135;99.72;99.135;99.72;744;99.4643
29.11.2021;11:01:00-000;99.7;99.7;99.6734;99.6734;694;99.6796
29.11.2021;11:02:00-000;99.77;99.84;99.77;99.84;330;99.8181
29.11.2021;11:03:00-000;99.78;100.01;99.78;100;6151;99.9907
29.11.2021;11:05:00-000;100.318;100.318;100.318;100.318;590;100.302
29.11.2021;11:06:00-000;100.409;100.409;100.255;100.255;232;100.341
29.11.2021;11:10:00-000;100.17;100.17;100.17;100.17;268;100.166
29.11.2021;11:15:00-000;100.325;100.325;100.325;100.325;500;100.325
29.11.2021;11:17:00-000;99.99;99.99;99.99;99.99;102;99.991
29.11.2021;11:18:00-000;99.9;99.96;99.9;99.96;605;99.9579
29.11.2021;11:20:00-000;100.37;100.37;100.37;100.37;146;100.308
29.11.2021;11:24:00-000;100.25;100.25;100.25;100.25;200;100.25
29.11.2021;11:26:00-000;100.5;100.6;100.5;100.6;3740;100.596
29.11.2021;11:29:00-000;100.16;100.16;100.16;100.16;336;100.162
29.11.2021;11:30:00-000;100.28;100.28;100.28;100.28;154;100.312
29.11.2021;11:31:00-000;100.8;100.8;100.8;100.8;357;100.8
29.11.2021;11:33:00-000;100.505;100.505;100.505;100.505;200;100.505
29.11.2021;11:35:00-000;100.636;100.636;100.636;100.636;214;100.635
