Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;05:20:00-000;1.24;1.24;1.24;1.24;497;1.24
29.11.2021;05:21:00-000;1.25;1.25;1.25;1.25;303;1.25
29.11.2021;08:00:00-000;1.25;1.25;1.24;1.25;20549;1.2492
29.11.2021;08:14:00-000;1.25;1.25;1.25;1.25;300;1.25
29.11.2021;08:46:00-000;1.24;1.24;1.24;1.24;1000;1.24
29.11.2021;09:20:00-000;1.27;1.27;1.27;1.27;100;1.27
29.11.2021;09:23:00-000;1.27;1.27;1.27;1.27;1003;1.27
29.11.2021;09:30:00-000;1.25;1.26;1.25;1.255;27809;1.2508
29.11.2021;09:31:00-000;1.2599;1.2599;1.245;1.245;2171;1.2495
29.11.2021;09:32:00-000;1.2486;1.2486;1.245;1.245;2268;1.246
29.11.2021;09:35:00-000;1.2458;1.2458;1.2458;1.2458;106;1.246
29.11.2021;09:36:00-000;1.2454;1.2499;1.2454;1.2489;1505;1.2481
29.11.2021;09:37:00-000;1.245;1.2499;1.245;1.245;2000;1.249
29.11.2021;09:38:00-000;1.245;1.249;1.235;1.235;29868;1.2408
29.11.2021;09:39:00-000;1.23;1.24;1.23;1.235;1387;1.2366
29.11.2021;09:40:00-000;1.2334;1.2334;1.23;1.23;1314;1.2327
29.11.2021;09:41:00-000;1.2382;1.2383;1.23;1.2383;1204;1.2327
29.11.2021;09:42:00-000;1.24;1.24;1.24;1.24;221;1.2393
29.11.2021;09:43:00-000;1.2399;1.2399;1.23;1.23;1359;1.2391
29.11.2021;09:45:00-000;1.2396;1.2396;1.21;1.22;79440;1.2184
29.11.2021;09:46:00-000;1.22;1.22;1.21;1.218;3099;1.217
29.11.2021;09:47:00-000;1.22;1.22;1.21;1.21;3766;1.2153
29.11.2021;09:48:00-000;1.215;1.22;1.21;1.2199;6005;1.2156
29.11.2021;09:49:00-000;1.22;1.22;1.2125;1.215;2242;1.2153
29.11.2021;09:50:00-000;1.215;1.22;1.21;1.22;1006;1.213
29.11.2021;09:51:00-000;1.2181;1.22;1.215;1.22;669;1.2165
29.11.2021;09:52:00-000;1.21;1.22;1.21;1.22;8678;1.2131
29.11.2021;09:53:00-000;1.215;1.22;1.21;1.22;4374;1.2147
29.11.2021;09:54:00-000;1.2187;1.22;1.2128;1.22;1273;1.2189
29.11.2021;09:55:00-000;1.215;1.22;1.21;1.22;20292;1.2154
29.11.2021;09:56:00-000;1.22;1.23;1.215;1.215;9062;1.2209
29.11.2021;09:57:00-000;1.22;1.22;1.22;1.22;111;1.2195
29.11.2021;09:58:00-000;1.2193;1.22;1.219;1.219;1716;1.219
29.11.2021;10:00:00-000;1.215;1.215;1.215;1.215;1107;1.215
29.11.2021;10:01:00-000;1.215;1.215;1.215;1.215;211;1.2153
29.11.2021;10:03:00-000;1.2199;1.2199;1.21;1.21;8247;1.2196
29.11.2021;10:05:00-000;1.215;1.22;1.21;1.22;20033;1.2147
29.11.2021;10:06:00-000;1.2182;1.2182;1.2134;1.2134;1615;1.2137
29.11.2021;10:07:00-000;1.215;1.215;1.215;1.215;216;1.2148
29.11.2021;10:08:00-000;1.22;1.22;1.21;1.21;27224;1.2108
29.11.2021;10:09:00-000;1.21;1.22;1.21;1.215;2402;1.219
29.11.2021;10:10:00-000;1.2191;1.2191;1.2121;1.2121;379;1.2166
29.11.2021;10:11:00-000;1.2192;1.2196;1.2192;1.2196;1000;1.2194
29.11.2021;10:12:00-000;1.22;1.22;1.22;1.22;105;1.2199
29.11.2021;10:13:00-000;1.215;1.215;1.21;1.21;398;1.2127
29.11.2021;10:14:00-000;1.219;1.23;1.215;1.215;18295;1.2215
29.11.2021;10:15:00-000;1.2198;1.2198;1.215;1.215;9250;1.2197
29.11.2021;10:18:00-000;1.2195;1.2195;1.215;1.215;3109;1.2194
29.11.2021;10:19:00-000;1.22;1.22;1.22;1.22;2163;1.22
29.11.2021;10:20:00-000;1.22;1.22;1.215;1.215;726;1.2171
29.11.2021;10:22:00-000;1.2199;1.2199;1.2199;1.2199;109;1.2198
29.11.2021;10:24:00-000;1.2101;1.2101;1.2101;1.2101;109;1.2105
