Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;13.62;13.625;13.62;13.625;7064;13.6201
29.11.2021;09:31:00-000;13.64;13.64;13.64;13.64;160;13.6368
29.11.2021;09:33:00-000;13.6371;13.6371;13.59;13.59;1816;13.6237
29.11.2021;09:34:00-000;13.6;13.6;13.5543;13.5543;1284;13.565
29.11.2021;09:35:00-000;13.585;13.6018;13.585;13.6018;200;13.5934
29.11.2021;09:36:00-000;13.57;13.6099;13.57;13.6099;301;13.5966
29.11.2021;09:37:00-000;13.61;13.61;13.61;13.61;200;13.61
29.11.2021;09:38:00-000;13.63;13.63;13.63;13.63;735;13.63
29.11.2021;09:39:00-000;13.629;13.63;13.629;13.629;7300;13.6299
29.11.2021;09:40:00-000;13.6;13.6;13.6;13.6;701;13.6
29.11.2021;09:41:00-000;13.61;13.6287;13.61;13.6287;218;13.62
29.11.2021;09:42:00-000;13.63;13.65;13.61;13.61;2739;13.6328
29.11.2021;09:43:00-000;13.61;13.61;13.61;13.61;111;13.611
29.11.2021;09:44:00-000;13.59;13.59;13.5866;13.5866;1654;13.5899
29.11.2021;09:45:00-000;13.59;13.59;13.59;13.59;238;13.5916
29.11.2021;09:46:00-000;13.59;13.59;13.58;13.58;1266;13.581
29.11.2021;09:47:00-000;13.5898;13.5898;13.5898;13.5898;2011;13.5896
29.11.2021;09:49:00-000;13.59;13.6;13.59;13.6;309;13.5965
29.11.2021;09:51:00-000;13.605;13.605;13.605;13.605;100;13.605
29.11.2021;09:53:00-000;13.605;13.605;13.6007;13.6007;630;13.6023
29.11.2021;09:54:00-000;13.59;13.595;13.59;13.595;430;13.5919
29.11.2021;09:55:00-000;13.58;13.585;13.58;13.585;1294;13.5802
29.11.2021;09:56:00-000;13.6;13.6;13.59;13.59;4080;13.5994
29.11.2021;09:57:00-000;13.59;13.594;13.5837;13.594;525;13.5886
29.11.2021;10:02:00-000;13.585;13.585;13.57;13.57;2732;13.5705
29.11.2021;10:05:00-000;13.6;13.6;13.6;13.6;179;13.6
29.11.2021;10:06:00-000;13.58;13.58;13.58;13.58;120;13.5815
29.11.2021;10:07:00-000;13.6;13.6;13.6;13.6;201;13.5998
29.11.2021;10:10:00-000;13.5938;13.5938;13.585;13.585;3100;13.5935
29.11.2021;10:12:00-000;13.57;13.57;13.56;13.56;418;13.5698
29.11.2021;10:13:00-000;13.58;13.58;13.58;13.58;2900;13.58
29.11.2021;10:19:00-000;13.54;13.56;13.54;13.56;262;13.5524
29.11.2021;10:20:00-000;13.55;13.55;13.55;13.55;110;13.5517
29.11.2021;10:21:00-000;13.56;13.56;13.56;13.56;430;13.5606
29.11.2021;10:26:00-000;13.56;13.56;13.56;13.56;100;13.56
29.11.2021;10:28:00-000;13.55;13.55;13.55;13.55;258;13.5549
