Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;84.11;84.11;84.11;84.11;400;84.2248
29.11.2021;09:36:00-000;83.2856;83.2856;83.2856;83.2856;143;83.4968
29.11.2021;09:45:00-000;83.77;83.77;83.77;83.77;106;83.8165
29.11.2021;09:47:00-000;83.24;83.24;83.19;83.19;899;83.1184
29.11.2021;09:48:00-000;83;83;83;83;358;82.9901
29.11.2021;09:51:00-000;82.96;83.07;82.96;83.07;829;83.0343
29.11.2021;10:10:00-000;82.5;82.5;82.5;82.5;328;82.4909
29.11.2021;10:40:00-000;82;82;82;82;472;81.9997
29.11.2021;11:29:00-000;82.26;82.26;82.26;82.26;215;82.2543
29.11.2021;11:31:00-000;82.5;82.5;82.5;82.5;824;82.4999
29.11.2021;11:48:00-000;82.89;82.89;82.89;82.89;304;82.8928
29.11.2021;12:34:00-000;83.31;83.31;83.31;83.31;156;83.3131
29.11.2021;12:48:00-000;83.23;83.23;83.23;83.23;106;83.2425
29.11.2021;12:49:00-000;83.49;83.5;83.49;83.5;251;83.4963
29.11.2021;12:58:00-000;83.0308;83.0308;83.0308;83.0308;188;83.0461
29.11.2021;13:22:00-000;82.88;82.88;82.88;82.88;408;82.8533
29.11.2021;13:48:00-000;82.795;82.795;82.795;82.795;101;82.7972
29.11.2021;14:22:00-000;82.64;82.64;82.64;82.64;333;82.6423
29.11.2021;14:33:00-000;82.64;82.64;82.64;82.64;118;82.6747
29.11.2021;14:41:00-000;82.79;82.79;82.79;82.79;107;82.7928
29.11.2021;14:51:00-000;82.67;82.67;82.67;82.67;118;82.6886
29.11.2021;14:56:00-000;82.835;82.835;82.835;82.835;503;82.8362
29.11.2021;15:07:00-000;82.7;83.12;82.7;83.12;244;82.9376
29.11.2021;15:28:00-000;82.78;82.78;82.645;82.65;312;82.6908
29.11.2021;15:30:00-000;82.5;82.5;82.5;82.5;493;82.5023
29.11.2021;15:37:00-000;82.55;82.55;82.55;82.55;109;82.5492
29.11.2021;15:40:00-000;82.58;82.58;82.58;82.58;216;82.579
29.11.2021;15:42:00-000;82.4825;82.4825;82.31;82.31;853;82.4119
29.11.2021;15:45:00-000;82.2;82.2;82.19;82.19;557;82.2038
29.11.2021;15:52:00-000;82.295;82.295;82.295;82.295;152;82.3058
29.11.2021;15:53:00-000;82.38;82.38;82.38;82.38;121;82.3718
29.11.2021;15:54:00-000;82.28;82.28;82.28;82.28;192;82.2767
29.11.2021;15:55:00-000;82.4;82.4;82.4;82.4;343;82.4281
29.11.2021;15:57:00-000;82.66;82.66;82.385;82.385;440;82.5723
29.11.2021;15:59:00-000;82.4;82.47;82.31;82.47;1508;82.4391
29.11.2021;16:00:00-000;82.63;82.63;82.63;82.63;3952;82.6298
29.11.2021;16:02:00-000;82.63;82.63;82.63;82.63;165;82.63
29.11.2021;16:10:00-000;82.63;82.63;82.63;82.63;0;0
29.11.2021;18:30:00-000;82.63;82.63;82.63;82.63;0;0
29.11.2021;19:00:00-000;82.63;82.63;82.63;82.63;0;0
