Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:00:00-000;3.73;3.73;3.56;3.56;486;3.6128
29.11.2021;09:30:00-000;3.68;3.7196;3.68;3.7196;1591;3.6892
29.11.2021;09:38:00-000;3.68;3.68;3.66;3.66;3985;3.6766
29.11.2021;09:40:00-000;3.66;3.6606;3.66;3.6606;2323;3.6605
29.11.2021;09:43:00-000;3.6805;3.6805;3.6805;3.6805;200;3.6805
29.11.2021;09:46:00-000;3.6188;3.6188;3.6188;3.6188;225;3.6251
29.11.2021;09:49:00-000;3.645;3.645;3.645;3.645;1000;3.645
29.11.2021;09:50:00-000;3.645;3.645;3.645;3.645;1535;3.645
29.11.2021;09:57:00-000;3.67;3.68;3.67;3.68;300;3.6765
29.11.2021;10:04:00-000;3.6787;3.6787;3.6787;3.6787;134;3.6787
29.11.2021;10:06:00-000;3.61;3.61;3.61;3.61;204;3.6113
29.11.2021;10:08:00-000;3.64;3.64;3.64;3.64;180;3.6391
29.11.2021;10:10:00-000;3.64;3.64;3.64;3.64;112;3.6379
29.11.2021;10:23:00-000;3.67;3.67;3.67;3.67;457;3.6695
29.11.2021;10:34:00-000;3.62;3.68;3.62;3.62;2812;3.6227
29.11.2021;10:36:00-000;3.62;3.68;3.62;3.68;631;3.6296
29.11.2021;10:38:00-000;3.62;3.67;3.58;3.63;806;3.6212
29.11.2021;10:44:00-000;3.6199;3.6199;3.6199;3.6199;400;3.6199
29.11.2021;10:46:00-000;3.595;3.595;3.595;3.595;104;3.5944
29.11.2021;10:47:00-000;3.5701;3.5701;3.5701;3.5701;100;3.5701
29.11.2021;10:48:00-000;3.57;3.57;3.57;3.57;251;3.57
29.11.2021;10:52:00-000;3.5805;3.5805;3.5805;3.5805;534;3.5805
29.11.2021;10:54:00-000;3.58;3.6;3.58;3.5988;659;3.5933
29.11.2021;11:01:00-000;3.6;3.6;3.6;3.6;501;3.5995
29.11.2021;11:02:00-000;3.6;3.6;3.6;3.6;125;3.6
29.11.2021;11:03:00-000;3.6;3.6;3.6;3.6;167;3.6
29.11.2021;11:14:00-000;3.614;3.62;3.614;3.62;255;3.6168
29.11.2021;11:19:00-000;3.6;3.6;3.6;3.6;100;3.6
29.11.2021;11:22:00-000;3.615;3.615;3.615;3.615;1000;3.615
29.11.2021;11:26:00-000;3.63;3.63;3.63;3.63;400;3.63
29.11.2021;11:33:00-000;3.62;3.62;3.62;3.62;220;3.6191
29.11.2021;11:34:00-000;3.62;3.62;3.62;3.62;101;3.6199
29.11.2021;11:36:00-000;3.6;3.6;3.6;3.6;600;3.6
29.11.2021;11:50:00-000;3.6177;3.6177;3.6177;3.6177;3850;3.6177
29.11.2021;12:00:00-000;3.61;3.61;3.61;3.61;254;3.61
29.11.2021;12:18:00-000;3.6;3.6;3.6;3.6;300;3.6
29.11.2021;12:19:00-000;3.64;3.64;3.64;3.64;101;3.6398
29.11.2021;12:22:00-000;3.5901;3.5901;3.5901;3.5901;100;3.5901
29.11.2021;12:41:00-000;3.64;3.64;3.64;3.64;107;3.6367
29.11.2021;12:42:00-000;3.6593;3.6593;3.6593;3.6593;115;3.6555
29.11.2021;12:49:00-000;3.6018;3.6018;3.6018;3.6018;1010;3.602
29.11.2021;13:00:00-000;3.67;3.67;3.67;3.67;157;3.673
29.11.2021;13:03:00-000;3.62;3.62;3.62;3.62;700;3.62
29.11.2021;13:07:00-000;3.66;3.67;3.66;3.67;380;3.6626
29.11.2021;13:12:00-000;3.66;3.66;3.66;3.66;229;3.66
29.11.2021;13:13:00-000;3.67;3.67;3.67;3.67;195;3.6699
29.11.2021;13:18:00-000;3.61;3.61;3.6;3.6;709;3.6084
29.11.2021;13:19:00-000;3.59;3.59;3.585;3.585;712;3.5866
29.11.2021;13:22:00-000;3.58;3.581;3.58;3.581;301;3.5807
