Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:54:00-000;28.1;28.1;28.1;28.1;1530;28.1
29.11.2021;04:56:00-000;28.1;28.1;28.1;28.1;956;28.1
29.11.2021;04:57:00-000;28.19;28.19;28.19;28.19;410;28.19
29.11.2021;05:10:00-000;28.14;28.14;28.14;28.14;214;28.1413
29.11.2021;05:14:00-000;28.19;28.19;28.19;28.19;200;28.19
29.11.2021;05:27:00-000;28.17;28.17;28.17;28.17;255;28.1761
29.11.2021;05:34:00-000;28.19;28.19;28.19;28.19;355;28.1896
29.11.2021;05:53:00-000;28.19;28.19;28.19;28.19;100;28.19
29.11.2021;05:58:00-000;28.19;28.19;28.19;28.19;109;28.1892
29.11.2021;05:59:00-000;28.16;28.16;28.16;28.16;413;28.1637
29.11.2021;06:00:00-000;28.16;28.17;28.16;28.16;1509;28.1653
29.11.2021;06:07:00-000;28.19;28.19;28.19;28.19;200;28.19
29.11.2021;06:23:00-000;28.14;28.14;28.14;28.14;301;28.144
29.11.2021;06:25:00-000;28.19;28.19;28.19;28.19;700;28.1902
29.11.2021;06:57:00-000;28.2;28.2;28.2;28.2;420;28.2
29.11.2021;06:59:00-000;28.28;28.28;28.28;28.28;200;28.2692
29.11.2021;07:09:00-000;28.28;28.28;28.28;28.28;140;28.28
29.11.2021;07:14:00-000;28.29;28.3;28.29;28.3;1001;28.2931
29.11.2021;07:18:00-000;28.31;28.31;28.31;28.31;274;28.3029
29.11.2021;07:39:00-000;28.31;28.31;28.31;28.31;445;28.3224
29.11.2021;07:43:00-000;28.35;28.35;28.35;28.35;502;28.3498
29.11.2021;08:00:00-000;28.3099;28.3101;28.3;28.3;674;28.3065
29.11.2021;08:15:00-000;28.29;28.3;28.29;28.3;311;28.2968
29.11.2021;08:17:00-000;28.32;28.35;28.32;28.35;1090;28.3317
29.11.2021;08:18:00-000;28.36;28.36;28.36;28.36;151;28.3601
29.11.2021;08:22:00-000;28.34;28.34;28.34;28.34;451;28.3378
29.11.2021;08:25:00-000;28.32;28.32;28.29;28.29;607;28.3002
29.11.2021;08:31:00-000;28.31;28.32;28.31;28.32;600;28.3122
29.11.2021;08:40:00-000;28.3;28.3;28.27;28.27;1919;28.2882
29.11.2021;08:41:00-000;28.28;28.29;28.28;28.29;999;28.2897
29.11.2021;08:44:00-000;28.3;28.3;28.3;28.3;101;28.3
29.11.2021;08:48:00-000;28.31;28.31;28.31;28.31;505;28.3099
29.11.2021;08:53:00-000;28.35;28.35;28.35;28.35;215;28.3486
