Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:58:00-000;1.84;1.84;1.84;1.84;195;1.84
29.11.2021;09:30:00-000;1.8;1.8;1.8;1.8;3508;1.8
29.11.2021;09:32:00-000;1.805;1.805;1.805;1.805;250;1.8048
29.11.2021;09:34:00-000;1.81;1.81;1.81;1.81;2656;1.81
29.11.2021;09:35:00-000;1.81;1.81;1.79;1.79;824;1.8005
29.11.2021;09:36:00-000;1.79;1.79;1.79;1.79;1600;1.79
29.11.2021;09:39:00-000;1.7842;1.7842;1.77;1.78;8152;1.7804
29.11.2021;09:40:00-000;1.76;1.77;1.76;1.77;1473;1.7658
29.11.2021;09:41:00-000;1.75;1.75;1.75;1.75;12350;1.75
29.11.2021;09:42:00-000;1.7668;1.7668;1.7668;1.7668;559;1.7657
29.11.2021;09:49:00-000;1.765;1.77;1.75;1.76;1851;1.7627
29.11.2021;09:54:00-000;1.77;1.79;1.77;1.79;4249;1.7714
29.11.2021;09:55:00-000;1.785;1.785;1.785;1.785;500;1.785
29.11.2021;09:58:00-000;1.7892;1.7892;1.7831;1.7831;3150;1.7889
29.11.2021;09:59:00-000;1.785;1.785;1.785;1.785;500;1.785
29.11.2021;10:02:00-000;1.7719;1.7719;1.7719;1.7719;1400;1.7719
29.11.2021;10:03:00-000;1.78;1.78;1.78;1.78;1100;1.78
29.11.2021;10:15:00-000;1.77;1.78;1.77;1.78;1750;1.7787
29.11.2021;10:17:00-000;1.7616;1.7795;1.7616;1.7795;3300;1.7629
29.11.2021;10:23:00-000;1.77;1.78;1.77;1.78;2100;1.7705
29.11.2021;10:24:00-000;1.77;1.77;1.76;1.76;2713;1.7637
29.11.2021;10:28:00-000;1.76;1.761;1.75;1.761;8770;1.7583
29.11.2021;10:35:00-000;1.76;1.76;1.76;1.76;100;1.76
29.11.2021;10:36:00-000;1.765;1.77;1.76;1.76;2400;1.7675
29.11.2021;10:38:00-000;1.76;1.76;1.76;1.76;200;1.76
29.11.2021;10:39:00-000;1.755;1.755;1.755;1.755;500;1.755
29.11.2021;10:44:00-000;1.76;1.76;1.76;1.76;1000;1.76
