Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;12.41;12.43;12.34;12.34;7318;12.3972
29.11.2021;09:31:00-000;12.33;12.33;12.33;12.33;2484;12.3302
29.11.2021;09:32:00-000;12.36;12.36;12.34;12.34;200;12.35
29.11.2021;09:33:00-000;12.35;12.4;12.35;12.4;1016;12.3662
29.11.2021;09:34:00-000;12.41;12.41;12.4;12.4;468;12.4048
29.11.2021;09:35:00-000;12.385;12.39;12.385;12.39;801;12.388
29.11.2021;09:36:00-000;12.4;12.4;12.4;12.4;603;12.4
29.11.2021;09:37:00-000;12.39;12.4;12.39;12.4;520;12.3977
29.11.2021;09:38:00-000;12.41;12.44;12.41;12.415;4219;12.4252
29.11.2021;09:39:00-000;12.42;12.42;12.395;12.4;1437;12.4041
29.11.2021;09:40:00-000;12.4;12.41;12.4;12.41;1658;12.4055
29.11.2021;09:41:00-000;12.41;12.41;12.38;12.395;3527;12.39
29.11.2021;09:42:00-000;12.41;12.41;12.38;12.38;1232;12.3889
29.11.2021;09:43:00-000;12.38;12.4;12.375;12.4;1854;12.3866
29.11.2021;09:44:00-000;12.41;12.42;12.4;12.405;4200;12.4139
29.11.2021;09:45:00-000;12.4;12.4;12.375;12.39;3090;12.3859
29.11.2021;09:46:00-000;12.4;12.43;12.4;12.41;2260;12.4134
29.11.2021;09:47:00-000;12.41;12.41;12.41;12.41;603;12.41
29.11.2021;09:48:00-000;12.39;12.3999;12.39;12.3999;501;12.392
29.11.2021;09:49:00-000;12.395;12.4;12.39;12.39;800;12.3919
29.11.2021;09:50:00-000;12.39;12.4;12.39;12.395;2601;12.392
29.11.2021;09:51:00-000;12.39;12.4;12.38;12.4;5890;12.3911
29.11.2021;09:52:00-000;12.39;12.39;12.39;12.39;1000;12.39
29.11.2021;09:53:00-000;12.39;12.39;12.34;12.34;2196;12.366
29.11.2021;09:54:00-000;12.33;12.36;12.325;12.345;2018;12.3382
29.11.2021;09:55:00-000;12.33;12.33;12.33;12.33;525;12.3409
29.11.2021;09:56:00-000;12.34;12.34;12.34;12.34;2127;12.34
29.11.2021;09:58:00-000;12.3243;12.3243;12.3243;12.3243;1585;12.3242
29.11.2021;09:59:00-000;12.33;12.33;12.33;12.33;403;12.3307
29.11.2021;10:00:00-000;12.32;12.32;12.32;12.32;901;12.32
29.11.2021;10:01:00-000;12.3;12.32;12.3;12.32;1848;12.304
29.11.2021;10:02:00-000;12.33;12.34;12.33;12.34;1376;12.338
29.11.2021;10:03:00-000;12.33;12.33;12.33;12.33;1824;12.3301
29.11.2021;10:04:00-000;12.34;12.36;12.34;12.36;625;12.3537
29.11.2021;10:05:00-000;12.37;12.37;12.37;12.37;1105;12.37
29.11.2021;10:06:00-000;12.355;12.355;12.335;12.34;1625;12.345
29.11.2021;10:07:00-000;12.36;12.36;12.36;12.36;1297;12.36
29.11.2021;10:08:00-000;12.365;12.365;12.365;12.365;135;12.3663
29.11.2021;10:09:00-000;12.36;12.37;12.36;12.37;1727;12.3686
29.11.2021;10:10:00-000;12.3603;12.3603;12.35;12.35;2712;12.3582
29.11.2021;10:13:00-000;12.34;12.35;12.33;12.35;6693;12.3483
29.11.2021;10:14:00-000;12.34;12.35;12.34;12.3499;1508;12.3466
29.11.2021;10:15:00-000;12.35;12.35;12.35;12.35;427;12.3506
29.11.2021;10:16:00-000;12.361;12.361;12.35;12.35;13526;12.3505
29.11.2021;10:17:00-000;12.34;12.34;12.33;12.33;905;12.3356
29.11.2021;10:18:00-000;12.33;12.33;12.33;12.33;876;12.33
29.11.2021;10:20:00-000;12.32;12.32;12.32;12.32;203;12.32
