Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;67.15;67.61;67.15;67.24;4221;67.1933
29.11.2021;09:38:00-000;66.9101;66.9101;66.9101;66.9101;1572;66.9144
29.11.2021;09:39:00-000;67.225;67.225;67.225;67.225;264;67.2312
29.11.2021;09:44:00-000;67.48;67.54;67.48;67.54;1033;67.5385
29.11.2021;09:45:00-000;67.9277;67.9277;67.9277;67.9277;750;67.9273
29.11.2021;09:46:00-000;67.555;67.555;67.555;67.555;100;67.555
29.11.2021;09:47:00-000;67.618;67.618;67.618;67.618;411;67.6189
29.11.2021;09:53:00-000;67.475;67.475;67.475;67.475;125;67.4993
29.11.2021;09:57:00-000;67.43;67.43;67.43;67.43;101;67.4309
29.11.2021;09:58:00-000;67.53;67.53;67.53;67.53;138;67.5227
29.11.2021;09:59:00-000;67.51;67.53;67.51;67.53;1031;67.5285
29.11.2021;10:00:00-000;67.755;67.9417;67.755;67.9417;236;67.8626
29.11.2021;10:04:00-000;67.873;67.873;67.873;67.873;261;67.8634
29.11.2021;10:05:00-000;67.92;67.92;67.92;67.92;231;67.885
29.11.2021;10:08:00-000;67.75;67.75;67.62;67.62;1175;67.7432
29.11.2021;10:10:00-000;67.66;67.66;67.66;67.66;104;67.6596
29.11.2021;10:11:00-000;67.54;67.54;67.54;67.54;304;67.5452
29.11.2021;10:19:00-000;67.69;67.73;67.69;67.73;806;67.7024
29.11.2021;10:20:00-000;67.6;67.6;67.6;67.6;212;67.611
29.11.2021;10:26:00-000;67.655;67.655;67.655;67.655;127;67.6707
29.11.2021;10:30:00-000;67.8;67.8;67.8;67.8;182;67.7754
29.11.2021;10:31:00-000;67.6;67.6;67.6;67.6;105;67.6006
29.11.2021;10:37:00-000;67.41;67.42;67.41;67.41;779;67.4115
29.11.2021;10:38:00-000;67.23;67.23;67.23;67.23;509;67.2327
29.11.2021;10:40:00-000;67.5;67.5;67.46;67.5;523;67.43
29.11.2021;10:43:00-000;67.29;67.5;67.29;67.36;658;67.3537
29.11.2021;10:48:00-000;67.3333;67.3333;67.14;67.14;313;67.2767
29.11.2021;10:49:00-000;67.06;67.06;67.06;67.06;155;67.0686
29.11.2021;10:56:00-000;67.115;67.115;67.115;67.115;247;67.0818
29.11.2021;10:57:00-000;67.0276;67.0276;67.0276;67.0276;294;67.0282
29.11.2021;11:00:00-000;67.01;67.01;66.93;66.93;456;66.9777
29.11.2021;11:01:00-000;67.02;67.02;67.02;67.02;174;67.0303
29.11.2021;11:04:00-000;67.05;67.06;67.03;67.06;623;67.048
29.11.2021;11:05:00-000;67.12;67.12;67.12;67.12;234;67.12
29.11.2021;11:07:00-000;67.33;67.33;67.33;67.33;100;67.33
29.11.2021;11:08:00-000;67.275;67.275;67.275;67.275;114;67.2734
29.11.2021;11:11:00-000;67.3751;67.3751;67.3751;67.3751;2674;67.3743
29.11.2021;11:13:00-000;67.45;67.45;67.45;67.45;234;67.4069
29.11.2021;11:19:00-000;67.46;67.46;67.46;67.46;323;67.4009
29.11.2021;11:21:00-000;67.47;67.48;67.47;67.48;244;67.4759
29.11.2021;11:22:00-000;67.41;67.48;67.4;67.48;435;67.4446
29.11.2021;11:25:00-000;67.4;67.405;67.4;67.405;689;67.4141
29.11.2021;11:26:00-000;67.34;67.45;67.34;67.45;453;67.4173
29.11.2021;11:27:00-000;67.36;67.36;67.36;67.36;257;67.3326
29.11.2021;11:29:00-000;67.365;67.365;67.365;67.365;100;67.365
29.11.2021;11:31:00-000;67.35;67.35;67.35;67.35;173;67.3822
29.11.2021;11:36:00-000;67.43;67.47;67.43;67.47;897;67.4425
29.11.2021;11:37:00-000;67.495;67.56;67.495;67.56;302;67.5168
29.11.2021;11:38:00-000;67.595;67.595;67.595;67.595;144;67.5893
29.11.2021;11:41:00-000;67.53;67.53;67.53;67.53;333;67.5412
29.11.2021;11:42:00-000;67.53;67.59;67.53;67.53;334;67.5535
29.11.2021;11:44:00-000;67.56;67.56;67.56;67.56;137;67.5755
29.11.2021;11:47:00-000;67.565;67.565;67.565;67.565;107;67.5647
29.11.2021;11:49:00-000;67.53;67.53;67.53;67.53;286;67.5437
29.11.2021;11:50:00-000;67.48;67.48;67.48;67.48;416;67.4806
29.11.2021;11:54:00-000;67.45;67.45;67.45;67.45;108;67.4515
29.11.2021;11:55:00-000;67.54;67.54;67.515;67.515;582;67.5297
29.11.2021;11:56:00-000;67.495;67.495;67.38;67.475;1561;67.4076
29.11.2021;11:58:00-000;67.47;67.47;67.47;67.47;103;67.47
29.11.2021;11:59:00-000;67.54;67.54;67.54;67.54;102;67.5388
29.11.2021;12:03:00-000;67.54;67.54;67.54;67.54;540;67.546
29.11.2021;12:04:00-000;67.58;67.6695;67.58;67.6695;714;67.6283
29.11.2021;12:09:00-000;67.75;67.75;67.75;67.75;329;67.7524
29.11.2021;12:18:00-000;67.93;67.93;67.86;67.86;310;67.8932
29.11.2021;12:20:00-000;67.8561;67.8561;67.8561;67.8561;305;67.8647
29.11.2021;12:22:00-000;67.8438;67.8438;67.8438;67.8438;335;67.8449
29.11.2021;12:23:00-000;67.83;67.83;67.83;67.83;101;67.8303
29.11.2021;12:24:00-000;67.78;67.8;67.78;67.8;673;67.7927
29.11.2021;12:26:00-000;67.86;67.86;67.86;67.86;313;67.8697
29.11.2021;12:33:00-000;67.816;67.84;67.78;67.8329;2923;67.8129
29.11.2021;12:35:00-000;67.8275;67.89;67.8275;67.89;409;67.8488
29.11.2021;12:38:00-000;67.85;67.87;67.85;67.865;810;67.8677
29.11.2021;12:48:00-000;67.82;67.82;67.8;67.8;495;67.8355
29.11.2021;12:50:00-000;67.84;67.9;67.8;67.8;800;67.8224
29.11.2021;13:00:00-000;67.86;67.87;67.86;67.87;303;67.8505
29.11.2021;13:10:00-000;67.94;67.97;67.94;67.97;472;67.951
29.11.2021;13:11:00-000;67.97;67.97;67.97;67.97;106;67.9688
29.11.2021;13:15:00-000;67.88;67.88;67.81;67.81;916;67.8351
29.11.2021;13:17:00-000;67.81;67.81;67.81;67.81;103;67.8088
29.11.2021;13:18:00-000;67.76;67.76;67.76;67.76;108;67.76
29.11.2021;13:22:00-000;67.75;67.77;67.74;67.77;621;67.7509
29.11.2021;13:23:00-000;67.76;67.8;67.76;67.8;1249;67.7805
29.11.2021;13:29:00-000;67.84;67.84;67.715;67.715;644;67.7425
29.11.2021;13:34:00-000;67.82;67.82;67.8;67.8;202;67.8101
29.11.2021;13:35:00-000;67.72;67.73;67.72;67.73;800;67.7114
29.11.2021;13:38:00-000;67.73;67.73;67.65;67.65;382;67.6912
29.11.2021;13:40:00-000;67.58;67.58;67.58;67.58;259;67.5734
29.11.2021;13:45:00-000;67.57;67.63;67.57;67.63;712;67.5878
29.11.2021;13:47:00-000;67.65;67.65;67.64;67.64;336;67.6756
29.11.2021;13:49:00-000;67.72;67.72;67.72;67.72;112;67.7104
29.11.2021;13:52:00-000;67.635;67.635;67.635;67.635;105;67.6333
29.11.2021;13:56:00-000;67.675;67.675;67.675;67.675;103;67.6769
29.11.2021;13:57:00-000;67.75;67.75;67.75;67.75;186;67.722
29.11.2021;14:00:00-000;67.56;67.6;67.56;67.6;1102;67.6062
29.11.2021;14:02:00-000;67.52;67.52;67.52;67.52;128;67.5271
29.11.2021;14:04:00-000;67.55;67.61;67.55;67.61;507;67.5741
29.11.2021;14:06:00-000;67.69;67.69;67.69;67.69;101;67.6896
29.11.2021;14:08:00-000;67.68;67.68;67.68;67.68;209;67.6811
29.11.2021;14:14:00-000;67.79;67.79;67.79;67.79;101;67.7892
29.11.2021;14:15:00-000;67.66;67.66;67.64;67.64;834;67.6515
29.11.2021;14:17:00-000;67.54;67.54;67.54;67.54;118;67.5426
29.11.2021;14:18:00-000;67.59;67.59;67.59;67.59;260;67.582
29.11.2021;14:24:00-000;67.48;67.48;67.38;67.38;1576;67.4141
29.11.2021;14:29:00-000;67.52;67.52;67.52;67.52;107;67.5221
29.11.2021;14:30:00-000;67.52;67.52;67.52;67.52;194;67.5219
29.11.2021;14:31:00-000;67.59;67.59;67.59;67.59;100;67.59
29.11.2021;14:33:00-000;67.58;67.58;67.58;67.58;105;67.582
29.11.2021;14:34:00-000;67.5772;67.5772;67.5;67.5;276;67.5483
29.11.2021;14:36:00-000;67.52;67.52;67.52;67.52;122;67.5256
29.11.2021;14:37:00-000;67.575;67.575;67.575;67.575;416;67.564
29.11.2021;14:38:00-000;67.57;67.57;67.57;67.57;331;67.5652
29.11.2021;14:39:00-000;67.57;67.57;67.57;67.57;609;67.5695
29.11.2021;14:41:00-000;67.56;67.56;67.56;67.56;204;67.5425
29.11.2021;14:42:00-000;67.6001;67.6001;67.6001;67.6001;371;67.5924
29.11.2021;14:43:00-000;67.56;67.58;67.54;67.57;725;67.557
29.11.2021;14:44:00-000;67.59;67.66;67.59;67.66;971;67.6105
29.11.2021;14:45:00-000;67.62;67.65;67.62;67.65;640;67.6306
29.11.2021;14:46:00-000;67.63;67.72;67.63;67.72;1588;67.6631
29.11.2021;14:47:00-000;67.705;67.86;67.705;67.86;2076;67.7928
29.11.2021;14:48:00-000;67.8;67.99;67.8;67.99;2758;67.8574
29.11.2021;14:49:00-000;68;68;67.87;67.88;3214;67.9038
29.11.2021;14:53:00-000;67.87;67.87;67.87;67.87;456;67.8324
29.11.2021;14:54:00-000;67.74;67.74;67.71;67.715;805;67.7193
29.11.2021;14:55:00-000;67.735;67.735;67.735;67.735;116;67.7322
29.11.2021;14:58:00-000;67.81;67.81;67.81;67.81;150;67.8111
29.11.2021;14:59:00-000;67.83;67.92;67.83;67.92;1579;67.8741
29.11.2021;15:00:00-000;67.865;67.865;67.815;67.815;433;67.8484
29.11.2021;15:04:00-000;67.87;67.87;67.87;67.87;250;67.8924
29.11.2021;15:05:00-000;67.83;67.83;67.8;67.8;512;67.8279
29.11.2021;15:07:00-000;67.87;67.87;67.87;67.87;722;67.8699
29.11.2021;15:08:00-000;67.755;67.755;67.755;67.755;280;67.7594
29.11.2021;15:10:00-000;67.74;67.74;67.74;67.74;120;67.7401
29.11.2021;15:12:00-000;67.63;67.67;67.58;67.58;383;67.6218
29.11.2021;15:14:00-000;67.4901;67.4901;67.4901;67.4901;150;67.4912
29.11.2021;15:15:00-000;67.68;67.68;67.68;67.68;143;67.6518
29.11.2021;15:17:00-000;67.6;67.6;67.6;67.6;207;67.6265
29.11.2021;15:18:00-000;67.67;67.67;67.67;67.67;238;67.6652
29.11.2021;15:20:00-000;67.55;67.55;67.48;67.48;733;67.5048
29.11.2021;15:21:00-000;67.5;67.54;67.49;67.49;1007;67.5023
29.11.2021;15:23:00-000;67.63;67.63;67.62;67.63;868;67.6189
29.11.2021;15:24:00-000;67.61;67.61;67.61;67.61;224;67.6283
29.11.2021;15:27:00-000;67.66;67.66;67.66;67.66;236;67.6615
29.11.2021;15:30:00-000;67.57;67.57;67.45;67.51;1216;67.5066
29.11.2021;15:31:00-000;67.51;67.51;67.51;67.51;197;67.4487
29.11.2021;15:32:00-000;67.45;67.45;67.3;67.3;372;67.3655
29.11.2021;15:33:00-000;67.43;67.43;67.43;67.43;305;67.4212
29.11.2021;15:36:00-000;67.34;67.34;67.32;67.32;1054;67.3373
29.11.2021;15:37:00-000;67.37;67.45;67.37;67.43;1010;67.4037
29.11.2021;15:42:00-000;67.37;67.39;67.35;67.39;678;67.3716
29.11.2021;15:43:00-000;67.3;67.3;67.27;67.28;915;67.2874
29.11.2021;15:44:00-000;67.33;67.352;67.26;67.26;2684;67.3214
29.11.2021;15:45:00-000;67.25;67.25;67.25;67.25;183;67.2511
29.11.2021;15:46:00-000;67.21;67.23;67.21;67.23;301;67.2392
29.11.2021;15:47:00-000;67.21;67.23;67.21;67.23;227;67.226
29.11.2021;15:48:00-000;67.2;67.2;67.2;67.2;167;67.2425
29.11.2021;15:49:00-000;67.295;67.34;67.295;67.34;792;67.316
29.11.2021;15:50:00-000;67.37;67.4;67.35;67.4;1366;67.3773
29.11.2021;15:51:00-000;67.43;67.43;67.43;67.43;312;67.4296
29.11.2021;15:52:00-000;67.39;67.465;67.38;67.465;921;67.3917
29.11.2021;15:53:00-000;67.41;67.42;67.41;67.42;316;67.4131
29.11.2021;15:54:00-000;67.52;67.56;67.45;67.5;2260;67.5163
29.11.2021;15:55:00-000;67.56;67.56;67.47;67.47;944;67.518
29.11.2021;15:56:00-000;67.525;67.62;67.525;67.62;1338;67.5706
29.11.2021;15:57:00-000;67.615;67.64;67.56;67.57;2861;67.5994
29.11.2021;15:58:00-000;67.57;67.63;67.52;67.63;1600;67.5651
29.11.2021;15:59:00-000;67.57;67.57;67.4;67.44;8588;67.5073
29.11.2021;16:00:00-000;67.43;67.43;67.43;67.43;39677;67.43
