Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:32:00-000;15.55;15.59;15.55;15.59;17232;15.5503
29.11.2021;09:33:00-000;15.605;15.7099;15.52;15.605;528;15.6034
29.11.2021;09:34:00-000;15.605;15.61;15.53;15.61;1400;15.595
29.11.2021;09:35:00-000;15.605;15.68;15.605;15.68;1500;15.655
29.11.2021;09:36:00-000;15.55;15.55;15.54;15.54;710;15.5428
29.11.2021;09:37:00-000;15.52;15.52;15.52;15.52;200;15.5695
29.11.2021;09:39:00-000;15.52;15.52;15.52;15.52;200;15.52
29.11.2021;09:40:00-000;15.52;15.52;15.52;15.52;150;15.543
29.11.2021;09:41:00-000;15.52;15.555;15.52;15.555;398;15.5461
29.11.2021;09:42:00-000;15.5824;15.5824;15.5824;15.5824;871;15.5794
29.11.2021;09:43:00-000;15.54;15.54;15.52;15.52;413;15.5422
29.11.2021;09:44:00-000;15.52;15.52;15.5;15.51;2102;15.5095
29.11.2021;09:45:00-000;15.51;15.51;15.51;15.51;348;15.5116
29.11.2021;09:46:00-000;15.49;15.51;15.49;15.51;400;15.505
29.11.2021;09:47:00-000;15.495;15.51;15.47;15.5;632;15.4947
29.11.2021;09:48:00-000;15.51;15.54;15.505;15.535;2690;15.5141
29.11.2021;09:49:00-000;15.51;15.51;15.51;15.51;100;15.51
29.11.2021;09:50:00-000;15.535;15.535;15.51;15.51;757;15.5136
29.11.2021;09:51:00-000;15.51;15.515;15.49;15.5;813;15.505
29.11.2021;09:53:00-000;15.4523;15.47;15.4523;15.47;2106;15.4532
29.11.2021;09:55:00-000;15.4899;15.51;15.475;15.51;1819;15.4963
29.11.2021;09:56:00-000;15.515;15.515;15.515;15.515;208;15.5203
29.11.2021;09:57:00-000;15.5;15.5287;15.5;15.515;1173;15.5187
29.11.2021;09:59:00-000;15.5;15.51;15.49;15.51;991;15.5023
29.11.2021;10:00:00-000;15.49;15.49;15.49;15.49;400;15.4892
29.11.2021;10:01:00-000;15.495;15.495;15.495;15.495;132;15.4915
29.11.2021;10:02:00-000;15.51;15.53;15.51;15.53;2386;15.5163
29.11.2021;10:03:00-000;15.52;15.52;15.52;15.52;347;15.5198
29.11.2021;10:04:00-000;15.51;15.53;15.51;15.53;1107;15.5262
29.11.2021;10:05:00-000;15.55;15.55;15.515;15.52;4259;15.5223
29.11.2021;10:07:00-000;15.51;15.51;15.47;15.47;1955;15.4964
29.11.2021;10:09:00-000;15.478;15.478;15.47;15.47;200;15.474
29.11.2021;10:10:00-000;15.48;15.5;15.48;15.5;2993;15.4898
29.11.2021;10:11:00-000;15.5;15.5;15.5;15.5;100;15.5
29.11.2021;10:12:00-000;15.51;15.51;15.465;15.465;2707;15.4903
29.11.2021;10:15:00-000;15.465;15.465;15.465;15.465;104;15.4649
29.11.2021;10:16:00-000;15.47;15.47;15.46;15.47;1092;15.4717
29.11.2021;10:17:00-000;15.45;15.46;15.44;15.46;3040;15.4454
29.11.2021;10:18:00-000;15.46;15.46;15.46;15.46;203;15.467
29.11.2021;10:20:00-000;15.45;15.45;15.45;15.45;202;15.4501
29.11.2021;10:21:00-000;15.45;15.49;15.45;15.48;2843;15.4772
29.11.2021;10:22:00-000;15.48;15.48;15.46;15.46;1390;15.471
29.11.2021;10:23:00-000;15.47;15.488;15.47;15.48;679;15.4768
29.11.2021;10:25:00-000;15.47;15.47;15.47;15.47;478;15.4703
29.11.2021;10:27:00-000;15.46;15.46;15.44;15.45;1322;15.4555
29.11.2021;10:28:00-000;15.43;15.44;15.425;15.425;912;15.4302
29.11.2021;10:29:00-000;15.41;15.41;15.41;15.41;275;15.41
29.11.2021;10:30:00-000;15.42;15.428;15.42;15.428;704;15.4197
29.11.2021;10:31:00-000;15.42;15.42;15.415;15.415;404;15.4187
29.11.2021;10:32:00-000;15.42;15.42;15.418;15.418;1056;15.4196
29.11.2021;10:33:00-000;15.415;15.415;15.39;15.4;3338;15.3972
29.11.2021;10:34:00-000;15.41;15.41;15.41;15.41;101;15.41
29.11.2021;10:35:00-000;15.41;15.43;15.41;15.43;2732;15.4198
29.11.2021;10:36:00-000;15.43;15.43;15.4;15.4;1630;15.4105
29.11.2021;10:37:00-000;15.4;15.4;15.4;15.4;173;15.4036
29.11.2021;10:38:00-000;15.4;15.4;15.4;15.4;753;15.3998
29.11.2021;10:40:00-000;15.39;15.39;15.38;15.38;843;15.3888
29.11.2021;10:41:00-000;15.386;15.39;15.38;15.38;1392;15.385
29.11.2021;10:43:00-000;15.39;15.39;15.39;15.39;836;15.39
29.11.2021;10:44:00-000;15.4;15.418;15.4;15.418;1936;15.4048
29.11.2021;10:45:00-000;15.42;15.44;15.42;15.44;2071;15.4297
29.11.2021;10:46:00-000;15.43;15.43;15.42;15.42;1018;15.4221
29.11.2021;10:47:00-000;15.42;15.42;15.41;15.42;3272;15.4188
29.11.2021;10:48:00-000;15.42;15.42;15.41;15.41;1739;15.418
29.11.2021;10:49:00-000;15.4041;15.4041;15.4041;15.4041;125;15.4041
29.11.2021;10:51:00-000;15.4;15.4;15.4;15.4;303;15.4001
29.11.2021;10:53:00-000;15.4;15.41;15.4;15.41;1130;15.4091
29.11.2021;10:54:00-000;15.41;15.41;15.4;15.4;1410;15.4062
29.11.2021;10:55:00-000;15.405;15.405;15.39;15.39;780;15.3994
29.11.2021;10:56:00-000;15.4;15.4;15.395;15.4;2482;15.3994
29.11.2021;10:57:00-000;15.41;15.43;15.41;15.41;2610;15.4146
29.11.2021;10:59:00-000;15.42;15.44;15.42;15.44;1048;15.4233
29.11.2021;11:00:00-000;15.43;15.44;15.43;15.44;955;15.4375
29.11.2021;11:01:00-000;15.45;15.45;15.435;15.44;2482;15.4387
29.11.2021;11:02:00-000;15.44;15.44;15.43;15.43;473;15.4369
29.11.2021;11:03:00-000;15.44;15.45;15.44;15.45;217;15.4454
29.11.2021;11:04:00-000;15.44;15.44;15.425;15.425;1313;15.4309
29.11.2021;11:06:00-000;15.43;15.45;15.43;15.45;3210;15.4353
29.11.2021;11:08:00-000;15.45;15.45;15.44;15.44;1322;15.4469
29.11.2021;11:09:00-000;15.449;15.45;15.449;15.45;301;15.4463
29.11.2021;11:10:00-000;15.45;15.45;15.45;15.45;420;15.4487
29.11.2021;11:11:00-000;15.45;15.45;15.448;15.448;410;15.4495
29.11.2021;11:12:00-000;15.45;15.45;15.44;15.44;1222;15.4427
29.11.2021;11:13:00-000;15.445;15.445;15.445;15.445;504;15.446
29.11.2021;11:14:00-000;15.445;15.445;15.445;15.445;104;15.4451
29.11.2021;11:15:00-000;15.45;15.45;15.445;15.45;2278;15.4493
29.11.2021;11:17:00-000;15.45;15.45;15.45;15.45;109;15.4496
29.11.2021;11:18:00-000;15.45;15.455;15.45;15.45;2892;15.4502
29.11.2021;11:19:00-000;15.4577;15.4577;15.45;15.45;342;15.4523
29.11.2021;11:20:00-000;15.4585;15.46;15.4585;15.46;993;15.4598
29.11.2021;11:21:00-000;15.455;15.455;15.455;15.455;402;15.455
29.11.2021;11:23:00-000;15.459;15.46;15.45;15.46;1668;15.4593
29.11.2021;11:24:00-000;15.465;15.5;15.465;15.475;5155;15.475
29.11.2021;11:26:00-000;15.4823;15.4825;15.48;15.48;1803;15.4807
29.11.2021;11:27:00-000;15.49;15.49;15.49;15.49;302;15.4809
29.11.2021;11:28:00-000;15.48;15.48;15.47;15.47;2040;15.4759
29.11.2021;11:29:00-000;15.465;15.465;15.46;15.46;1921;15.4576
29.11.2021;11:30:00-000;15.435;15.435;15.43;15.43;805;15.4332
29.11.2021;11:31:00-000;15.43;15.43;15.41;15.41;2371;15.4215
29.11.2021;11:32:00-000;15.415;15.415;15.4;15.4;1150;15.4069
29.11.2021;11:33:00-000;15.38;15.38;15.36;15.36;615;15.3735
29.11.2021;11:34:00-000;15.37;15.38;15.37;15.38;3670;15.3727
29.11.2021;11:35:00-000;15.38;15.39;15.38;15.39;905;15.3856
29.11.2021;11:36:00-000;15.39;15.39;15.38;15.38;2164;15.387
29.11.2021;11:37:00-000;15.38;15.38;15.38;15.38;212;15.3957
29.11.2021;11:39:00-000;15.39;15.4;15.39;15.4;1581;15.3951
29.11.2021;11:40:00-000;15.41;15.41;15.41;15.41;816;15.41
29.11.2021;11:41:00-000;15.419;15.42;15.41;15.41;2015;15.411
29.11.2021;11:43:00-000;15.415;15.415;15.415;15.415;120;15.4156
29.11.2021;11:44:00-000;15.42;15.42;15.4;15.42;2307;15.4072
29.11.2021;11:46:00-000;15.415;15.415;15.41;15.41;665;15.411
29.11.2021;11:47:00-000;15.41;15.42;15.41;15.42;1925;15.4121
29.11.2021;11:48:00-000;15.434;15.434;15.434;15.434;694;15.4336
29.11.2021;11:49:00-000;15.43;15.43;15.42;15.43;819;15.4229
29.11.2021;11:50:00-000;15.42;15.42;15.42;15.42;902;15.421
29.11.2021;11:51:00-000;15.41;15.42;15.41;15.42;1222;15.4122
29.11.2021;11:52:00-000;15.42;15.45;15.42;15.45;2062;15.4294
29.11.2021;11:53:00-000;15.43;15.43;15.43;15.43;120;15.4333
29.11.2021;11:54:00-000;15.43;15.44;15.43;15.44;1360;15.4343
29.11.2021;11:55:00-000;15.445;15.445;15.435;15.435;1089;15.4396
29.11.2021;11:56:00-000;15.44;15.45;15.44;15.45;1045;15.441
29.11.2021;11:57:00-000;15.43;15.45;15.43;15.45;3719;15.4433
29.11.2021;12:00:00-000;15.445;15.445;15.445;15.445;557;15.4426
29.11.2021;12:01:00-000;15.45;15.46;15.44;15.44;4077;15.4507
29.11.2021;12:02:00-000;15.45;15.45;15.45;15.45;434;15.4509
29.11.2021;12:03:00-000;15.45;15.46;15.45;15.46;219;15.4554
29.11.2021;12:04:00-000;15.46;15.47;15.46;15.47;1999;15.4606
29.11.2021;12:05:00-000;15.47;15.47;15.47;15.47;119;15.47
29.11.2021;12:06:00-000;15.47;15.47;15.47;15.47;121;15.47
29.11.2021;12:07:00-000;15.46;15.49;15.46;15.49;2660;15.4675
29.11.2021;12:08:00-000;15.49;15.49;15.49;15.49;118;15.4915
29.11.2021;12:10:00-000;15.5;15.5;15.49;15.49;1168;15.49
29.11.2021;12:13:00-000;15.495;15.5;15.49;15.49;8710;15.4908
29.11.2021;12:14:00-000;15.5;15.54;15.5;15.51;3114;15.5084
29.11.2021;12:15:00-000;15.505;15.51;15.5;15.509;1818;15.5064
29.11.2021;12:16:00-000;15.505;15.505;15.505;15.505;120;15.5057
29.11.2021;12:17:00-000;15.505;15.505;15.505;15.505;231;15.5051
29.11.2021;12:18:00-000;15.5;15.505;15.5;15.505;2826;15.5019
29.11.2021;12:19:00-000;15.509;15.525;15.5;15.525;2904;15.5128
29.11.2021;12:20:00-000;15.525;15.525;15.525;15.525;133;15.5232
29.11.2021;12:21:00-000;15.52;15.53;15.52;15.52;1812;15.524
29.11.2021;12:22:00-000;15.52;15.528;15.51;15.515;2129;15.5161
29.11.2021;12:23:00-000;15.52;15.52;15.515;15.515;416;15.5188
29.11.2021;12:24:00-000;15.52;15.52;15.51;15.515;3388;15.5147
29.11.2021;12:25:00-000;15.51;15.51;15.51;15.51;116;15.5114
29.11.2021;12:26:00-000;15.515;15.515;15.5;15.505;1419;15.509
29.11.2021;12:27:00-000;15.5;15.505;15.495;15.505;3181;15.5003
29.11.2021;12:28:00-000;15.51;15.515;15.51;15.515;1652;15.5111
29.11.2021;12:29:00-000;15.51;15.515;15.51;15.515;219;15.5132
29.11.2021;12:30:00-000;15.515;15.515;15.5;15.5;1074;15.5097
29.11.2021;12:31:00-000;15.5;15.5;15.5;15.5;123;15.5014
29.11.2021;12:32:00-000;15.5;15.515;15.5;15.515;1504;15.5096
29.11.2021;12:33:00-000;15.51;15.515;15.505;15.515;2164;15.5102
29.11.2021;12:34:00-000;15.51;15.519;15.51;15.519;215;15.5149
29.11.2021;12:35:00-000;15.51;15.52;15.51;15.51;1227;15.5141
29.11.2021;12:36:00-000;15.515;15.52;15.51;15.51;1685;15.5155
29.11.2021;12:37:00-000;15.51;15.54;15.51;15.53;1341;15.5248
29.11.2021;12:38:00-000;15.54;15.55;15.53;15.53;539;15.5384
29.11.2021;12:39:00-000;15.53;15.53;15.53;15.53;119;15.5332
29.11.2021;12:40:00-000;15.54;15.54;15.54;15.54;166;15.5347
29.11.2021;12:41:00-000;15.56;15.58;15.56;15.58;1123;15.5698
29.11.2021;12:42:00-000;15.57;15.58;15.57;15.57;1334;15.5709
29.11.2021;12:43:00-000;15.57;15.57;15.56;15.56;525;15.5665
29.11.2021;12:45:00-000;15.56;15.58;15.56;15.58;445;15.5749
29.11.2021;12:46:00-000;15.57;15.57;15.57;15.57;727;15.5583
