Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:29:00-000;442.59;442.59;442.26;442.26;581;442.545
29.11.2021;09:31:00-000;445.1;445.25;443.8;445.25;7557;445.043
29.11.2021;09:33:00-000;443.52;443.87;441.17;441.17;2354;442.945
29.11.2021;09:34:00-000;440.28;441.11;439.68;440.56;1712;440.397
29.11.2021;09:35:00-000;440.73;440.73;440.73;440.73;198;441.002
29.11.2021;09:36:00-000;441.395;441.395;441.395;441.395;789;440.423
29.11.2021;09:37:00-000;440.95;440.95;440.95;440.95;161;441.263
29.11.2021;09:41:00-000;442.64;442.64;442.64;442.64;632;442.611
29.11.2021;09:43:00-000;443.05;443.05;441.82;443;430;442.392
29.11.2021;09:44:00-000;442.2;442.2;440.91;440.91;811;441.125
29.11.2021;09:45:00-000;439.29;440.21;439.29;439.615;894;439.786
29.11.2021;09:48:00-000;439.915;439.915;439.915;439.915;256;439.794
29.11.2021;09:50:00-000;440.255;440.255;440.255;440.255;181;439.882
29.11.2021;09:52:00-000;439.88;441.01;439.88;441.01;548;440.294
29.11.2021;09:55:00-000;442.64;442.64;442.64;442.64;133;442.275
29.11.2021;09:56:00-000;443.25;443.25;443.25;443.25;410;442.772
29.11.2021;09:57:00-000;443.34;443.34;443.34;443.34;263;443.154
29.11.2021;09:58:00-000;442.975;443.34;442.67;442.67;889;442.968
29.11.2021;09:59:00-000;442.67;443.28;441.87;441.87;1154;442.447
29.11.2021;10:00:00-000;441.695;443.03;441.695;443.03;490;442.348
29.11.2021;10:01:00-000;443.26;443.925;443.26;443.46;1342;443.442
29.11.2021;10:02:00-000;443.895;443.895;443.895;443.895;337;444.255
29.11.2021;10:03:00-000;444.04;444.04;444.04;444.04;570;444.28
29.11.2021;10:05:00-000;441.1;441.1;441.1;441.1;355;441.206
29.11.2021;10:06:00-000;442.26;442.26;442.26;442.26;623;442.109
29.11.2021;10:07:00-000;441.85;441.85;441.85;441.85;495;441.61
29.11.2021;10:08:00-000;441.43;441.44;441.24;441.24;1248;441.462
29.11.2021;10:12:00-000;441.99;441.99;440.98;440.98;763;441.433
29.11.2021;10:14:00-000;440.715;440.715;440.715;440.715;204;440.869
29.11.2021;10:15:00-000;440.72;441.95;440.72;441.95;934;441.378
29.11.2021;10:16:00-000;440.87;440.87;440.61;440.61;792;440.935
29.11.2021;10:20:00-000;441.64;441.64;441.43;441.43;278;441.545
29.11.2021;10:23:00-000;441.33;441.67;441.33;441.67;503;441.575
29.11.2021;10:24:00-000;442.17;442.86;442.16;442.675;1987;442.336
29.11.2021;10:25:00-000;442.105;443.59;442.105;443.59;1459;442.656
29.11.2021;10:27:00-000;441.98;442.24;441.9;442.24;737;442.045
29.11.2021;10:28:00-000;441.915;441.915;441.715;441.715;376;442.001
29.11.2021;10:31:00-000;441.01;441.35;441.01;441.35;492;441.097
29.11.2021;10:33:00-000;440.73;440.79;440.73;440.79;1205;441.146
29.11.2021;10:34:00-000;441.155;441.155;441.155;441.155;841;441.495
29.11.2021;10:35:00-000;442.94;443.205;442.94;443.205;1319;442.814
29.11.2021;10:36:00-000;442.695;442.695;442.695;442.695;803;442.774
29.11.2021;10:38:00-000;441.784;442.125;441.56;442.125;761;441.839
29.11.2021;10:39:00-000;442.48;442.48;442.48;442.48;120;442.392
29.11.2021;10:40:00-000;441.48;441.48;441.47;441.475;691;441.502
29.11.2021;10:42:00-000;440.54;440.54;440.45;440.45;779;440.661
29.11.2021;10:43:00-000;441.68;441.68;441.68;441.68;1151;441.821
29.11.2021;10:45:00-000;443.2;443.2;443.2;443.2;160;443.077
29.11.2021;10:46:00-000;443.215;443.345;443.215;443.345;324;443.366
29.11.2021;10:47:00-000;443.1;443.1;443.09;443.09;383;443.136
29.11.2021;10:48:00-000;443.45;443.45;443.45;443.45;490;443.709
29.11.2021;10:49:00-000;443.57;443.87;443.57;443.87;1130;443.375
29.11.2021;10:50:00-000;443.455;443.455;443.455;443.455;101;443.459
29.11.2021;10:53:00-000;443.63;444.51;443.63;444.51;284;444.114
29.11.2021;10:54:00-000;444.7;444.7;444.7;444.7;205;444.655
29.11.2021;10:55:00-000;444.99;445;444.99;445;435;444.988
29.11.2021;10:56:00-000;445.875;445.875;445.875;445.875;381;445.729
29.11.2021;10:57:00-000;444.7;444.7;444.7;444.7;1071;445.277
29.11.2021;10:58:00-000;445.285;445.285;445.285;445.285;424;445.396
29.11.2021;11:00:00-000;445.1;445.13;445.1;445.13;1087;445.09
29.11.2021;11:01:00-000;445.36;445.36;444.97;444.97;735;444.968
29.11.2021;11:02:00-000;444.945;445.46;444.945;445.46;446;445.006
29.11.2021;11:03:00-000;445.66;445.81;444.79;444.855;2342;445.401
29.11.2021;11:07:00-000;445;445.82;445;445.82;540;445.391
29.11.2021;11:08:00-000;445.9;446.64;445.9;446.64;1904;446.338
29.11.2021;11:09:00-000;446.35;446.41;445.27;446.095;1018;446.147
29.11.2021;11:10:00-000;445.78;445.78;445.78;445.78;163;446.003
29.11.2021;11:11:00-000;446.085;446.17;446.085;446.155;684;446.003
29.11.2021;11:14:00-000;445.33;445.33;445.33;445.33;666;445.483
29.11.2021;11:15:00-000;445.14;445.65;444.92;445.275;1503;445.312
29.11.2021;11:17:00-000;444.545;444.545;444.545;444.545;163;444.558
29.11.2021;11:20:00-000;444.43;444.68;444.43;444.68;770;444.668
29.11.2021;11:21:00-000;444.15;444.265;444.15;444.265;647;444.154
29.11.2021;11:24:00-000;444.08;444.08;444.08;444.08;221;444.088
29.11.2021;11:26:00-000;443.479;443.825;443.479;443.825;904;443.637
29.11.2021;11:27:00-000;443.82;444.15;443.82;444.15;413;443.887
29.11.2021;11:28:00-000;443.34;443.34;443.34;443.34;519;443.411
29.11.2021;11:29:00-000;443.655;443.86;443.655;443.86;363;443.603
29.11.2021;11:30:00-000;443.675;445.14;443.67;444.925;1980;444.245
29.11.2021;11:31:00-000;445;445.18;445;445.18;949;445.104
29.11.2021;11:32:00-000;444.79;444.79;444.79;444.79;200;444.721
29.11.2021;11:38:00-000;445.09;445.87;445.09;445.87;551;445.424
29.11.2021;11:39:00-000;445.2;445.2;445.2;445.2;248;445.227
29.11.2021;11:45:00-000;445.21;445.21;445.06;445.06;681;445.228
29.11.2021;11:46:00-000;445.13;445.13;445.13;445.13;641;445.089
29.11.2021;11:47:00-000;444.43;444.43;444.43;444.43;497;444.786
29.11.2021;11:48:00-000;445.03;445.03;445.03;445.03;389;445.361
29.11.2021;11:51:00-000;445.47;446.075;445.47;446.075;519;445.796
29.11.2021;11:53:00-000;446.33;446.33;446.33;446.33;391;446.335
29.11.2021;11:54:00-000;446.17;446.17;445.73;445.82;1301;445.917
29.11.2021;11:56:00-000;445.53;445.79;444.52;445.06;2797;445.315
29.11.2021;11:58:00-000;445.005;445.15;445.005;445.15;379;445.043
29.11.2021;11:59:00-000;445.005;445.005;445.005;445.005;304;445.004
29.11.2021;12:00:00-000;444.7;444.7;444.42;444.42;793;444.618
29.11.2021;12:01:00-000;444.73;444.73;444.73;444.73;944;444.835
29.11.2021;12:03:00-000;445.06;445.08;445.06;445.08;438;445.038
29.11.2021;12:04:00-000;445.195;445.195;445.195;445.195;272;444.987
29.11.2021;12:05:00-000;445.2;445.2;445.2;445.2;264;445.205
29.11.2021;12:06:00-000;445.468;445.468;445.468;445.468;206;445.459
29.11.2021;12:07:00-000;445.23;445.23;445.23;445.23;554;445.252
29.11.2021;12:08:00-000;445;445.06;444.85;444.85;1511;445.04
29.11.2021;12:09:00-000;444.75;444.75;444.45;444.45;533;444.726
29.11.2021;12:10:00-000;444.61;445.09;444.61;445.045;1520;445.004
29.11.2021;12:11:00-000;445.045;445.045;444.015;444.015;1468;444.564
29.11.2021;12:13:00-000;443.965;443.965;443.965;443.965;276;444.013
29.11.2021;12:15:00-000;443.97;444.41;443.97;444.402;1180;444.224
29.11.2021;12:16:00-000;444.35;444.35;444.35;444.35;492;444.43
29.11.2021;12:17:00-000;444.255;444.255;444.255;444.255;157;444.274
29.11.2021;12:18:00-000;444.475;444.69;444.475;444.575;848;444.588
29.11.2021;12:19:00-000;444.585;444.595;443.76;444.18;2622;444.308
29.11.2021;12:20:00-000;444.025;444.025;443.69;443.777;580;443.886
29.11.2021;12:21:00-000;443.77;443.96;443.62;443.96;1372;443.79
29.11.2021;12:22:00-000;443.95;443.99;443.22;443.63;648;443.741
29.11.2021;12:23:00-000;443.81;444.425;443.57;444.13;2358;444.033
29.11.2021;12:24:00-000;444.295;444.61;443.99;443.99;598;444.443
29.11.2021;12:25:00-000;444.46;444.46;444.46;444.46;474;444.434
29.11.2021;12:26:00-000;444.45;444.45;444.13;444.13;789;444.164
29.11.2021;12:27:00-000;443.805;444.09;443.805;444.09;727;444.004
29.11.2021;12:28:00-000;443.75;444.095;443.75;444.095;465;444.106
29.11.2021;12:29:00-000;443.79;444.33;443.79;444.33;662;444.099
29.11.2021;12:30:00-000;444.43;444.69;444.43;444.64;2024;444.553
29.11.2021;12:31:00-000;444.64;444.805;444.64;444.805;3994;444.68
29.11.2021;12:32:00-000;445.04;445.04;445.04;445.04;950;444.815
29.11.2021;12:33:00-000;445.08;445.335;445;445.29;1076;445.142
29.11.2021;12:34:00-000;445.445;445.445;445.445;445.445;212;445.437
29.11.2021;12:35:00-000;445.47;445.76;445.47;445.76;1961;445.645
29.11.2021;12:36:00-000;445.76;445.76;445.76;445.76;955;445.681
29.11.2021;12:37:00-000;445.715;446.035;445.545;445.9;2960;445.841
29.11.2021;12:38:00-000;446.14;446.14;446.14;446.14;578;446.059
29.11.2021;12:39:00-000;446.07;446.07;446.07;446.07;127;446.064
29.11.2021;12:40:00-000;446.02;446.695;445.97;446.135;3428;446.207
29.11.2021;12:41:00-000;445.806;445.806;445.806;445.806;4357;445.659
29.11.2021;12:43:00-000;446.56;446.57;446.56;446.57;387;446.393
29.11.2021;12:45:00-000;446.305;446.305;445.94;445.94;1057;446.075
29.11.2021;12:47:00-000;446.385;446.385;446.385;446.385;603;446.417
29.11.2021;12:48:00-000;446.93;446.93;446.93;446.93;775;446.718
29.11.2021;12:53:00-000;447.45;447.45;447.45;447.45;601;447.543
29.11.2021;12:54:00-000;447.9;447.9;447.9;447.9;343;447.74
29.11.2021;12:55:00-000;447.75;447.77;447.72;447.77;1450;447.809
29.11.2021;12:57:00-000;447.94;447.94;447.94;447.94;867;447.958
29.11.2021;13:00:00-000;448.56;448.6;448.56;448.6;439;448.653
29.11.2021;13:01:00-000;448.745;448.755;448.47;448.755;675;448.825
29.11.2021;13:02:00-000;448.81;449.01;448.81;448.98;1251;448.875
29.11.2021;13:03:00-000;449.02;449.3;448.72;449.3;7093;449.042
29.11.2021;13:04:00-000;449.08;449.08;449.08;449.08;146;449.099
29.11.2021;13:05:00-000;449.28;449.28;449.28;449.28;2993;449.103
29.11.2021;13:06:00-000;449.455;449.455;449.455;449.455;314;449.457
29.11.2021;13:07:00-000;449.55;449.55;449.55;449.55;322;449.571
29.11.2021;13:08:00-000;449.24;449.39;449.24;449.31;1021;449.322
29.11.2021;13:09:00-000;449.55;449.56;449.435;449.435;603;449.49
29.11.2021;13:11:00-000;449.57;449.57;449.57;449.57;218;449.54
29.11.2021;13:12:00-000;449.22;449.38;449.22;449.38;861;449.24
29.11.2021;13:13:00-000;449.175;449.175;449.175;449.175;506;449.172
29.11.2021;13:15:00-000;449.2;449.52;449.2;449.27;936;449.403
29.11.2021;13:16:00-000;449.31;449.31;448.97;448.97;1352;449.052
29.11.2021;13:17:00-000;448.63;448.69;447.905;447.905;1108;448.326
