Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;24.97;24.97;24.97;24.97;100;24.97
29.11.2021;09:46:00-000;25.07;25.07;25.07;25.07;100;25.07
29.11.2021;09:48:00-000;25.0544;25.0544;25.0544;25.0544;300;25.0544
29.11.2021;09:59:00-000;25.045;25.045;25;25;834;25.0162
29.11.2021;10:12:00-000;25.07;25.07;25.07;25.07;320;25.07
29.11.2021;10:17:00-000;25.05;25.05;25.05;25.05;1302;25.0501
29.11.2021;10:23:00-000;25.05;25.0732;25.05;25.05;545;25.0647
29.11.2021;10:29:00-000;25.05;25.05;25.005;25.005;300;25.035
29.11.2021;10:38:00-000;24.91;24.93;24.91;24.93;300;24.9308
29.11.2021;10:41:00-000;24.91;24.91;24.91;24.91;300;24.914
29.11.2021;10:52:00-000;24.9261;24.9261;24.9261;24.9261;211;24.9247
29.11.2021;10:55:00-000;24.91;24.91;24.91;24.91;234;24.91
29.11.2021;11:15:00-000;24.935;24.9588;24.935;24.9588;242;24.9435
29.11.2021;11:16:00-000;24.935;24.96;24.935;24.96;1200;24.9555
29.11.2021;11:20:00-000;24.9772;24.9772;24.9772;24.9772;184;24.9772
29.11.2021;11:33:00-000;24.959;24.959;24.959;24.959;600;24.959
29.11.2021;11:35:00-000;24.97;24.98;24.97;24.98;431;24.9777
29.11.2021;11:38:00-000;24.94;24.94;24.93;24.93;300;24.9333
29.11.2021;11:41:00-000;24.96;24.99;24.96;24.99;325;24.9805
29.11.2021;11:57:00-000;24.93;24.93;24.93;24.93;100;24.93
29.11.2021;12:01:00-000;24.92;24.92;24.92;24.92;300;24.9173
29.11.2021;12:19:00-000;24.92;24.92;24.92;24.92;300;24.9195
29.11.2021;12:20:00-000;24.945;24.945;24.945;24.945;400;24.945
29.11.2021;12:39:00-000;24.93;24.93;24.92;24.9204;1300;24.9215
29.11.2021;12:44:00-000;24.91;24.91;24.91;24.91;191;24.9109
29.11.2021;12:50:00-000;24.9;24.9;24.9;24.9;300;24.9007
29.11.2021;12:58:00-000;24.91;24.91;24.91;24.91;640;24.9094
29.11.2021;13:00:00-000;24.9;24.9;24.9;24.9;400;24.9
29.11.2021;13:04:00-000;24.9;24.9;24.9;24.9;300;24.9
29.11.2021;13:07:00-000;24.9488;24.9488;24.925;24.925;216;24.9362
29.11.2021;13:14:00-000;24.92;24.92;24.91;24.91;500;24.9177
29.11.2021;13:26:00-000;24.9135;24.9135;24.9135;24.9135;803;24.9135
29.11.2021;13:35:00-000;24.93;24.93;24.92;24.92;700;24.926
29.11.2021;13:47:00-000;24.91;24.91;24.9;24.9;300;24.9064
29.11.2021;14:03:00-000;24.9;24.9;24.9;24.9;300;24.9
29.11.2021;14:15:00-000;24.9012;24.91;24.9;24.9012;700;24.9046
29.11.2021;14:22:00-000;24.9;24.9;24.9;24.9;300;24.9
29.11.2021;14:31:00-000;24.9;24.9;24.9;24.9;2000;24.9
29.11.2021;14:43:00-000;24.915;24.915;24.915;24.915;200;24.915
29.11.2021;14:45:00-000;24.9;24.9;24.9;24.9;100;24.9
29.11.2021;14:50:00-000;24.95;24.95;24.9317;24.9317;200;24.9409
29.11.2021;14:52:00-000;24.9;24.95;24.9;24.9317;500;24.9163
29.11.2021;14:57:00-000;24.925;24.925;24.925;24.925;800;24.925
29.11.2021;15:02:00-000;24.9;24.9;24.9;24.9;300;24.9029
29.11.2021;15:12:00-000;24.91;24.91;24.86;24.9002;3089;24.8868
29.11.2021;15:13:00-000;24.87;24.87;24.87;24.87;300;24.87
29.11.2021;15:32:00-000;24.88;24.88;24.88;24.88;300;24.88
29.11.2021;15:45:00-000;24.88;24.88;24.88;24.88;300;24.88
29.11.2021;15:48:00-000;24.9185;24.9185;24.9185;24.9185;560;24.9185
29.11.2021;15:50:00-000;24.91;24.91;24.91;24.91;214;24.9113
29.11.2021;15:54:00-000;24.88;24.88;24.88;24.88;100;24.88
29.11.2021;15:58:00-000;24.865;24.93;24.865;24.93;300;24.9013
29.11.2021;15:59:00-000;24.87;24.87;24.86;24.86;259;24.8639
29.11.2021;16:00:00-000;24.93;24.93;24.93;24.93;126;24.93
29.11.2021;16:10:00-000;24.93;24.93;24.93;24.93;0;0
29.11.2021;18:30:00-000;24.93;24.93;24.93;24.93;0;0
29.11.2021;19:00:00-000;24.93;24.93;24.93;24.93;0;0
