Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;80.54;82.21;80.54;82.21;9213;80.6107
29.11.2021;09:35:00-000;80.22;80.22;80.22;80.22;124;80.3197
29.11.2021;09:39:00-000;81.5;81.5;81.5;81.5;316;81.5061
29.11.2021;09:43:00-000;81.5095;81.5095;81.5095;81.5095;236;81.5176
29.11.2021;09:45:00-000;80.08;80.13;79.31;79.31;4612;79.9187
29.11.2021;09:53:00-000;79.6;79.6;79.6;79.6;100;79.6
29.11.2021;09:55:00-000;79.62;80.42;79.62;80.24;3554;80.0401
29.11.2021;09:56:00-000;79.96;80.0475;79.9;80.01;557;79.9702
29.11.2021;09:57:00-000;80.25;80.26;80.03;80.03;953;80.2306
29.11.2021;09:59:00-000;80.4;80.4;80.4;80.4;100;80.4
29.11.2021;10:00:00-000;80.15;80.15;80.15;80.15;100;80.15
29.11.2021;10:04:00-000;79.99;80;79.73;79.73;2323;79.9637
29.11.2021;10:06:00-000;79.97;80.13;79.96;80.01;914;80.0669
29.11.2021;10:08:00-000;79.98;80.04;79.79;79.94;1633;79.9508
29.11.2021;10:09:00-000;80.06;80.06;80.06;80.06;203;80.0719
29.11.2021;10:11:00-000;80.055;80.13;80.01;80.03;2631;80.037
29.11.2021;10:12:00-000;80.19;80.2;80.19;80.2;424;80.1805
29.11.2021;10:13:00-000;80.14;80.22;80.11;80.21;1334;80.155
29.11.2021;10:15:00-000;80.1;80.22;80.1;80.22;807;80.1718
29.11.2021;10:16:00-000;80.25;80.25;80.2;80.25;2187;80.232
29.11.2021;10:17:00-000;80.36;80.575;80.31;80.575;8614;80.4703
29.11.2021;10:19:00-000;80.6675;80.6675;80.6575;80.6575;205;80.6656
29.11.2021;10:23:00-000;80.76;80.78;80.76;80.78;375;80.7493
29.11.2021;10:27:00-000;80.58;80.63;80.51;80.62;1339;80.5778
29.11.2021;10:28:00-000;80.52;80.67;80.48;80.53;2823;80.5989
29.11.2021;10:30:00-000;80.57;80.62;80.57;80.62;461;80.5934
29.11.2021;10:31:00-000;80.69;80.69;80.35;80.47;2760;80.4879
29.11.2021;10:32:00-000;80.47;80.47;80.47;80.47;296;80.4864
29.11.2021;10:33:00-000;80.54;80.58;80.52;80.52;811;80.5431
29.11.2021;10:34:00-000;80.595;80.595;80.595;80.595;316;80.5646
29.11.2021;10:37:00-000;80.59;80.59;80.59;80.59;171;80.6129
29.11.2021;10:38:00-000;80.575;80.575;80.575;80.575;113;80.5647
29.11.2021;10:39:00-000;80.44;80.455;80.21;80.32;2606;80.3799
