Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;21.9;21.96;21.9;21.95;10844;21.9024
29.11.2021;09:31:00-000;21.87;21.91;21.85;21.855;6414;21.8789
29.11.2021;09:32:00-000;21.85;21.85;21.75;21.785;3318;21.7919
29.11.2021;09:33:00-000;21.81;21.87;21.75;21.75;5526;21.7736
29.11.2021;09:34:00-000;21.76;21.81;21.66;21.7;6189;21.7407
29.11.2021;09:35:00-000;21.76;21.76;21.73;21.76;1659;21.7512
29.11.2021;09:36:00-000;21.8;21.88;21.77;21.77;1160;21.8114
29.11.2021;09:37:00-000;21.785;21.83;21.73;21.73;3826;21.7866
29.11.2021;09:38:00-000;21.7;21.77;21.7;21.77;1088;21.7129
29.11.2021;09:39:00-000;21.74;21.86;21.725;21.85;10795;21.809
29.11.2021;09:40:00-000;21.82;21.88;21.82;21.87;7278;21.8524
29.11.2021;09:41:00-000;21.86;21.87;21.76;21.82;11312;21.8342
29.11.2021;09:42:00-000;21.8;21.8;21.69;21.69;2185;21.7719
29.11.2021;09:43:00-000;21.68;21.685;21.66;21.68;2490;21.6754
29.11.2021;09:44:00-000;21.71;21.73;21.71;21.73;701;21.7159
29.11.2021;09:45:00-000;21.68;21.68;21.67;21.67;555;21.6827
29.11.2021;09:47:00-000;21.67;21.75;21.67;21.75;1882;21.7223
29.11.2021;09:48:00-000;21.75;21.75;21.725;21.73;1481;21.7423
29.11.2021;09:49:00-000;21.755;21.755;21.755;21.755;201;21.7426
29.11.2021;09:50:00-000;21.72;21.72;21.5983;21.6;3893;21.68
29.11.2021;09:51:00-000;21.5833;21.69;21.5833;21.69;1024;21.6529
29.11.2021;09:52:00-000;21.645;21.645;21.63;21.63;908;21.635
29.11.2021;09:53:00-000;21.65;21.71;21.65;21.71;4206;21.6773
29.11.2021;09:54:00-000;21.78;21.8;21.75;21.7501;6523;21.7855
29.11.2021;09:55:00-000;21.75;21.799;21.75;21.799;4263;21.7596
29.11.2021;09:56:00-000;21.8;21.8014;21.8;21.8;1527;21.8004
29.11.2021;09:58:00-000;21.76;21.77;21.76;21.77;542;21.7681
29.11.2021;09:59:00-000;21.8;21.81;21.78;21.78;2526;21.7969
29.11.2021;10:00:00-000;21.75;21.79;21.75;21.79;1862;21.7654
29.11.2021;10:01:00-000;21.82;21.82;21.795;21.82;1352;21.8121
29.11.2021;10:02:00-000;21.84;21.84;21.79;21.79;2772;21.8205
29.11.2021;10:04:00-000;21.76;21.76;21.75;21.7501;1512;21.7521
29.11.2021;10:05:00-000;21.75;21.8;21.75;21.79;3259;21.766
29.11.2021;10:06:00-000;21.79;21.79;21.76;21.76;3216;21.7671
29.11.2021;10:07:00-000;21.755;21.76;21.75;21.755;1722;21.7563
29.11.2021;10:08:00-000;21.76;21.77;21.75;21.75;3338;21.7544
29.11.2021;10:09:00-000;21.76;21.77;21.76;21.76;1810;21.7624
29.11.2021;10:10:00-000;21.78;21.84;21.78;21.81;3935;21.8055
29.11.2021;10:11:00-000;21.78;21.79;21.78;21.78;848;21.7844
29.11.2021;10:12:00-000;21.77;21.77;21.76;21.77;522;21.7698
29.11.2021;10:13:00-000;21.75;21.755;21.74;21.74;1230;21.7474
29.11.2021;10:14:00-000;21.74;21.755;21.73;21.73;5844;21.742
29.11.2021;10:15:00-000;21.73;21.78;21.73;21.76;2595;21.7436
29.11.2021;10:16:00-000;21.73;21.735;21.7;21.71;994;21.7189
29.11.2021;10:17:00-000;21.72;21.73;21.71;21.71;1335;21.7187
29.11.2021;10:18:00-000;21.76;21.765;21.76;21.765;406;21.7612
29.11.2021;10:19:00-000;21.77;21.81;21.77;21.81;661;21.789
29.11.2021;10:20:00-000;21.81;21.81;21.765;21.77;1132;21.7911
29.11.2021;10:21:00-000;21.785;21.79;21.785;21.79;365;21.7882
29.11.2021;10:22:00-000;21.78;21.78;21.72;21.725;1096;21.7582
29.11.2021;10:23:00-000;21.71;21.72;21.71;21.72;396;21.7181
29.11.2021;10:24:00-000;21.71;21.72;21.71;21.71;824;21.7185
29.11.2021;10:25:00-000;21.72;21.72;21.7;21.7;1039;21.7092
29.11.2021;10:26:00-000;21.705;21.705;21.7;21.7;500;21.705
29.11.2021;10:27:00-000;21.7;21.705;21.7;21.7;1042;21.7013
29.11.2021;10:28:00-000;21.705;21.71;21.705;21.705;1724;21.7082
29.11.2021;10:29:00-000;21.71;21.71;21.7;21.705;1200;21.7029
29.11.2021;10:30:00-000;21.7;21.705;21.65;21.67;5257;21.6728
29.11.2021;10:31:00-000;21.66;21.66;21.65;21.655;1000;21.655
29.11.2021;10:32:00-000;21.65;21.655;21.65;21.6525;475;21.6528
29.11.2021;10:33:00-000;21.6525;21.655;21.58;21.625;10791;21.6169
29.11.2021;10:34:00-000;21.59;21.59;21.565;21.575;425;21.5793
29.11.2021;10:35:00-000;21.59;21.6;21.5;21.5;4858;21.5638
29.11.2021;10:36:00-000;21.52;21.55;21.51;21.52;10690;21.5303
29.11.2021;10:37:00-000;21.52;21.53;21.51;21.515;2789;21.5171
29.11.2021;10:38:00-000;21.515;21.52;21.51;21.515;2166;21.5155
29.11.2021;10:39:00-000;21.515;21.52;21.38;21.41;20871;21.4861
29.11.2021;10:40:00-000;21.395;21.41;21.38;21.38;1333;21.3838
29.11.2021;10:41:00-000;21.35;21.35;21.34;21.345;2450;21.3463
29.11.2021;10:42:00-000;21.345;21.345;21.28;21.28;4201;21.3165
29.11.2021;10:43:00-000;21.28;21.3;21.24;21.3;4901;21.2674
29.11.2021;10:44:00-000;21.32;21.32;21.31;21.31;1215;21.3133
29.11.2021;10:45:00-000;21.32;21.38;21.32;21.38;2848;21.3638
29.11.2021;10:46:00-000;21.38;21.38;21.34;21.345;4033;21.359
29.11.2021;10:47:00-000;21.36;21.36;21.36;21.36;1063;21.36
29.11.2021;10:48:00-000;21.365;21.365;21.3;21.31;5721;21.327
29.11.2021;10:49:00-000;21.3079;21.32;21.305;21.305;540;21.3141
29.11.2021;10:50:00-000;21.32;21.32;21.295;21.32;2251;21.3074
29.11.2021;10:51:00-000;21.33;21.4;21.32;21.375;3927;21.3546
29.11.2021;10:52:00-000;21.37;21.415;21.37;21.415;1563;21.3923
29.11.2021;10:53:00-000;21.415;21.43;21.36;21.365;6339;21.3846
29.11.2021;10:54:00-000;21.365;21.42;21.36;21.42;5014;21.3915
29.11.2021;10:55:00-000;21.405;21.405;21.395;21.4;3423;21.3985
29.11.2021;10:56:00-000;21.41;21.41;21.38;21.38;611;21.3916
29.11.2021;10:57:00-000;21.38;21.39;21.38;21.385;1364;21.3847
29.11.2021;10:58:00-000;21.37;21.37;21.335;21.35;2340;21.3508
29.11.2021;10:59:00-000;21.36;21.38;21.36;21.38;309;21.3697
29.11.2021;11:00:00-000;21.39;21.41;21.385;21.405;1340;21.3963
29.11.2021;11:01:00-000;21.405;21.47;21.405;21.47;1958;21.4245
29.11.2021;11:02:00-000;21.45;21.45;21.44;21.44;542;21.4418
29.11.2021;11:03:00-000;21.43;21.43;21.3701;21.3701;2641;21.3923
29.11.2021;11:04:00-000;21.38;21.38;21.3601;21.37;2026;21.3702
29.11.2021;11:05:00-000;21.38;21.38;21.38;21.38;520;21.38
29.11.2021;11:06:00-000;21.37;21.4;21.36;21.4;3547;21.375
29.11.2021;11:07:00-000;21.39;21.41;21.39;21.3901;1310;21.4046
29.11.2021;11:08:00-000;21.4;21.42;21.4;21.42;1165;21.414
29.11.2021;11:09:00-000;21.42;21.45;21.42;21.45;1460;21.4374
29.11.2021;11:10:00-000;21.45;21.51;21.45;21.51;2061;21.4902
29.11.2021;11:11:00-000;21.54;21.55;21.51;21.51;2732;21.5277
29.11.2021;11:12:00-000;21.51;21.52;21.51;21.52;682;21.5167
29.11.2021;11:13:00-000;21.525;21.525;21.5;21.5;1400;21.5076
29.11.2021;11:15:00-000;21.52;21.54;21.52;21.54;2235;21.53
29.11.2021;11:16:00-000;21.56;21.56;21.56;21.56;514;21.56
29.11.2021;11:17:00-000;21.54;21.54;21.53;21.535;1517;21.5381
29.11.2021;11:18:00-000;21.53;21.54;21.52;21.52;1161;21.5266
29.11.2021;11:19:00-000;21.51;21.51;21.42;21.45;1591;21.4746
29.11.2021;11:20:00-000;21.44;21.52;21.44;21.5;3986;21.4832
29.11.2021;11:21:00-000;21.47;21.47;21.42;21.42;2354;21.4422
29.11.2021;11:23:00-000;21.4;21.41;21.4;21.41;762;21.4086
29.11.2021;11:24:00-000;21.4;21.415;21.36;21.415;2355;21.3879
29.11.2021;11:25:00-000;21.39;21.39;21.375;21.39;1082;21.3898
29.11.2021;11:26:00-000;21.42;21.43;21.42;21.43;904;21.4234
29.11.2021;11:27:00-000;21.435;21.45;21.38;21.43;2152;21.4223
29.11.2021;11:28:00-000;21.43;21.43;21.415;21.42;600;21.4233
29.11.2021;11:29:00-000;21.43;21.43;21.4;21.4;1165;21.4035
29.11.2021;11:30:00-000;21.41;21.42;21.41;21.42;850;21.4065
29.11.2021;11:31:00-000;21.42;21.42;21.4;21.4;1200;21.4091
29.11.2021;11:32:00-000;21.4;21.4;21.4;21.4;300;21.4
29.11.2021;11:33:00-000;21.365;21.39;21.365;21.38;1424;21.3771
