Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:49:00-000;24.8991;24.8991;24.8991;24.8991;800;24.8991
29.11.2021;10:06:00-000;24.9;24.9;24.9;24.9;227;24.9
29.11.2021;10:07:00-000;24.8998;24.8998;24.8998;24.8998;800;24.8998
29.11.2021;10:10:00-000;24.8999;24.8999;24.865;24.865;305;24.8764
29.11.2021;10:13:00-000;24.9;24.9;24.9;24.9;282;24.9
29.11.2021;10:25:00-000;24.9399;24.9399;24.9399;24.9399;300;24.9399
29.11.2021;10:30:00-000;24.89;24.89;24.89;24.89;400;24.89
29.11.2021;10:56:00-000;24.86;24.91;24.86;24.91;2000;24.9025
29.11.2021;11:24:00-000;24.9025;24.9039;24.9025;24.9039;1147;24.9027
29.11.2021;11:25:00-000;24.8961;24.8961;24.8961;24.8961;534;24.8961
29.11.2021;11:36:00-000;24.88;24.9099;24.88;24.9099;1072;24.8932
29.11.2021;11:42:00-000;24.92;24.92;24.92;24.92;100;24.92
29.11.2021;11:44:00-000;24.9;24.9;24.9;24.9;100;24.9
29.11.2021;11:45:00-000;24.885;24.885;24.885;24.885;3000;24.885
29.11.2021;11:47:00-000;24.92;24.92;24.9192;24.92;1287;24.9197
29.11.2021;12:46:00-000;24.857;24.857;24.857;24.857;245;24.857
29.11.2021;13:16:00-000;24.91;24.91;24.91;24.91;9600;24.91
29.11.2021;13:34:00-000;24.91;24.91;24.9099;24.91;1000;24.91
29.11.2021;13:54:00-000;24.91;24.91;24.91;24.91;575;24.91
29.11.2021;13:56:00-000;24.91;24.91;24.8892;24.8892;1282;24.9022
29.11.2021;13:57:00-000;24.91;24.91;24.9084;24.91;800;24.9096
29.11.2021;14:03:00-000;24.92;24.92;24.92;24.92;3300;24.92
29.11.2021;14:18:00-000;24.92;24.92;24.92;24.92;400;24.92
29.11.2021;15:28:00-000;24.91;24.91;24.91;24.91;550;24.91
29.11.2021;15:29:00-000;24.8887;24.8887;24.8887;24.8887;800;24.8887
29.11.2021;15:30:00-000;24.91;24.91;24.8934;24.8934;1808;24.9017
29.11.2021;15:33:00-000;24.9075;24.9075;24.9075;24.9075;1000;24.9075
29.11.2021;15:50:00-000;24.9;24.91;24.9;24.9099;1025;24.908
29.11.2021;15:55:00-000;24.91;24.91;24.8975;24.8975;2000;24.9038
29.11.2021;15:59:00-000;24.91;24.91;24.91;24.91;1900;24.91
29.11.2021;16:10:00-000;24.91;24.91;24.91;24.91;0;0
29.11.2021;18:30:00-000;24.91;24.91;24.91;24.91;0;0
29.11.2021;20:00:00-000;24.91;24.91;24.91;24.91;0;0
