Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:32:00-000;0.9;0.9;0.9;0.9;400;0.9
29.11.2021;08:38:00-000;0.89;0.89;0.89;0.89;100;0.89
29.11.2021;08:39:00-000;0.9;0.9;0.9;0.9;100;0.9
29.11.2021;09:00:00-000;0.8889;0.8889;0.8889;0.8889;100;0.8889
29.11.2021;09:30:00-000;0.889;0.889;0.8806;0.8806;1947;0.8821
29.11.2021;09:31:00-000;0.88;0.88;0.873;0.873;9300;0.8748
29.11.2021;09:33:00-000;0.8814;0.8814;0.8783;0.8783;250;0.8796
29.11.2021;09:36:00-000;0.89;0.89;0.8814;0.8814;268;0.8847
29.11.2021;09:37:00-000;0.89;0.89;0.89;0.89;215;0.8894
29.11.2021;09:40:00-000;0.8899;0.8899;0.873;0.873;5600;0.8866
29.11.2021;09:41:00-000;0.8879;0.8879;0.8879;0.8879;4005;0.8879
29.11.2021;09:42:00-000;0.89;0.89;0.8897;0.89;4067;0.8899
29.11.2021;09:43:00-000;0.8731;0.8731;0.8731;0.8731;250;0.8731
29.11.2021;09:44:00-000;0.8898;0.89;0.882;0.882;4310;0.8897
29.11.2021;09:47:00-000;0.8899;0.8899;0.8899;0.8899;3500;0.8899
29.11.2021;09:48:00-000;0.89;0.89;0.89;0.89;200;0.89
29.11.2021;09:49:00-000;0.8898;0.8898;0.8898;0.8898;1000;0.8899
29.11.2021;09:51:00-000;0.8799;0.8799;0.8769;0.8769;628;0.8779
29.11.2021;09:53:00-000;0.8798;0.8798;0.8798;0.8798;100;0.8798
29.11.2021;09:54:00-000;0.8799;0.8799;0.8799;0.8799;2000;0.8799
29.11.2021;09:56:00-000;0.8898;0.89;0.8898;0.89;329;0.8899
29.11.2021;09:58:00-000;0.8849;0.8849;0.8849;0.8849;291;0.8849
29.11.2021;09:59:00-000;0.8899;0.89;0.8899;0.89;2600;0.89
29.11.2021;10:00:00-000;0.8849;0.8849;0.8849;0.8849;112;0.8854
29.11.2021;10:01:00-000;0.89;0.89;0.88;0.88;394;0.8863
29.11.2021;10:05:00-000;0.8898;0.8899;0.8898;0.8899;709;0.8898
29.11.2021;10:08:00-000;0.8798;0.8798;0.8798;0.8798;806;0.8798
29.11.2021;10:10:00-000;0.8869;0.887;0.8869;0.887;1200;0.887
29.11.2021;10:13:00-000;0.8798;0.8798;0.8798;0.8798;403;0.8798
29.11.2021;10:14:00-000;0.8849;0.8849;0.8765;0.8765;710;0.8799
29.11.2021;10:15:00-000;0.876;0.876;0.876;0.876;100;0.876
29.11.2021;10:16:00-000;0.8848;0.8848;0.8848;0.8848;107;0.8847
29.11.2021;10:22:00-000;0.8849;0.8849;0.8849;0.8849;206;0.8831
29.11.2021;10:28:00-000;0.8789;0.8789;0.8789;0.8789;200;0.8789
29.11.2021;10:31:00-000;0.873;0.873;0.8601;0.8601;13264;0.8624
29.11.2021;10:33:00-000;0.8603;0.8603;0.8603;0.8603;1000;0.8603
29.11.2021;10:36:00-000;0.8605;0.8605;0.8605;0.8605;350;0.8605
29.11.2021;10:40:00-000;0.8695;0.8699;0.8695;0.8699;282;0.8691
29.11.2021;10:41:00-000;0.8651;0.8651;0.8651;0.8651;3121;0.8651
29.11.2021;10:42:00-000;0.865;0.8651;0.865;0.865;2360;0.8651
29.11.2021;10:46:00-000;0.865;0.8685;0.865;0.8685;5011;0.8653
29.11.2021;10:47:00-000;0.8699;0.8699;0.8699;0.8699;10066;0.8699
29.11.2021;10:48:00-000;0.8656;0.8656;0.8656;0.8656;662;0.8656
29.11.2021;10:49:00-000;0.865;0.865;0.865;0.865;1224;0.865
29.11.2021;10:50:00-000;0.8652;0.8652;0.8652;0.8652;100;0.8652
29.11.2021;10:51:00-000;0.8651;0.8651;0.8651;0.8651;330;0.8651
29.11.2021;10:53:00-000;0.87;0.87;0.87;0.87;925;0.87
29.11.2021;10:55:00-000;0.8696;0.881;0.8696;0.881;81159;0.8774
29.11.2021;10:56:00-000;0.881;0.89;0.881;0.89;9562;0.8877
29.11.2021;10:57:00-000;0.88;0.88;0.88;0.88;20060;0.88
29.11.2021;10:58:00-000;0.88;0.88;0.88;0.88;100;0.88
29.11.2021;10:59:00-000;0.89;0.89;0.89;0.89;300;0.8867
29.11.2021;11:00:00-000;0.885;0.885;0.885;0.885;349;0.8843
29.11.2021;11:01:00-000;0.8801;0.8801;0.8801;0.8801;1000;0.8801
29.11.2021;11:02:00-000;0.88;0.88;0.88;0.88;200;0.88
29.11.2021;11:04:00-000;0.8725;0.8725;0.8725;0.8725;400;0.8725
29.11.2021;11:06:00-000;0.87;0.88;0.87;0.87;2607;0.8778
29.11.2021;11:07:00-000;0.8702;0.8702;0.8702;0.8702;5017;0.8702
29.11.2021;11:15:00-000;0.88;0.88;0.88;0.88;1250;0.88
29.11.2021;11:20:00-000;0.8701;0.8701;0.8701;0.8701;5668;0.8702
