Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;13.62;13.73;13.62;13.67;3257;13.6267
29.11.2021;09:31:00-000;13.65;13.695;13.605;13.695;2444;13.6543
29.11.2021;09:32:00-000;13.68;13.68;13.68;13.68;200;13.68
29.11.2021;09:34:00-000;13.67;13.67;13.64;13.64;304;13.6499
29.11.2021;09:35:00-000;13.64;13.64;13.59;13.62;2910;13.6124
29.11.2021;09:37:00-000;13.6;13.61;13.6;13.61;839;13.6019
29.11.2021;09:38:00-000;13.63;13.63;13.59;13.59;426;13.6154
29.11.2021;09:39:00-000;13.635;13.635;13.635;13.635;340;13.631
29.11.2021;09:40:00-000;13.62;13.62;13.62;13.62;502;13.6101
29.11.2021;09:41:00-000;13.59;13.59;13.59;13.59;106;13.5916
29.11.2021;09:42:00-000;13.61;13.61;13.59;13.59;1433;13.6058
29.11.2021;09:43:00-000;13.61;13.61;13.61;13.61;102;13.61
29.11.2021;09:45:00-000;13.61;13.61;13.57;13.59;2063;13.5911
29.11.2021;09:47:00-000;13.61;13.64;13.6;13.63;2242;13.6166
29.11.2021;09:48:00-000;13.62;13.62;13.605;13.605;900;13.6083
29.11.2021;09:49:00-000;13.6;13.6;13.6;13.6;602;13.6
29.11.2021;09:50:00-000;13.635;13.635;13.635;13.635;101;13.6348
29.11.2021;09:51:00-000;13.64;13.64;13.635;13.635;304;13.6383
29.11.2021;09:53:00-000;13.61;13.61;13.61;13.61;647;13.6101
29.11.2021;09:55:00-000;13.605;13.605;13.605;13.605;100;13.605
29.11.2021;09:56:00-000;13.615;13.615;13.615;13.615;273;13.6164
29.11.2021;09:57:00-000;13.62;13.63;13.605;13.605;4067;13.6211
29.11.2021;09:58:00-000;13.6;13.62;13.6;13.62;470;13.6112
29.11.2021;09:59:00-000;13.59;13.59;13.59;13.59;125;13.59
29.11.2021;10:00:00-000;13.58;13.59;13.58;13.59;419;13.5848
29.11.2021;10:01:00-000;13.609;13.609;13.55;13.56;4562;13.5662
29.11.2021;10:04:00-000;13.57;13.57;13.545;13.56;1856;13.5539
29.11.2021;10:05:00-000;13.545;13.56;13.53;13.56;560;13.5466
29.11.2021;10:06:00-000;13.53;13.53;13.53;13.53;100;13.53
29.11.2021;10:07:00-000;13.55;13.55;13.55;13.55;400;13.55
29.11.2021;10:08:00-000;13.53;13.53;13.51;13.51;966;13.5243
29.11.2021;10:09:00-000;13.5;13.535;13.5;13.535;2934;13.5063
29.11.2021;10:10:00-000;13.55;13.55;13.55;13.55;105;13.55
29.11.2021;10:14:00-000;13.565;13.565;13.565;13.565;112;13.564
29.11.2021;10:15:00-000;13.57;13.57;13.57;13.57;926;13.57
29.11.2021;10:16:00-000;13.57;13.57;13.555;13.555;993;13.5678
29.11.2021;10:17:00-000;13.57;13.57;13.57;13.57;373;13.5719
29.11.2021;10:20:00-000;13.58;13.58;13.58;13.58;521;13.5805
29.11.2021;10:21:00-000;13.59;13.59;13.57;13.57;436;13.5851
29.11.2021;10:25:00-000;13.57;13.57;13.57;13.57;103;13.57
29.11.2021;10:26:00-000;13.55;13.55;13.54;13.54;661;13.542
29.11.2021;10:27:00-000;13.52;13.52;13.5;13.5;2934;13.5021
29.11.2021;10:28:00-000;13.52;13.52;13.52;13.52;444;13.5206
29.11.2021;10:29:00-000;13.53;13.53;13.53;13.53;200;13.53
29.11.2021;10:30:00-000;13.52;13.52;13.52;13.52;203;13.5203
29.11.2021;10:31:00-000;13.52;13.53;13.5;13.53;2327;13.5107
29.11.2021;10:32:00-000;13.53;13.53;13.53;13.53;1004;13.5316
29.11.2021;10:33:00-000;13.54;13.54;13.52;13.525;882;13.5285
29.11.2021;10:34:00-000;13.525;13.525;13.525;13.525;168;13.525
