Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:02:00-000;149;149;149;149;200;149
29.11.2021;09:18:00-000;150.01;150.01;150.01;150.01;100;150.01
29.11.2021;09:30:00-000;151.24;151.5;150.54;150.665;43539;151.121
29.11.2021;09:31:00-000;150.71;151;150.59;150.64;8200;150.779
29.11.2021;09:32:00-000;150.445;150.71;150.445;150.71;5824;150.568
29.11.2021;09:33:00-000;150.62;151.1;150.62;151.1;4990;150.818
29.11.2021;09:34:00-000;151.13;151.37;150.82;151.37;3682;151.123
29.11.2021;09:35:00-000;151.31;151.489;151.26;151.46;4751;151.346
29.11.2021;09:36:00-000;151.54;151.54;151.2;151.2;11402;151.308
29.11.2021;09:37:00-000;151.115;151.16;150.875;151.05;14681;150.942
29.11.2021;09:38:00-000;150.91;151.08;150.9;151.08;2470;150.991
29.11.2021;09:39:00-000;150.989;151.26;150.989;151.26;5306;151.08
29.11.2021;09:40:00-000;151.315;151.33;151.01;151.15;4159;151.203
29.11.2021;09:41:00-000;151.23;151.32;151.13;151.28;2116;151.226
29.11.2021;09:42:00-000;151.195;151.497;151.195;151.49;6347;151.343
29.11.2021;09:43:00-000;151.5;151.9;151.46;151.69;9430;151.581
29.11.2021;09:44:00-000;151.745;151.81;151.6;151.662;3029;151.73
29.11.2021;09:45:00-000;151.72;151.72;151.52;151.53;3898;151.622
29.11.2021;09:46:00-000;151.57;151.78;151.57;151.57;5358;151.655
29.11.2021;09:47:00-000;151.6;151.77;151.6;151.77;1801;151.677
29.11.2021;09:48:00-000;151.745;151.9;151.745;151.9;4315;151.822
29.11.2021;09:49:00-000;151.83;151.9;151.725;151.75;4218;151.799
29.11.2021;09:50:00-000;151.79;151.93;151.7;151.93;5285;151.756
29.11.2021;09:51:00-000;151.83;151.87;151.717;151.79;3425;151.797
29.11.2021;09:52:00-000;151.8;151.92;151.8;151.892;2796;151.858
29.11.2021;09:53:00-000;151.75;152.04;151.725;152.04;5827;151.842
29.11.2021;09:54:00-000;152.03;152.12;151.935;151.99;4682;151.996
29.11.2021;09:55:00-000;152;152.02;151.91;152.02;3910;151.972
29.11.2021;09:56:00-000;152.02;152.31;152.02;152.205;7846;152.134
29.11.2021;09:57:00-000;152.16;152.41;152.14;152.405;8828;152.303
29.11.2021;09:58:00-000;152.42;152.45;152.385;152.44;4570;152.419
