Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:00:00-000;9.52;9.52;9.52;9.52;500;9.52
29.11.2021;09:30:00-000;9.56;9.56;9.56;9.56;4415;9.56
29.11.2021;09:34:00-000;9.52;9.52;9.52;9.52;167;9.52
29.11.2021;09:36:00-000;9.54;9.54;9.54;9.54;154;9.5333
29.11.2021;09:45:00-000;9.5001;9.5001;9.5001;9.5001;141;9.5004
29.11.2021;10:04:00-000;9.55;9.56;9.55;9.55;2536;9.5525
29.11.2021;10:17:00-000;9.53;9.53;9.53;9.53;403;9.53
29.11.2021;10:18:00-000;9.525;9.525;9.52;9.52;980;9.524
29.11.2021;10:29:00-000;9.51;9.51;9.51;9.51;252;9.51
29.11.2021;10:30:00-000;9.5;9.5;9.5;9.5;1372;9.5003
29.11.2021;10:36:00-000;9.52;9.52;9.52;9.52;100;9.52
29.11.2021;10:37:00-000;9.49;9.49;9.49;9.49;321;9.49
29.11.2021;10:38:00-000;9.48;9.48;9.48;9.48;316;9.48
29.11.2021;10:48:00-000;9.48;9.48;9.48;9.48;2501;9.4801
29.11.2021;10:53:00-000;9.51;9.53;9.5015;9.5015;1054;9.5129
29.11.2021;11:16:00-000;9.52;9.52;9.52;9.52;1000;9.52
29.11.2021;11:39:00-000;9.48;9.48;9.48;9.48;300;9.48
29.11.2021;11:42:00-000;9.47;9.47;9.47;9.47;714;9.4711
29.11.2021;11:50:00-000;9.5199;9.5199;9.5199;9.5199;600;9.5166
29.11.2021;11:54:00-000;9.4991;9.4991;9.4991;9.4991;200;9.4991
29.11.2021;11:58:00-000;9.5;9.5;9.5;9.5;290;9.5
29.11.2021;12:00:00-000;9.505;9.505;9.505;9.505;251;9.505
29.11.2021;12:02:00-000;9.52;9.52;9.52;9.52;156;9.52
29.11.2021;12:08:00-000;9.54;9.541;9.54;9.5403;3080;9.5405
29.11.2021;12:16:00-000;9.56;9.56;9.56;9.56;604;9.5599
29.11.2021;12:23:00-000;9.59;9.59;9.59;9.59;390;9.59
29.11.2021;12:31:00-000;9.59;9.59;9.57;9.57;450;9.5853
29.11.2021;12:41:00-000;9.57;9.57;9.57;9.57;201;9.57
29.11.2021;12:59:00-000;9.5701;9.5701;9.5701;9.5701;750;9.5701
29.11.2021;13:00:00-000;9.57;9.57;9.57;9.57;271;9.5694
29.11.2021;13:13:00-000;9.515;9.515;9.515;9.515;100;9.515
29.11.2021;13:14:00-000;9.5127;9.5127;9.5127;9.5127;200;9.5127
29.11.2021;13:16:00-000;9.51;9.51;9.51;9.51;1201;9.51
29.11.2021;13:17:00-000;9.51;9.51;9.51;9.51;200;9.51
29.11.2021;13:22:00-000;9.5;9.5;9.5;9.5;579;9.5
29.11.2021;13:41:00-000;9.49;9.49;9.49;9.49;500;9.49
29.11.2021;13:47:00-000;9.49;9.49;9.49;9.49;200;9.49
29.11.2021;14:14:00-000;9.5096;9.5096;9.5096;9.5096;150;9.5096
29.11.2021;14:17:00-000;9.47;9.47;9.47;9.47;501;9.4722
29.11.2021;14:18:00-000;9.51;9.51;9.51;9.51;600;9.51
29.11.2021;14:32:00-000;9.5099;9.5099;9.5099;9.5099;150;9.5099
29.11.2021;14:42:00-000;9.485;9.485;9.485;9.485;2000;9.485
29.11.2021;14:43:00-000;9.5;9.5;9.5;9.5;150;9.5
29.11.2021;15:18:00-000;9.48;9.48;9.48;9.48;100;9.48
29.11.2021;15:36:00-000;9.4725;9.4725;9.4725;9.4725;500;9.4725
29.11.2021;15:43:00-000;9.5;9.5;9.5;9.5;2000;9.5
29.11.2021;15:56:00-000;9.48;9.48;9.48;9.48;100;9.48
29.11.2021;15:59:00-000;9.49;9.49;9.49;9.49;1029;9.49
29.11.2021;16:00:00-000;9.49;9.49;9.49;9.49;125;9.49
29.11.2021;16:10:00-000;9.49;9.49;9.49;9.49;0;0
29.11.2021;18:30:00-000;9.49;9.49;9.49;9.49;0;0
29.11.2021;20:00:00-000;9.49;9.49;9.49;9.49;0;0
